user_id,signup_date,country,device,age_group,variant
100189,2025-04-23,UK,desktop,18-24,1
100190,2025-04-11,UK,mobile,55+,0
100191,2025-04-23,UK,desktop,25-34,1
100192,2025-03-22,UK,mobile,25-34,1
100193,2025-04-23,ES,mobile,35-44,1
100194,2025-01-02,UK,tablet,25-34,1
100195,2025-05-10,UK,mobile,25-34,0
100196,2025-02-23,FR,mobile,35-44,0
100197,2025-03-28,UK,mobile,18-24,1
100198,2025-05-09,ES,mobile,35-44,0
100199,2025-05-27,FR,mobile,35-44,1
100200,2025-05-06,DE,desktop,35-44,1
100201,2025-05-10,UK,desktop,35-44,0
100202,2025-02-22,UK,mobile,35-44,1
100203,2025-06-21,UK,mobile,35-44,0
100204,2025-06-09,DE,mobile,35-44,0
100205,2025-06-09,UK,mobile,45-54,1
100206,2025-03-09,UK,mobile,35-44,0
100207,2025-05-03,ES,mobile,45-54,0
100208,2025-05-25,FR,mobile,25-34,1
100209,2025-02-07,UK,mobile,25-34,1
100210,2025-01-24,UK,mobile,55+,1
100211,2025-03-10,ES,tablet,25-34,0
100212,2025-04-26,UK,tablet,18-24,1
100213,2025-04-08,DE,mobile,35-44,1
100214,2025-05-19,DE,tablet,18-24,0
100215,2025-05-24,UK,desktop,25-34,1
100216,2025-04-07,DE,mobile,55+,0
100217,2025-05-04,UK,mobile,35-44,0
100218,2025-03-11,UK,desktop,25-34,0
100219,2025-04-03,DE,desktop,55+,0
100220,2025-01-03,ES,mobile,55+,1
100221,2025-05-28,FR,desktop,25-34,0
100222,2025-06-13,FR,mobile,25-34,1
100223,2025-05-27,UK,desktop,45-54,1
100224,2025-03-31,UK,tablet,35-44,0
100225,2025-05-27,UK,mobile,35-44,1
100226,2025-05-28,UK,desktop,45-54,0
100227,2025-04-06,UK,mobile,35-44,1
100228,2025-02-21,UK,desktop,25-34,0
100229,2025-06-10,UK,desktop,35-44,1
100230,2025-06-17,UK,mobile,25-34,1
100231,2025-05-08,FR,desktop,45-54,1
100232,2025-02-08,DE,mobile,35-44,1
100233,2025-03-23,UK,desktop,18-24,1
100234,2025-04-14,ES,mobile,35-44,1
100235,2025-05-09,ES,desktop,25-34,0
100236,2025-01-11,UK,mobile,25-34,1
100237,2025-06-27,DE,desktop,35-44,1
100238,2025-05-31,FR,mobile,25-34,1
100239,2025-06-08,FR,desktop,45-54,1
100240,2025-02-11,UK,tablet,18-24,0
100241,2025-04-09,FR,tablet,35-44,1
100242,2025-01-07,UK,desktop,45-54,0
100243,2025-05-24,FR,desktop,35-44,1
100244,2025-03-31,FR,mobile,25-34,0
100245,2025-04-22,DE,mobile,55+,1
100246,2025-03-01,FR,mobile,25-34,1
100247,2025-04-23,DE,desktop,18-24,0
100248,2025-01-02,UK,desktop,25-34,0
100249,2025-05-09,UK,mobile,18-24,0
100250,2025-02-17,DE,tablet,55+,0
100251,2025-05-20,UK,desktop,25-34,1
100252,2025-02-06,UK,mobile,45-54,0
100253,2025-06-09,UK,mobile,45-54,0
100254,2025-01-09,UK,mobile,25-34,1
100255,2025-04-09,ES,mobile,35-44,0
100256,2025-05-27,FR,desktop,18-24,0
100257,2025-02-17,ES,mobile,25-34,0
100258,2025-05-11,FR,mobile,18-24,1
100259,2025-05-28,FR,desktop,55+,1
100260,2025-06-01,UK,desktop,55+,0
100261,2025-02-23,FR,tablet,25-34,0
100262,2025-04-30,UK,mobile,25-34,1
100263,2025-06-10,ES,mobile,45-54,1
100264,2025-06-01,DE,desktop,25-34,0
100265,2025-04-26,UK,mobile,45-54,1
100266,2025-03-16,ES,mobile,35-44,0
100267,2025-04-23,DE,mobile,25-34,0
100268,2025-06-13,DE,mobile,45-54,1
100269,2025-06-15,UK,mobile,25-34,1
100270,2025-04-14,FR,mobile,55+,1
100271,2025-03-25,FR,mobile,55+,0
100272,2025-04-22,UK,mobile,18-24,0
100273,2025-04-09,UK,desktop,18-24,0
100274,2025-06-02,DE,mobile,55+,0
100275,2025-04-03,UK,desktop,55+,1
100276,2025-05-26,FR,mobile,18-24,1
100277,2025-05-08,ES,mobile,45-54,1
100278,2025-04-20,ES,mobile,25-34,0
100279,2025-03-23,UK,mobile,25-34,1
100280,2025-02-23,ES,mobile,45-54,0
100281,2025-06-12,UK,mobile,25-34,1
100282,2025-06-18,UK,desktop,55+,1
100283,2025-06-10,FR,mobile,25-34,1
100284,2025-03-09,UK,mobile,35-44,0
100285,2025-02-02,UK,desktop,25-34,1
100286,2025-05-22,FR,mobile,35-44,0
100287,2025-01-21,UK,mobile,35-44,1
100288,2025-02-17,UK,mobile,25-34,0
100289,2025-05-28,FR,desktop,35-44,1
100290,2025-05-08,DE,mobile,25-34,1
100291,2025-05-16,FR,mobile,18-24,1
100292,2025-05-15,UK,mobile,45-54,1
100293,2025-05-25,UK,desktop,25-34,0
100294,2025-05-08,UK,mobile,35-44,1
100295,2025-02-02,UK,tablet,35-44,0
100296,2025-06-25,DE,mobile,35-44,0
100297,2025-04-25,UK,tablet,18-24,1
100298,2025-04-29,UK,tablet,25-34,0
100299,2025-01-22,DE,mobile,25-34,1
100300,2025-06-07,FR,mobile,35-44,1
100301,2025-02-07,FR,mobile,45-54,1
100302,2025-04-19,UK,mobile,35-44,1
100303,2025-02-20,UK,desktop,18-24,1
100304,2025-01-08,UK,mobile,25-34,1
100305,2025-01-27,UK,mobile,18-24,0
100306,2025-01-27,DE,mobile,18-24,0
100307,2025-01-21,DE,desktop,25-34,1
100308,2025-01-30,DE,mobile,25-34,0
100309,2025-04-07,DE,mobile,25-34,0
100310,2025-01-28,UK,mobile,18-24,1
100311,2025-04-21,DE,desktop,18-24,1
100312,2025-03-02,UK,desktop,18-24,0
100313,2025-02-17,FR,mobile,18-24,1
100314,2025-05-27,FR,mobile,25-34,1
100315,2025-01-04,UK,mobile,35-44,0
100316,2025-02-04,UK,mobile,18-24,1
100317,2025-02-18,ES,tablet,25-34,0
100318,2025-01-17,UK,desktop,25-34,0
100319,2025-06-21,UK,mobile,25-34,0
100320,2025-06-07,UK,desktop,18-24,1
100321,2025-02-15,DE,mobile,25-34,1
100322,2025-04-27,FR,desktop,35-44,1
100323,2025-01-06,DE,desktop,25-34,1
100324,2025-04-09,UK,mobile,18-24,0
100325,2025-05-04,FR,desktop,45-54,1
100326,2025-02-06,UK,mobile,25-34,1
100327,2025-01-24,DE,mobile,25-34,0
100328,2025-04-03,FR,mobile,45-54,1
100329,2025-02-15,UK,mobile,45-54,0
100330,2025-04-05,UK,desktop,25-34,0
100331,2025-04-09,UK,tablet,25-34,1
100332,2025-04-26,UK,mobile,25-34,1
100333,2025-06-09,UK,desktop,18-24,1
100334,2025-06-10,FR,desktop,35-44,1
100335,2025-03-08,FR,mobile,18-24,1
100336,2025-05-08,UK,mobile,25-34,1
100337,2025-01-18,UK,mobile,55+,0
100338,2025-01-25,UK,desktop,55+,0
100339,2025-02-23,ES,tablet,25-34,1
100340,2025-02-27,UK,mobile,35-44,0
100341,2025-03-08,DE,desktop,25-34,0
100342,2025-04-14,DE,desktop,45-54,1
100343,2025-06-23,FR,mobile,25-34,0
100344,2025-01-24,ES,mobile,18-24,0
100345,2025-04-24,UK,mobile,18-24,0
100346,2025-02-01,ES,mobile,25-34,1
100347,2025-06-24,UK,mobile,25-34,1
100348,2025-03-27,UK,mobile,45-54,0
100349,2025-05-31,DE,mobile,35-44,1
100350,2025-05-07,ES,mobile,25-34,0
100351,2025-06-04,DE,desktop,25-34,0
100352,2025-05-10,UK,mobile,18-24,0
100353,2025-01-17,UK,desktop,45-54,1
100354,2025-04-14,ES,mobile,55+,1
100355,2025-06-10,UK,mobile,55+,1
100356,2025-05-17,DE,tablet,45-54,1
100357,2025-02-12,DE,mobile,18-24,1
100358,2025-06-25,FR,mobile,18-24,0
100359,2025-02-08,UK,desktop,35-44,0
100360,2025-06-19,FR,mobile,55+,0
100361,2025-01-26,UK,mobile,18-24,0
100362,2025-04-09,ES,mobile,18-24,0
100363,2025-02-19,FR,mobile,45-54,0
100364,2025-06-02,ES,mobile,18-24,0
100365,2025-06-01,UK,mobile,25-34,0
100366,2025-01-13,ES,desktop,35-44,0
100367,2025-03-01,UK,desktop,25-34,1
100368,2025-05-15,UK,desktop,18-24,0
100369,2025-02-26,UK,mobile,45-54,0
100370,2025-02-05,DE,desktop,35-44,0
100371,2025-06-22,DE,mobile,55+,1
100372,2025-01-20,DE,desktop,25-34,1
100373,2025-03-06,UK,desktop,18-24,1
100374,2025-01-08,UK,desktop,35-44,1
100375,2025-05-24,FR,mobile,35-44,1
100376,2025-05-22,UK,mobile,25-34,0
100377,2025-04-25,FR,mobile,45-54,0
100378,2025-05-23,ES,desktop,25-34,1
100379,2025-04-02,ES,mobile,25-34,0
100380,2025-04-08,ES,desktop,18-24,0
100381,2025-03-07,DE,mobile,25-34,1
100382,2025-02-01,UK,mobile,25-34,1
100383,2025-03-27,UK,mobile,35-44,0
100384,2025-02-20,FR,mobile,35-44,0
100385,2025-06-02,DE,mobile,55+,1
100386,2025-03-04,UK,mobile,18-24,1
100387,2025-05-05,UK,tablet,18-24,0
100388,2025-05-30,UK,mobile,18-24,1
100389,2025-02-27,FR,mobile,18-24,0
100390,2025-02-27,ES,desktop,35-44,1
100391,2025-03-27,DE,desktop,35-44,1
100392,2025-02-18,UK,desktop,45-54,0
100393,2025-06-29,ES,mobile,25-34,0
100394,2025-06-19,DE,desktop,25-34,0
100395,2025-03-11,UK,desktop,25-34,0
100396,2025-01-15,UK,mobile,18-24,1
100397,2025-02-23,UK,mobile,35-44,1
100398,2025-04-11,UK,mobile,55+,1
100399,2025-01-08,ES,mobile,25-34,0
100400,2025-02-22,FR,desktop,45-54,0
100401,2025-03-01,ES,mobile,35-44,1
100402,2025-04-18,UK,desktop,18-24,1
100403,2025-01-05,UK,mobile,35-44,1
100404,2025-04-13,FR,mobile,25-34,0
100405,2025-01-06,UK,mobile,18-24,0
100406,2025-04-19,FR,mobile,35-44,1
100407,2025-04-26,ES,desktop,45-54,1
100408,2025-04-04,FR,desktop,25-34,0
100409,2025-02-16,FR,mobile,25-34,1
100410,2025-04-09,UK,mobile,45-54,1
100411,2025-02-24,UK,mobile,45-54,1
100412,2025-06-17,UK,desktop,35-44,0
100413,2025-02-21,FR,mobile,25-34,1
100414,2025-05-24,UK,mobile,55+,1
100415,2025-01-13,UK,mobile,18-24,1
100416,2025-04-24,FR,tablet,35-44,0
100417,2025-05-04,UK,mobile,18-24,0
100418,2025-04-16,UK,mobile,35-44,0
100419,2025-06-07,UK,desktop,25-34,0
100420,2025-05-27,ES,mobile,25-34,1
100421,2025-05-25,DE,mobile,25-34,0
100422,2025-04-30,FR,tablet,18-24,0
100423,2025-03-04,UK,desktop,35-44,1
100424,2025-01-19,ES,mobile,45-54,0
100425,2025-04-02,DE,mobile,55+,1
100426,2025-02-27,UK,mobile,25-34,0
100427,2025-03-31,ES,desktop,35-44,0
100428,2025-04-27,UK,mobile,35-44,1
100429,2025-03-03,FR,desktop,25-34,1
100430,2025-01-23,FR,desktop,18-24,1
100431,2025-05-07,UK,mobile,35-44,0
100432,2025-05-17,ES,desktop,55+,0
100433,2025-05-20,DE,tablet,35-44,0
100434,2025-05-09,FR,mobile,25-34,1
100435,2025-02-27,UK,mobile,35-44,0
100436,2025-05-02,UK,mobile,25-34,0
100437,2025-01-01,UK,desktop,45-54,0
100438,2025-02-03,DE,tablet,45-54,0
100439,2025-04-06,UK,mobile,18-24,0
100440,2025-05-06,FR,desktop,45-54,1
100441,2025-04-28,DE,mobile,25-34,1
100442,2025-02-17,UK,mobile,55+,0
100443,2025-03-30,DE,mobile,25-34,1
100444,2025-04-27,UK,mobile,18-24,1
100445,2025-05-09,ES,mobile,25-34,1
100446,2025-01-16,FR,mobile,25-34,0
100447,2025-03-10,UK,mobile,18-24,1
100448,2025-01-22,UK,desktop,35-44,0
100449,2025-04-03,UK,mobile,35-44,0
100450,2025-03-17,DE,mobile,35-44,1
100451,2025-06-03,DE,mobile,18-24,0
100452,2025-05-24,FR,desktop,35-44,1
100453,2025-06-28,UK,mobile,18-24,0
100454,2025-03-27,UK,mobile,35-44,0
100455,2025-01-29,UK,tablet,18-24,1
100456,2025-03-10,FR,mobile,55+,1
100457,2025-02-16,ES,mobile,35-44,1
100458,2025-04-04,UK,desktop,35-44,1
100459,2025-05-24,UK,mobile,25-34,1
100460,2025-06-25,FR,mobile,18-24,0
100461,2025-03-26,DE,mobile,25-34,1
100462,2025-02-08,DE,mobile,45-54,0
100463,2025-04-10,ES,mobile,55+,1
100464,2025-02-02,UK,mobile,18-24,0
100465,2025-04-11,UK,mobile,35-44,1
100466,2025-01-23,ES,mobile,35-44,0
100467,2025-01-10,DE,desktop,35-44,0
100468,2025-03-10,UK,mobile,18-24,1
100469,2025-04-10,DE,mobile,25-34,1
100470,2025-02-03,DE,desktop,25-34,0
100471,2025-06-29,FR,desktop,45-54,0
100472,2025-05-18,DE,mobile,25-34,0
100473,2025-05-27,UK,tablet,25-34,1
100474,2025-04-06,FR,mobile,55+,0
100475,2025-01-01,FR,mobile,35-44,1
100476,2025-03-10,DE,desktop,45-54,1
100477,2025-01-04,DE,mobile,25-34,0
100478,2025-01-16,DE,mobile,18-24,0
100479,2025-01-24,UK,mobile,55+,0
100480,2025-03-21,DE,mobile,25-34,1
100481,2025-01-02,DE,mobile,25-34,0
100482,2025-05-08,DE,desktop,25-34,1
100483,2025-06-09,DE,mobile,18-24,0
100484,2025-03-25,DE,desktop,25-34,0
100485,2025-06-01,FR,mobile,45-54,1
100486,2025-05-20,FR,desktop,55+,1
100487,2025-06-27,UK,desktop,55+,0
100488,2025-06-12,UK,desktop,18-24,1
100489,2025-05-04,FR,mobile,25-34,1
100490,2025-02-02,DE,mobile,18-24,0
100491,2025-06-10,UK,mobile,45-54,0
100492,2025-06-28,UK,desktop,25-34,0
100493,2025-06-20,DE,desktop,35-44,1
100494,2025-04-11,UK,mobile,35-44,1
100495,2025-01-12,UK,mobile,25-34,0
100496,2025-03-08,UK,mobile,25-34,1
100497,2025-03-06,UK,mobile,55+,1
100498,2025-06-10,UK,mobile,55+,1
100499,2025-06-17,UK,desktop,25-34,1
100500,2025-03-15,UK,tablet,25-34,1
100501,2025-02-12,ES,mobile,55+,0
100502,2025-02-13,FR,mobile,18-24,0
100503,2025-01-29,DE,mobile,25-34,0
100504,2025-05-21,UK,mobile,18-24,1
100505,2025-01-12,UK,mobile,35-44,1
100506,2025-04-05,DE,mobile,18-24,0
100507,2025-02-15,UK,desktop,25-34,1
100508,2025-05-10,FR,mobile,25-34,0
100509,2025-02-04,FR,mobile,35-44,0
100510,2025-03-22,FR,desktop,55+,0
100511,2025-03-31,UK,desktop,45-54,0
100512,2025-01-08,UK,mobile,45-54,1
100513,2025-04-03,FR,mobile,35-44,0
100514,2025-06-03,UK,mobile,18-24,1
100515,2025-03-31,DE,desktop,25-34,0
100516,2025-06-11,DE,desktop,55+,1
100517,2025-04-25,ES,desktop,25-34,0
100518,2025-04-15,UK,mobile,18-24,0
100519,2025-05-15,DE,desktop,35-44,0
100520,2025-02-27,FR,mobile,25-34,0
100521,2025-04-24,UK,mobile,25-34,0
100522,2025-03-16,UK,mobile,55+,0
100523,2025-06-06,DE,mobile,45-54,0
100524,2025-04-30,UK,mobile,25-34,1
100525,2025-06-13,UK,desktop,55+,1
100526,2025-01-21,UK,tablet,35-44,1
100527,2025-06-13,DE,mobile,45-54,1
100528,2025-05-18,DE,mobile,18-24,1
100529,2025-04-11,DE,mobile,18-24,0
100530,2025-06-01,UK,mobile,35-44,1
100531,2025-06-26,UK,mobile,45-54,0
100532,2025-04-09,FR,tablet,35-44,1
100533,2025-02-05,FR,mobile,18-24,0
100534,2025-04-06,UK,mobile,18-24,1
100535,2025-06-01,DE,mobile,45-54,0
100536,2025-05-31,ES,desktop,18-24,1
100537,2025-02-06,DE,desktop,35-44,0
100538,2025-01-12,DE,tablet,18-24,0
100539,2025-04-23,ES,desktop,18-24,1
100540,2025-01-13,UK,mobile,35-44,0
100541,2025-01-23,FR,mobile,35-44,1
100542,2025-04-09,ES,desktop,25-34,0
100543,2025-04-15,UK,mobile,25-34,1
100544,2025-01-30,DE,mobile,45-54,0
100545,2025-01-17,FR,mobile,25-34,1
100546,2025-04-23,FR,mobile,35-44,0
100547,2025-03-03,DE,mobile,55+,0
100548,2025-03-25,ES,mobile,18-24,1
100549,2025-04-22,DE,desktop,55+,0
100550,2025-03-27,UK,mobile,25-34,0
100551,2025-05-21,ES,mobile,35-44,1
100552,2025-01-19,UK,mobile,25-34,1
100553,2025-06-26,UK,mobile,55+,0
100554,2025-04-10,FR,mobile,25-34,1
100555,2025-05-20,FR,mobile,25-34,1
100556,2025-05-27,UK,mobile,55+,0
100557,2025-03-17,ES,mobile,35-44,0
100558,2025-01-09,DE,mobile,35-44,1
100559,2025-01-28,FR,mobile,25-34,0
100560,2025-05-08,UK,mobile,35-44,1
100561,2025-02-21,ES,mobile,18-24,1
100562,2025-03-24,ES,mobile,18-24,0
100563,2025-04-21,DE,desktop,35-44,0
100564,2025-05-24,UK,mobile,25-34,0
100565,2025-04-27,UK,mobile,55+,0
100566,2025-03-10,UK,mobile,55+,1
100567,2025-04-09,UK,desktop,35-44,0
100568,2025-05-20,UK,desktop,45-54,1
100569,2025-01-25,ES,desktop,35-44,0
100570,2025-06-29,FR,desktop,18-24,1
100571,2025-05-03,UK,mobile,45-54,1
100572,2025-02-22,UK,desktop,25-34,1
100573,2025-05-31,UK,mobile,25-34,0
100574,2025-05-24,UK,mobile,45-54,1
100575,2025-02-26,UK,mobile,35-44,1
100576,2025-02-08,UK,mobile,45-54,1
100577,2025-04-19,DE,desktop,25-34,0
100578,2025-02-11,ES,mobile,35-44,0
100579,2025-06-16,UK,desktop,18-24,0
100580,2025-05-22,UK,mobile,35-44,1
100581,2025-05-02,DE,mobile,45-54,0
100582,2025-05-13,UK,mobile,35-44,0
100583,2025-06-12,UK,mobile,25-34,0
100584,2025-03-16,ES,desktop,18-24,1
100585,2025-05-26,UK,mobile,18-24,0
100586,2025-03-17,FR,mobile,35-44,1
100587,2025-01-09,FR,desktop,55+,1
100588,2025-03-15,UK,mobile,25-34,1
100589,2025-05-25,UK,tablet,35-44,1
100590,2025-01-07,DE,mobile,45-54,0
100591,2025-06-23,UK,mobile,35-44,1
100592,2025-05-21,UK,mobile,35-44,0
100593,2025-06-17,DE,mobile,45-54,0
100594,2025-06-19,FR,mobile,25-34,1
100595,2025-05-17,UK,desktop,25-34,1
100596,2025-06-27,ES,desktop,18-24,1
100597,2025-01-27,UK,desktop,55+,0
100598,2025-05-02,DE,mobile,55+,1
100599,2025-01-05,DE,mobile,45-54,0
100600,2025-01-29,FR,mobile,18-24,0
100601,2025-06-14,FR,mobile,25-34,0
100602,2025-06-15,ES,desktop,18-24,1
100603,2025-03-24,UK,mobile,18-24,1
100604,2025-05-16,DE,mobile,35-44,1
100605,2025-04-19,UK,mobile,55+,0
100606,2025-03-06,UK,tablet,55+,0
100607,2025-03-27,UK,mobile,35-44,1
100608,2025-05-25,ES,mobile,18-24,0
100609,2025-03-12,ES,mobile,25-34,1
