event_date,variant_id,gender,age,impressions,users,clicks,conversions,purchases,revenue
2011-10-05,control,F,40s,262,1,123,68,208,745.3700000000002
2011-07-20,control,F,50s,368,2,165,88,497,794.5999999999995
2011-09-23,test,F,20s,115,1,55,29,338,511.82
2011-04-28,test,M,40s,122,1,55,28,487,440.0
2010-12-05,test,M,30s,334,2,164,79,361,948.4999999999998
2011-11-08,control,F,50s,218,2,92,50,387,609.37
2011-05-18,test,M,30s,154,2,78,39,357,1177.5399999999997
2011-06-01,control,M,30s,63,1,29,17,64,122.74000000000001
2011-05-18,test,M,20s,130,2,60,33,203,652.4399999999998
2011-08-03,test,M,40s,206,2,107,54,637,905.5899999999999
2011-08-30,test,M,50s,31,1,15,8,69,165.43
2011-10-18,control,F,50s,237,2,102,65,294,508.4399999999999
2011-06-30,test,M,20s,492,2,226,118,1115,2990.579999999999
2011-05-03,test,M,50s,142,3,76,39,522,9133.99
2011-04-28,test,F,20s,125,1,56,36,151,495.5400000000001
2011-06-15,test,M,40s,142,1,61,35,146,340.28
2011-11-06,test,M,20s,282,1,131,71,237,445.90999999999985
2011-05-13,test,M,30s,58,1,26,15,36,147.58
2011-07-01,test,M,20s,330,2,146,80,785,1257.83
2010-12-14,control,F,50s,189,1,94,46,63,151.65999999999997
2010-12-12,test,F,40s,125,2,60,33,201,362.2199999999999
2011-12-09,control,F,40s,78,1,36,19,236,420.52
2011-11-18,control,M,40s,175,3,84,42,293,679.45
2011-06-28,test,M,40s,483,2,232,123,449,935.1500000000003
2011-08-24,control,M,50s,571,3,280,140,561,1176.7
2011-12-01,control,M,20s,160,2,88,45,270,368.61999999999966
2011-02-01,test,F,30s,63,2,33,16,53,251.95
2011-04-19,test,F,40s,506,1,252,130,251,489.0499999999999
2011-09-23,test,F,30s,384,1,175,87,227,459.34
2011-10-14,test,F,30s,435,2,199,108,624,1892.2199999999998
2011-11-29,test,F,30s,634,2,313,166,381,935.5700000000003
2011-05-31,test,M,50s,163,1,72,42,364,906.3999999999999
2011-07-18,control,F,40s,42,1,21,13,143,314.15000000000003
2011-04-15,test,F,20s,76,1,35,19,166,760.1000000000001
2011-07-20,test,M,40s,386,1,190,95,316,384.9999999999997
2011-07-29,control,M,50s,80,1,36,19,204,362.0
2011-03-14,control,M,30s,148,1,67,33,326,571.0600000000001
2011-01-09,control,F,50s,59,1,30,16,64,146.54999999999998
2011-04-03,test,F,50s,110,1,47,27,151,244.5
2011-11-22,control,F,40s,92,1,45,21,111,238.40999999999997
2011-07-15,test,F,30s,130,1,52,31,72,180.8
2011-03-14,control,M,20s,151,1,73,40,1717,2420.9500000000003
2011-03-04,control,M,40s,101,2,53,23,300,411.4
2011-04-21,control,F,50s,74,1,32,18,101,341.58
2011-04-05,test,F,30s,259,1,133,67,220,226.05999999999997
2011-12-01,control,M,30s,102,2,56,24,471,720.1899999999999
2011-08-11,control,M,20s,70,1,31,15,108,252.62
2011-02-10,control,F,30s,37,1,16,8,53,160.15000000000003
2011-12-01,test,M,20s,51,2,23,13,183,305.46999999999997
2011-11-14,test,F,20s,147,2,68,38,673,606.69
2011-01-12,control,F,20s,219,1,95,52,181,438.66999999999996
2011-10-07,control,F,40s,33,1,14,7,15,89.85000000000001
2011-12-08,test,F,40s,142,2,62,34,387,467.8500000000001
2011-03-04,control,F,50s,89,1,39,22,289,387.31000000000006
2011-02-23,control,F,20s,37,1,16,8,76,185.00000000000003
2011-09-12,test,F,40s,79,1,40,21,292,330.9200000000001
2011-11-15,control,F,50s,73,2,28,19,389,878.6300000000001
2011-06-01,control,M,20s,35,1,18,9,89,90.74999999999999
2011-11-29,test,F,20s,93,2,43,22,357,655.1999999999998
2010-12-02,test,M,40s,99,1,48,27,174,308.68
2011-11-08,test,M,30s,38,1,14,6,54,101.64000000000001
2010-12-16,control,F,40s,104,2,49,26,294,613.4400000000002
2011-05-08,control,M,40s,151,2,73,38,178,401.32000000000005
2011-10-10,test,F,20s,372,3,181,91,518,1157.800000000001
2011-03-02,test,F,20s,7,1,2,1,150,1642.5
2011-02-23,control,F,30s,65,1,36,20,98,499.6999999999999
2010-12-06,test,M,20s,261,2,128,66,358,753.7600000000006
2011-02-13,control,F,30s,115,1,53,26,211,401.0
2011-07-24,control,M,40s,84,2,41,22,740,748.06
2011-07-03,control,M,50s,139,2,65,38,286,606.1500000000001
2011-02-03,test,M,50s,118,1,60,31,171,617.25
2011-08-19,test,M,50s,72,2,33,18,35,120.36000000000001
2011-08-18,control,M,30s,116,2,59,27,219,259.77
2011-09-25,control,F,20s,94,1,47,23,490,329.34000000000003
2011-01-23,test,F,30s,173,2,73,41,125,371.1900000000001
2011-02-22,control,F,50s,109,1,47,28,105,373.73999999999995
2011-08-25,test,M,20s,62,1,33,17,124,338.54
2011-10-12,test,M,30s,92,1,44,23,220,477.55
2011-05-04,control,M,30s,76,1,44,23,138,397.68000000000006
2011-12-02,control,F,30s,92,2,50,22,166,430.17999999999995
2011-10-12,test,F,40s,10,1,5,3,44,146.0
2011-04-08,test,F,40s,106,1,55,24,216,449.6400000000001
2011-07-11,test,M,40s,66,1,33,19,157,307.97
2011-05-31,control,M,30s,62,2,33,15,98,259.0
2011-07-08,control,F,50s,80,2,31,20,271,387.78999999999996
2011-01-28,test,M,50s,94,1,46,22,614,1131.0
2011-05-19,test,M,40s,224,1,116,57,210,595.7000000000002
2011-01-17,control,F,50s,37,1,17,8,111,146.85
2011-04-05,test,M,50s,26,1,8,5,269,367.0
2011-06-22,control,M,30s,11,1,2,2,144,332.16
2011-07-26,control,M,50s,106,1,50,24,277,427.23
2011-06-05,control,F,50s,124,3,52,31,554,878.6399999999998
2011-05-15,test,M,50s,51,1,25,16,70,127.45000000000002
2011-03-04,test,F,40s,58,1,25,15,131,222.99
2011-03-30,control,M,40s,136,2,66,36,491,656.0700000000002
2011-05-06,control,M,50s,44,3,19,13,917,1672.7699999999998
2011-08-25,control,F,40s,71,1,34,18,134,308.2
2010-12-15,test,M,40s,76,1,40,22,83,209.64999999999998
2011-04-15,test,F,30s,32,1,16,11,77,142.16000000000003
2011-08-05,test,M,50s,55,1,25,13,1163,2017.92
2011-05-26,test,M,50s,11,1,4,2,18,48.1
2011-11-06,test,M,30s,44,1,20,11,106,237.57000000000002
2011-11-21,control,F,30s,48,2,22,12,72,168.08
2011-11-20,control,F,50s,16,1,9,3,28,52.2
2011-11-07,test,F,40s,112,2,53,28,354,896.8800000000002
2010-12-17,control,M,30s,75,1,41,20,197,311.1900000000001
2011-06-03,test,F,40s,52,1,26,15,329,419.79999999999995
2011-06-22,control,M,20s,21,1,7,4,7,33.16
2011-02-21,test,M,20s,60,1,27,16,264,504.7199999999999
2011-05-04,control,M,20s,50,2,24,14,296,607.4199999999998
2011-06-27,test,M,50s,29,1,13,8,488,1116.0
2011-09-18,control,F,20s,49,1,25,14,203,305.06999999999994
2011-06-05,control,M,40s,108,1,58,29,32,116.09
2011-08-15,control,M,50s,51,2,24,12,168,558.7400000000002
2011-12-01,test,M,30s,34,1,21,10,169,277.02000000000004
2011-06-10,test,M,50s,15,2,11,5,364,838.0
2011-03-23,test,F,50s,26,1,17,6,350,147.0
2011-02-23,test,F,20s,39,2,19,8,792,917.04
2011-07-07,control,F,20s,16,1,6,3,98,253.7
2011-01-16,test,M,20s,8,1,3,1,48,69.6
2011-07-05,test,F,20s,38,1,19,11,94,214.80000000000004
2011-03-02,test,F,30s,59,1,32,16,41,382.0999999999999
2011-02-02,test,F,40s,14,1,7,4,111,349.89000000000004
2011-09-15,test,F,50s,34,1,15,7,82,151.49999999999997
2011-02-22,test,F,40s,8,1,3,2,144,364.32
2010-12-06,test,M,30s,16,1,7,6,34,192.7
2011-03-15,test,M,40s,10,1,4,3,180,363.40000000000003
2011-07-08,test,M,50s,8,1,5,2,224,438.0
2011-07-06,test,M,20s,15,1,7,5,34,108.39999999999999
2011-05-31,control,M,20s,12,1,8,4,32,74.96
2011-10-19,test,F,20s,13,1,8,6,578,620.04
2011-08-16,control,F,30s,6,1,4,1,480,201.6
2011-05-22,control,F,30s,17,1,7,5,32,111.4
2011-08-16,test,M,50s,18,1,10,4,48,48.0
2011-09-25,control,F,30s,26,1,14,6,298,438.32
2011-06-07,control,F,20s,4,1,1,1,4,34.0
2011-06-23,control,M,50s,5,1,2,1,3,14.85
2011-01-05,test,M,20s,9,1,6,2,216,199.44
2010-12-02,test,F,40s,25,1,9,6,80,306.4
2011-10-28,test,F,40s,4,1,2,1,1,39.95
2011-10-14,test,F,20s,5,1,3,1,300,108.0
2011-04-15,control,M,40s,10,1,4,3,68,277.56
2011-07-13,test,F,50s,156,2,65,36,529,760.5500000000002
2011-08-17,test,F,30s,459,2,203,111,546,1008.4500000000002
2011-03-24,control,M,20s,163,1,68,40,83,380.38999999999993
2011-11-11,test,M,30s,924,4,423,216,1389,1803.4899999999996
2011-07-13,test,M,40s,229,2,115,62,768,1282.9599999999998
2011-08-26,control,F,20s,91,1,38,20,191,278.73999999999995
2011-11-18,control,F,50s,150,2,75,37,423,719.2
2011-04-04,test,M,20s,138,1,60,33,181,435.56
2011-01-10,control,M,20s,143,1,62,33,365,434.04
2011-10-23,test,F,40s,594,2,276,141,332,488.58000000000015
2011-04-28,control,M,20s,265,1,127,60,86,173.42999999999995
2011-03-08,control,M,30s,319,2,143,74,1300,1875.2900000000002
2011-07-11,control,M,50s,122,2,53,32,2220,1909.4000000000003
2011-01-13,test,F,40s,36,1,18,10,109,397.79
2011-06-17,test,F,40s,50,1,30,12,238,387.6599999999999
2011-07-26,test,M,50s,39,1,18,13,110,214.82
2011-10-07,control,M,50s,513,2,238,137,410,935.2200000000006
2011-03-03,test,F,30s,208,1,84,49,87,187.10999999999999
2011-07-10,test,F,30s,320,1,143,77,136,244.11999999999992
2011-10-31,test,M,40s,262,1,134,67,373,1014.5500000000005
2011-09-28,control,F,40s,49,1,26,15,149,282.69
2011-07-31,control,F,20s,250,2,124,71,168,513.9299999999998
2011-11-27,test,M,20s,475,3,225,117,939,1049.13
2011-06-01,test,M,20s,229,2,107,59,217,341.47999999999973
2011-04-04,test,M,30s,173,1,81,39,45,123.59000000000002
2011-05-06,test,M,50s,72,1,39,15,88,522.6
2011-09-11,control,M,20s,121,1,50,31,58,92.38
2011-12-07,test,M,40s,287,2,142,74,390,959.5699999999999
2011-11-11,test,M,20s,180,2,86,44,446,645.8600000000002
2011-04-27,control,F,50s,360,4,170,85,1062,1660.7399999999998
2011-11-03,control,M,40s,96,1,55,25,376,656.9499999999998
2011-05-19,control,F,40s,31,1,12,11,156,284.76000000000005
2011-02-16,control,M,30s,229,2,114,60,868,1092.7100000000003
2011-09-19,control,M,20s,73,1,28,14,1236,1043.1
2011-03-18,control,M,20s,183,1,81,44,139,280.56999999999994
2011-11-10,control,F,30s,336,3,177,86,258,666.7399999999998
2011-08-25,control,M,20s,138,2,55,33,340,882.8199999999996
2011-03-07,test,M,20s,172,1,81,43,264,608.4499999999998
2011-11-14,test,M,50s,165,2,83,38,208,469.47999999999996
2011-10-30,control,F,50s,505,3,242,127,1216,2979.380000000001
2011-04-20,control,M,50s,269,5,127,70,869,1198.7899999999997
2011-09-15,control,F,50s,167,1,68,42,416,679.68
2011-09-29,control,M,40s,120,1,56,29,338,576.65
2011-10-25,test,F,20s,194,1,99,46,649,1462.4499999999998
2011-04-08,control,M,30s,68,2,39,19,189,504.80000000000007
2011-05-01,test,M,30s,81,1,38,20,128,313.26000000000005
2011-03-08,control,M,20s,122,2,58,31,1501,1263.91
2011-10-18,control,M,20s,203,4,92,52,665,900.4799999999999
2011-07-25,test,F,30s,471,2,216,120,1064,1122.26
2011-11-24,test,F,30s,478,3,225,123,580,699.6999999999999
2011-02-04,control,M,20s,206,1,102,53,159,347.2199999999998
2011-11-24,control,F,50s,309,2,134,69,741,2062.4599999999996
2011-01-09,control,M,50s,125,1,62,30,66,267.20000000000005
2011-07-18,control,M,20s,117,1,47,29,382,675.7000000000002
2011-01-12,test,M,50s,55,2,23,12,149,400.0
2011-10-25,test,M,50s,147,2,68,36,411,485.71
2011-10-27,test,M,50s,76,2,30,20,298,601.6999999999998
2011-07-10,test,F,20s,106,1,47,27,224,455.94999999999993
2011-12-09,test,F,40s,157,2,76,39,628,1255.35
2011-10-19,control,M,20s,281,2,127,72,628,1408.12
2011-03-31,test,F,40s,90,2,40,21,433,324.07000000000005
2011-08-15,control,F,20s,185,1,93,44,629,1706.88
2011-02-24,test,F,50s,113,2,57,30,419,764.45
2010-12-06,control,M,50s,221,4,115,62,1826,3227.949999999999
2010-12-16,test,F,50s,348,2,162,87,348,526.91
2011-03-24,control,M,30s,110,1,52,25,55,166.75000000000006
2011-04-10,test,F,40s,193,2,90,49,544,1041.0100000000002
2010-12-05,test,F,30s,253,1,117,66,392,535.5999999999999
2011-07-06,control,M,40s,118,2,51,30,258,372.63
2011-11-09,control,F,30s,77,2,39,21,190,822.6700000000001
2011-03-03,test,F,20s,21,1,9,5,193,249.83999999999997
2011-02-16,control,M,20s,225,4,107,59,1330,1828.23
2011-09-26,test,F,50s,52,1,24,15,76,225.76
2011-10-25,test,F,30s,160,1,72,39,227,305.06000000000006
2011-08-04,control,F,50s,194,1,105,54,267,372.24000000000007
2011-02-14,test,F,50s,55,1,25,15,269,321.05
2011-11-03,test,M,50s,97,1,50,29,336,528.0799999999999
2011-10-18,control,M,30s,57,1,22,15,128,223.35999999999999
2011-11-11,control,M,50s,167,1,69,40,611,1136.6799999999998
2011-10-19,control,F,20s,18,1,7,6,78,85.8
2011-10-17,test,F,30s,360,1,168,85,239,413.98999999999995
2011-08-25,test,F,50s,78,2,45,21,246,425.76
2011-08-04,test,M,50s,128,1,54,31,152,788.8700000000001
2011-03-07,test,M,30s,63,2,29,14,84,91.64999999999999
2011-09-30,control,F,20s,53,1,24,13,239,400.61
2011-10-13,test,F,40s,35,1,17,10,52,166.6
2011-08-25,control,M,30s,82,2,41,22,215,589.7900000000001
2011-11-07,control,F,20s,48,1,26,14,65,166.92
2011-06-19,control,M,20s,25,1,12,5,344,274.56
2011-08-22,control,M,40s,37,1,19,9,224,305.02
2011-04-11,test,M,40s,96,1,39,20,146,310.26
2011-09-05,test,M,50s,265,3,130,70,989,2497.95
2011-10-18,test,M,30s,46,1,22,12,108,301.40000000000003
2011-08-17,test,F,20s,9,1,5,3,2084,2209.04
2011-03-01,control,M,50s,42,1,21,11,86,182.7
2011-07-19,test,M,50s,49,1,22,12,207,358.57
2011-09-12,control,M,40s,94,3,45,24,722,1099.56
2010-12-05,test,F,20s,112,1,53,26,163,179.64
2011-11-10,control,F,20s,82,1,41,21,342,288.14
2011-06-26,control,M,40s,82,1,34,23,125,411.33
2011-08-26,control,F,30s,10,1,8,4,258,301.91999999999996
2011-01-26,test,F,40s,14,1,6,4,156,193.79999999999998
2011-05-13,control,F,50s,76,1,39,19,59,115.54000000000002
2011-08-14,control,M,40s,41,1,21,10,131,193.75
2011-02-08,test,M,20s,9,1,5,3,11,52.349999999999994
2011-03-07,control,F,20s,58,1,35,15,44,102.00000000000001
2011-01-16,control,F,50s,110,1,56,26,274,156.00999999999996
2011-06-30,test,F,50s,94,1,41,25,250,679.8800000000001
2011-05-22,control,M,50s,19,1,10,5,168,276.12
2011-09-14,control,F,50s,44,1,18,11,400,737.7999999999998
2011-04-03,control,M,50s,39,1,20,10,2341,1126.8300000000002
2011-07-14,test,F,20s,11,1,5,3,12,95.4
2011-10-17,test,F,20s,21,1,10,5,74,331.9
2011-11-30,control,M,40s,37,1,18,8,140,991.1999999999999
2010-12-13,test,F,40s,29,1,11,7,336,418.9200000000001
2011-03-23,control,F,40s,24,1,11,8,76,114.0
2011-01-16,control,M,40s,2,1,1,1,648,810.0
2011-04-27,test,M,50s,13,1,8,4,500,870.0
2011-07-14,test,F,30s,19,1,10,5,6,30.5
2011-01-07,control,F,20s,4,1,2,1,2,9.3
2011-06-08,control,M,50s,11,1,5,3,30,57.78
2011-08-22,test,F,20s,4,1,1,1,48,408.0
2011-11-29,control,M,40s,8,2,5,2,72,67.92
2011-05-20,control,M,40s,3,1,1,1,24,118.8
2011-10-17,test,M,40s,6,1,2,2,2,622.04
2011-10-20,control,M,40s,1,1,1,1,20,41.6
2010-12-08,control,M,50s,42,2,18,11,177,322.25
2011-08-28,test,F,30s,388,1,175,94,434,526.2600000000001
2011-12-05,control,M,20s,352,1,163,83,236,303.2899999999998
2011-09-29,test,M,50s,287,1,135,67,709,1117.8600000000004
2011-03-23,control,F,50s,377,3,182,94,1125,1906.15
2011-07-12,control,M,20s,97,1,44,26,444,367.36
2011-02-01,test,M,20s,155,1,76,39,164,439.29999999999995
2011-07-20,test,F,30s,206,1,109,55,114,193.23000000000002
2011-06-24,test,F,20s,38,1,19,9,73,185.64
2011-09-07,test,F,30s,83,1,34,19,247,331.24
2011-11-06,test,F,20s,716,3,348,183,1231,1994.6900000000003
2011-05-10,control,M,20s,865,5,417,207,2828,4734.159999999997
2011-10-23,test,F,50s,212,1,96,51,237,353.2299999999999
2011-11-24,control,F,40s,435,3,218,113,350,536.6400000000001
2011-07-17,control,F,30s,384,3,176,91,479,1046.3400000000001
2011-10-20,control,M,50s,220,3,112,54,1615,2002.0699999999997
2011-07-04,test,F,30s,507,1,249,124,407,609.8700000000002
2011-03-09,test,M,30s,227,1,104,55,1566,1711.0600000000006
2010-12-15,control,F,20s,484,3,220,115,1169,1714.570000000001
2011-10-31,test,F,30s,583,3,273,149,897,1445.13
2011-01-09,test,F,30s,118,1,58,31,99,279.02
2011-05-19,control,F,50s,142,2,71,32,489,693.7200000000001
2011-02-22,test,M,20s,230,2,110,54,611,775.0400000000001
2011-11-25,control,M,30s,212,1,95,49,299,365.33
2011-06-05,test,M,40s,507,3,257,126,1835,3164.559999999997
2011-07-26,test,M,40s,109,1,51,28,309,462.7499999999999
2011-02-16,test,F,20s,140,2,79,37,443,720.4699999999999
2010-12-17,test,F,50s,43,1,20,11,83,190.54999999999998
2011-06-19,control,F,50s,106,2,51,29,91,462.65
2010-12-20,test,M,40s,102,1,50,29,65,150.35000000000002
2011-04-06,control,M,50s,71,1,33,19,185,365.79
2011-11-14,test,M,40s,509,2,234,125,665,756.3300000000003
2011-05-20,control,M,50s,197,4,89,46,1769,2096.1099999999997
2011-04-08,test,M,40s,167,2,78,35,340,800.0699999999997
2011-11-30,control,M,50s,230,4,114,60,310,524.6899999999999
2011-10-04,control,F,50s,680,2,340,167,600,1257.8100000000002
2010-12-09,control,M,20s,190,3,101,46,401,849.0799999999999
2011-11-28,test,F,20s,280,2,133,65,234,536.67
2011-01-13,control,F,50s,76,1,37,19,505,692.82
2011-11-21,control,M,30s,478,5,249,125,1127,1563.4700000000003
2011-03-22,control,M,20s,144,2,70,37,554,658.6500000000002
2011-11-10,test,M,50s,176,1,77,43,150,171.53
2011-12-07,test,M,50s,161,1,84,42,175,245.01999999999998
2011-11-29,control,M,50s,120,1,57,29,378,574.98
2011-12-05,control,M,30s,225,3,113,51,491,735.0400000000003
2011-11-22,test,F,20s,236,2,125,62,1120,975.4300000000006
2011-02-14,test,M,30s,174,1,77,44,178,284.34999999999997
2011-02-20,test,M,30s,91,1,43,24,361,400.45
2011-09-16,control,M,50s,97,1,42,24,145,287.40000000000003
2011-08-09,test,F,30s,674,4,339,166,1294,1868.8600000000001
2011-01-18,test,M,20s,46,1,21,10,113,132.52
2011-10-30,test,F,50s,98,2,51,22,284,639.53
2011-08-22,control,M,50s,20,2,11,6,44,102.64000000000001
2011-05-20,test,F,30s,92,1,44,22,228,455.82000000000005
2011-04-26,test,M,20s,88,2,39,21,166,413.26
2011-06-03,test,M,20s,109,2,56,25,60,293.55
2011-09-26,test,F,40s,148,1,71,39,402,600.99
2011-11-28,test,F,30s,376,2,179,94,1537,1699.8799999999999
2011-10-04,test,F,40s,66,1,29,14,426,1410.26
2011-05-15,test,F,50s,235,2,112,60,251,398.0800000000001
2011-07-13,test,F,40s,62,1,31,19,334,660.0099999999999
2011-02-17,test,M,30s,235,1,114,61,759,326.39
2010-12-06,control,F,30s,56,1,22,14,84,222.17999999999998
2011-02-03,control,M,20s,110,1,54,29,369,610.16
2011-10-07,control,M,40s,68,1,30,16,208,321.74
2011-08-05,control,F,30s,29,1,15,7,110,502.02
2011-11-17,control,F,20s,308,5,156,74,774,1261.1500000000005
2011-07-06,control,F,30s,191,2,88,50,323,490.9999999999999
2011-10-11,control,F,20s,170,3,76,41,451,654.5500000000001
2011-07-28,control,M,30s,37,1,16,9,99,141.15
2011-11-03,control,M,50s,180,1,81,46,472,998.7200000000004
2011-07-20,test,F,20s,91,1,39,19,321,293.07
2011-05-23,control,M,20s,162,4,75,47,550,4078.020000000002
2011-05-09,test,M,20s,217,2,99,50,329,804.9500000000003
2011-08-04,control,F,40s,105,2,49,28,518,397.14
2011-01-07,control,M,50s,249,3,140,69,682,1305.91
2011-11-18,test,F,40s,69,1,37,17,120,295.88
2011-07-19,test,M,40s,226,2,108,60,949,1321.5299999999995
2011-11-21,control,M,20s,89,2,42,23,47,172.91000000000003
2010-12-06,control,F,20s,74,1,31,18,112,308.79999999999995
2011-08-08,control,M,20s,115,1,52,29,109,159.91999999999996
2011-02-08,control,M,20s,544,3,273,136,1663,1900.9300000000007
2011-11-28,test,M,50s,91,2,43,23,263,373.22
2011-06-30,control,M,20s,101,1,51,25,67,161.89000000000001
2011-11-22,test,F,30s,121,1,52,26,458,580.38
2011-10-30,control,F,40s,232,1,117,63,232,289.5300000000002
2011-05-06,control,F,40s,206,2,98,55,594,769.43
2011-04-18,control,M,30s,153,1,73,42,240,712.24
2011-09-07,test,F,20s,60,2,29,17,897,937.0300000000001
2011-05-26,control,F,50s,55,1,29,14,27,110.93999999999997
2011-01-09,control,M,40s,37,1,17,9,78,114.0
2011-09-15,control,M,20s,68,1,37,15,1012,801.9400000000003
2011-09-08,test,M,50s,303,2,145,70,1409,1190.900000000001
2010-12-19,control,M,20s,96,1,43,24,337,469.87
2011-08-25,test,F,40s,75,1,35,22,340,678.88
2011-05-09,test,M,30s,136,2,59,30,293,416.16999999999996
2011-09-29,control,M,50s,195,2,98,53,322,529.98
2011-02-21,test,F,40s,170,1,83,38,545,1159.4700000000003
2011-01-21,test,F,20s,69,1,35,16,484,301.96000000000004
2011-07-12,control,M,30s,18,1,9,5,752,757.6
2011-10-11,test,F,50s,100,2,51,25,369,672.6099999999999
2011-11-25,control,M,20s,170,2,78,42,582,926.1
2011-11-01,control,M,20s,60,1,32,18,173,358.59
2011-02-16,test,F,30s,52,3,19,11,168,279.43
2010-12-13,control,M,20s,103,1,49,23,78,280.94
2011-06-16,test,M,30s,47,1,23,15,209,212.47
2011-04-18,control,M,20s,169,1,82,39,820,1026.6100000000001
2011-03-20,control,F,20s,28,1,15,6,30,76.72
2011-07-22,test,F,20s,50,1,29,14,110,214.62
2011-01-25,control,F,20s,68,1,35,17,188,333.0800000000001
2011-10-14,control,M,40s,58,1,28,15,307,400.15000000000003
2011-05-10,control,F,30s,68,2,28,18,140,298.56
2011-01-25,control,F,30s,37,1,17,10,66,146.1
2011-05-06,test,M,40s,152,3,76,40,634,870.57
2011-02-15,test,M,30s,66,1,36,15,61,156.0
2011-08-17,test,M,50s,44,1,25,14,3276,7275.68
2011-08-22,control,F,30s,39,1,16,9,70,137.22
2011-07-07,test,F,30s,20,1,11,6,12,97.5
2011-08-14,control,M,50s,49,2,24,12,23,197.65000000000003
2011-09-02,control,M,20s,19,1,12,5,164,300.2
2011-12-07,control,F,30s,95,2,48,27,207,390.32000000000005
2011-10-14,control,F,20s,53,1,25,12,226,294.78
2011-10-11,test,M,30s,61,1,26,16,158,264.96000000000004
2011-03-09,test,M,20s,25,1,13,7,21,298.0
2011-06-21,control,F,30s,13,1,6,3,4,7.7
2011-04-14,test,M,40s,41,1,18,9,43,139.04999999999998
2011-09-15,control,M,30s,18,1,5,3,108,211.32
2011-07-17,control,F,20s,41,1,19,9,118,189.57999999999998
2011-03-07,control,M,20s,17,1,10,6,22,110.19999999999999
2011-11-02,test,F,50s,22,1,11,7,1400,504.0
2011-12-07,control,F,20s,5,1,4,1,1,15.0
2011-04-28,control,F,40s,42,1,19,10,79,226.85000000000002
2011-10-27,test,M,40s,10,1,6,2,8,13.200000000000001
2011-08-04,test,M,40s,33,1,17,8,150,198.00000000000003
2011-07-06,test,F,40s,40,1,21,11,99,197.22
2011-04-07,test,F,40s,7,1,2,2,36,365.4
2011-07-01,control,M,50s,57,1,22,15,202,410.9000000000001
2011-02-22,test,M,30s,12,1,4,1,144,79.2
2011-06-24,test,F,30s,31,1,13,9,37,168.54999999999998
2011-07-28,control,M,20s,35,2,20,8,72,127.56
2011-08-19,control,M,40s,24,1,12,7,190,382.3
2011-08-05,control,F,20s,56,1,26,16,201,299.42
2011-07-28,test,M,50s,29,1,14,8,512,1126.32
2011-05-10,control,F,20s,23,1,10,6,38,95.94000000000001
2011-06-16,test,M,20s,8,1,5,3,204,181.55999999999997
2011-04-11,test,M,50s,20,1,11,4,192,470.4
2010-12-23,test,F,40s,39,1,20,9,63,128.7
2011-09-05,test,M,40s,9,1,5,2,18,48.3
2011-10-31,control,M,20s,6,1,3,2,154,76.96
