event_date,variant_id,gender,age,row_count,user_count,click_sum,conversion_sum,purchase_sum,revenue_sum,click_sq_sum,conversion_sq_sum,purchase_sq_sum,revenue_sq_sum
2011-07-29,control,F,50s,125,1,61,30,260,520.1,61,30,3778,9847.254199999998
2011-03-18,control,F,30s,33,1,14,7,24,113.35,14,7,98,2640.3325000000004
2011-08-16,control,M,40s,118,2,59,31,498,687.25,59,31,12610,26287.6653
2011-01-25,control,M,20s,150,3,81,41,1356,3070.2799999999997,81,41,89334,512078.8949999999
2011-07-28,test,F,50s,91,1,51,21,542,305.00000000000006,51,21,21244,6272.727200000001
2011-11-07,test,M,50s,63,1,29,17,180,303.15999999999997,29,17,2892,6314.339800000002
2011-10-17,control,M,30s,206,1,105,55,200,225.59999999999994,105,55,2974,1407.1500000000003
2010-12-15,control,M,30s,32,1,16,9,59,165.85,16,9,517,3623.8925
2011-10-10,test,M,20s,236,2,109,57,697,1543.8400000000004,109,57,20787,56221.99800000003
2011-02-27,control,F,30s,83,2,39,21,308,539.1400000000001,39,21,6320,18431.551600000003
2011-01-24,test,F,40s,117,1,52,25,78,163.04000000000002,52,25,882,5047.8458
2010-12-08,control,F,30s,110,1,43,30,190,692.9399999999999,43,30,1622,20379.4382
2011-03-09,control,F,20s,312,1,153,81,944,1576.36,153,81,18830,36866.03060000001
2011-11-30,test,F,20s,96,1,44,23,122,126.66000000000001,44,23,3974,1258.5531999999998
2011-03-03,test,M,20s,187,3,102,49,561,1191.9099999999999,102,49,12539,48150.72990000002
2011-11-01,test,F,20s,404,4,189,97,665,1182.3900000000006,189,97,14425,31458.11190000001
2011-01-11,control,M,30s,93,1,43,27,308,425.1,43,27,3768,8133.45
2011-04-05,control,F,30s,96,2,50,21,148,328.42999999999995,50,21,1304,5876.7213
2011-07-15,control,M,50s,188,2,87,46,258,417.26000000000005,87,46,6720,6431.217800000001
2011-10-27,test,F,20s,222,3,103,51,465,903.4099999999997,103,51,9829,30800.8811
2010-12-16,test,M,50s,468,5,201,108,7793,10445.210000000003,201,108,6849135,8268417.2415000005
2011-11-15,test,M,40s,395,2,185,103,296,845.56,185,103,1452,19622.79759999999
2011-10-25,control,F,20s,166,2,81,45,369,850.3800000000001,81,45,5865,17269.711600000006
2011-08-24,control,F,30s,37,1,17,7,43,121.36999999999999,17,7,333,2183.0629
2011-05-13,test,F,30s,375,3,181,105,782,1150.2100000000005,181,105,29590,31228.727499999997
2011-09-13,test,M,20s,285,1,140,72,972,1079.4700000000003,140,72,16376,18569.85490000001
2011-01-31,control,M,30s,359,2,159,83,358,547.0499999999997,159,83,20614,43764.32490000003
2011-10-21,test,M,30s,51,1,17,13,76,526.0,17,13,556,25695.7
2011-11-06,control,M,40s,681,4,321,169,1214,2266.350000000001,321,169,20692,110227.83330000014
2011-01-28,test,F,50s,149,1,69,31,301,524.57,69,31,3819,10490.0473
2011-01-31,test,M,20s,169,1,86,42,567,609.0100000000001,86,42,9687,9537.4073
2011-08-26,test,F,20s,5,1,1,1,600,432.0,1,1,360000,186624.0
2011-05-11,control,F,50s,124,1,56,30,276,574.4599999999999,56,30,3560,12304.4228
2011-02-27,test,F,30s,112,1,48,29,64,258.40000000000003,48,29,334,22960.45519999999
2011-03-24,control,F,20s,98,1,52,23,262,335.32000000000005,52,23,4362,5075.1606
2011-09-27,control,M,20s,159,3,80,39,630,1195.9199999999998,80,39,37200,118763.7634
2011-10-27,test,F,30s,112,1,48,28,99,148.71999999999997,48,28,691,1353.6472
2011-01-25,test,M,40s,8,1,4,3,52,157.4,4,3,1296,10508.199999999999
2011-05-08,control,F,20s,97,1,47,25,92,253.47,47,25,472,5081.2635
2011-06-08,test,M,40s,130,2,63,34,576,992.27,63,34,15554,55645.75570000001
2011-02-28,test,F,30s,318,2,171,87,331,913.8800000000002,171,87,2063,14712.519399999996
2011-03-17,control,M,50s,160,3,79,43,521,1043.72,79,43,12609,50565.4172
2011-08-18,test,M,50s,88,1,38,20,58,163.42000000000002,38,20,326,1758.3110000000001
2011-12-07,test,F,40s,91,1,43,22,392,957.0600000000001,43,22,12048,90548.23559999999
2011-03-21,test,F,30s,128,1,54,29,124,248.19999999999993,54,29,3774,15484.8434
2011-08-01,test,F,20s,62,1,27,13,122,498.47999999999996,27,13,1252,22392.662399999997
2011-02-18,control,F,30s,129,1,56,32,151,214.04999999999998,56,32,1667,1810.1925
2011-04-10,control,F,50s,105,1,53,28,59,156.22,53,28,155,1318.8852000000002
2011-03-27,test,F,20s,87,1,43,23,74,218.33999999999997,43,23,360,2693.5916000000007
2011-08-19,control,F,50s,86,1,39,21,282,546.9000000000001,39,21,4244,16963.069999999996
2011-09-28,test,M,50s,368,1,159,92,1225,1810.5100000000004,159,92,24157,131684.59350000002
2011-03-22,test,M,20s,40,1,12,8,108,317.80000000000007,12,8,1880,14740.779999999999
2011-11-08,control,M,50s,91,2,40,23,412,738.88,40,23,10902,38521.470400000006
2011-06-17,control,M,20s,69,2,34,19,1751,1690.4600000000003,34,19,868243,294313.5298
2011-08-10,control,M,20s,70,2,33,17,276,326.03000000000003,33,17,15984,17373.0803
2011-08-01,control,M,30s,139,1,68,32,153,206.69000000000003,68,32,2917,2332.7078999999994
2011-12-02,control,M,20s,141,2,69,37,205,872.1700000000001,69,37,2371,40825.7673
2011-08-03,control,F,30s,129,1,48,28,332,767.0699999999999,48,28,8252,48206.86550000001
2011-04-10,control,M,30s,68,1,29,18,82,191.86,29,18,658,3561.0052
2011-02-02,control,M,30s,77,2,38,20,330,601.4599999999999,38,20,16548,30138.398800000003
2011-08-30,test,F,20s,66,1,31,16,209,291.33000000000004,31,16,3851,7811.5997
2011-03-08,test,M,50s,51,1,24,11,157,328.37,24,11,4657,14744.292099999999
2011-07-15,control,F,30s,130,1,51,33,73,187.39,51,33,333,1773.9771
2011-12-02,test,F,50s,39,1,22,10,124,323.52000000000004,22,10,2464,17810.208
2011-05-26,test,F,50s,108,1,57,23,79,254.42000000000002,57,23,383,5953.845399999999
2010-12-10,control,M,20s,53,1,30,14,131,311.95,30,14,1485,8766.8825
2011-03-06,test,M,30s,73,1,37,20,47,136.76999999999998,37,20,199,1468.3879000000002
2011-08-09,control,M,20s,162,1,70,37,71,224.12000000000012,70,37,165,2368.722399999999
2011-05-16,test,F,50s,99,1,44,27,203,560.2700000000001,44,27,2751,14531.890699999998
2011-10-24,test,F,20s,62,1,23,14,24,53.76,23,14,66,283.9004
2011-02-25,test,F,20s,80,1,33,19,179,371.39000000000004,33,19,2105,8202.447700000002
2011-03-02,control,M,50s,84,1,41,24,67,150.82999999999998,41,24,331,1664.7739
2011-11-27,control,M,50s,62,1,32,14,82,168.34,32,14,640,2423.3046000000004
2011-07-07,control,M,40s,23,1,10,7,360,275.76,10,7,34848,12311.337599999999
2011-07-05,control,F,50s,24,1,13,7,1342,1278.1,13,7,1445140,837759.85
2011-09-21,control,M,20s,53,1,18,14,279,597.4499999999999,18,14,21607,77360.4675
2011-07-21,test,M,40s,116,2,57,31,394,902.2599999999998,57,31,13348,77518.11159999999
2011-12-05,test,F,50s,54,2,32,14,219,434.93999999999994,32,14,4437,20204.283600000006
2011-07-08,test,F,50s,224,1,116,60,99,167.49999999999997,116,60,373,706.5269999999999
2011-11-20,test,M,20s,80,1,43,23,71,135.11,43,23,581,2055.2421
2011-10-10,control,F,30s,202,1,94,50,466,869.9799999999998,94,50,6032,16953.99920000001
2011-09-08,test,F,40s,111,1,59,27,38,121.74000000000001,59,27,62,677.5876000000001
2011-07-19,control,F,50s,90,1,42,23,174,483.0200000000001,42,23,1994,13054.3898
2011-01-13,test,M,50s,70,2,35,17,555,961.1099999999999,35,17,82113,225847.79330000002
2010-12-14,control,M,30s,55,1,30,12,52,115.35,30,12,576,1687.4274999999998
2011-07-26,test,F,40s,149,1,77,38,646,490.9999999999999,77,38,13604,7825.520799999999
2011-09-21,control,M,30s,87,1,36,21,235,307.18,36,21,4669,5007.421999999999
2011-10-26,control,F,40s,99,1,44,20,400,308.59999999999997,44,20,13576,6258.896799999999
2011-10-06,test,M,20s,39,1,14,10,454,530.1400000000001,14,10,55188,44681.6476
2011-05-08,control,F,30s,129,2,60,31,141,315.16999999999996,60,31,1159,6803.116699999999
2010-12-10,control,M,30s,175,2,92,47,243,503.01999999999975,92,47,3741,7499.4664
2011-05-11,test,M,50s,36,1,19,8,480,1262.3999999999999,19,8,36864,233640.34559999994
2011-08-04,control,M,50s,15,2,4,4,1952,646.3199999999999,4,4,1575040,129481.86239999998
2011-08-31,control,M,20s,58,2,32,16,106,145.84999999999997,32,16,1590,2933.6719000000003
2010-12-08,control,F,20s,85,2,43,19,299,586.45,43,19,11455,32034.362500000007
2011-11-11,test,F,40s,8,1,4,2,13,5.43,4,2,145,25.553700000000003
2011-09-13,control,F,20s,65,1,29,15,216,294.24,29,15,3960,10695.052800000001
2011-09-26,control,F,30s,30,1,14,7,88,116.12,14,7,2664,2264.2984
2011-03-31,control,F,50s,62,1,27,16,60,133.47,27,16,304,1284.4247
2011-08-07,test,M,50s,53,1,28,14,50,121.11000000000003,28,14,288,1712.3386999999998
2011-02-24,control,F,30s,17,1,10,6,32,105.20000000000002,10,6,240,1886.2
2011-10-12,control,F,50s,51,1,23,12,160,333.59999999999997,23,12,10528,14705.080000000002
2011-11-04,control,F,50s,37,2,16,9,418,673.0999999999999,16,9,113796,362605.1412000001
2011-10-06,test,M,30s,66,1,39,17,195,333.64,39,17,3235,7594.1598
2011-08-03,control,F,20s,13,1,7,3,648,162.0,7,3,139968,8748.0
2011-04-26,test,F,50s,14,1,9,4,81,187.05,9,4,1917,9673.8525
2011-01-18,control,M,30s,26,1,7,5,96,69.6,7,5,2016,1067.76
2010-12-01,test,M,50s,38,1,19,8,1676,3702.12,19,8,505136,2145437.9568
2011-06-10,control,F,50s,43,1,20,13,212,178.21999999999997,20,13,5128,3191.6420000000007
2011-04-05,control,F,20s,14,1,7,3,1296,259.20000000000005,7,3,559872,22394.880000000005
2011-01-31,test,M,30s,11,1,6,2,42,56.1,6,2,900,1581.21
2011-08-01,control,M,20s,13,1,8,5,916,687.0,8,5,247696,170325.0
2011-05-01,control,F,40s,18,1,8,5,69,153.75,8,5,2453,8971.512500000003
2011-11-17,test,F,20s,3,1,1,1,144,152.64,1,1,20736,23298.969599999997
2011-04-06,test,M,20s,5,1,2,1,1,39.95,2,1,1,1596.0025000000003
2011-09-20,control,M,40s,6,1,3,2,216,228.95999999999998,3,2,25920,29123.712
2011-12-02,control,M,30s,6,1,2,2,38,77.50000000000001,2,2,1300,5718.970000000001
2011-03-13,test,F,20s,244,1,124,63,124,220.47,124,63,374,1237.5848999999998
2011-08-10,control,M,40s,349,1,182,88,1077,1127.3800000000006,182,88,28593,25286.5834
2011-01-30,control,F,50s,404,1,184,98,386,778.2600000000001,184,98,3516,9421.948600000003
2011-07-11,test,F,50s,379,2,201,96,962,1506.05,201,96,23710,55196.55989999999
2011-09-11,control,F,50s,862,1,404,217,723,818.9300000000012,404,217,10539,6972.580900000001
2011-03-27,control,F,30s,14,1,5,4,57,121.95,5,4,1485,4274.7525000000005
2011-09-20,test,F,30s,503,2,231,121,568,1162.37,231,121,8710,24731.5521
2011-03-11,control,F,50s,135,1,60,31,514,1794.1000000000001,60,31,33566,212324.95500000002
2011-10-06,control,M,40s,540,3,261,133,486,788.6100000000002,261,133,3966,9602.4223
2011-10-25,control,F,40s,409,3,187,98,768,1405.22,187,98,19196,34082.568
2011-03-03,control,M,30s,221,2,95,50,399,710.78,95,50,5497,17359.0648
2010-12-08,control,F,40s,286,2,140,68,1752,2960.939999999998,140,68,241194,656565.5927999999
2011-04-06,control,F,40s,136,2,62,33,279,507.11999999999995,62,33,6191,15461.196399999997
2011-11-15,test,M,30s,285,2,131,65,803,1144.7500000000007,131,65,18365,31060.296300000013
2011-02-17,test,F,30s,510,2,245,116,1004,1202.710000000001,245,116,23738,20852.307500000003
2011-10-26,control,F,30s,119,1,46,29,272,390.74,46,29,7448,9115.341999999999
2011-10-21,test,M,40s,16,1,6,5,96,427.7,6,5,3032,53474.850000000006
2011-10-03,test,M,30s,84,2,34,20,100,3580.27,34,20,804,10000004.230699997
2011-05-10,test,F,30s,234,2,121,60,148,224.71,121,60,1084,1553.8664999999999
2011-04-17,test,M,30s,92,1,43,18,79,218.55000000000004,43,18,775,4303.5957
2011-09-08,control,F,50s,245,1,121,63,459,405.4600000000001,121,63,6981,3717.782800000001
2011-03-22,test,M,40s,172,1,81,41,664,657.6799999999998,81,41,18166,14110.146400000005
2011-08-08,test,F,50s,421,2,208,103,707,1329.1299999999997,208,103,7387,23520.64110000001
2011-06-17,control,M,40s,137,1,68,36,170,233.52999999999997,68,36,3134,3673.4430999999995
2011-06-13,test,F,30s,323,1,151,80,130,259.07999999999987,151,80,352,1520.8764000000003
2010-12-14,control,M,40s,201,1,97,48,971,925.9200000000002,97,48,32929,40329.964799999994
2011-10-03,test,F,50s,133,1,72,38,618,1315.38,72,38,17844,59789.424399999996
2011-12-02,control,M,40s,594,2,274,146,422,637.9599999999999,274,146,7984,25330.9782
2011-05-24,control,M,50s,176,2,91,46,621,896.0899999999998,91,46,18125,22368.334700000003
2010-12-01,control,F,50s,185,3,92,48,369,970.2500000000002,92,48,7149,57771.112499999996
2011-09-13,test,M,40s,123,2,62,34,368,609.02,62,34,5170,12975.858200000002
2011-02-03,control,F,30s,189,1,87,41,643,1177.8400000000001,87,41,13317,57247.87360000002
2010-12-13,test,M,30s,235,1,100,57,843,1121.9200000000005,100,57,39357,46921.2952
2011-10-10,test,M,40s,220,2,112,55,206,436.9299999999999,112,55,1926,5140.0071
2011-11-30,test,M,30s,637,3,293,168,920,1826.2600000000018,293,168,13358,47183.3504
2011-11-11,control,F,40s,362,2,163,95,758,1156.4,163,95,11432,22083.80519999999
2011-04-21,test,F,50s,58,1,31,15,538,1007.9,31,15,38436,123067.76999999999
2011-04-27,control,M,50s,325,3,150,80,1106,1891.8399999999992,150,80,27540,65866.60240000002
2011-11-06,control,M,20s,568,2,263,141,1190,2006.9300000000003,263,141,24162,71404.26610000004
2011-10-26,control,M,50s,611,4,301,150,909,2012.7100000000003,301,150,10701,47689.480899999995
2011-08-23,test,F,30s,329,1,151,85,224,552.6,151,85,1368,23772.7806
2011-02-24,control,F,40s,269,1,121,67,339,504.56,121,67,3961,6463.4398
2011-09-27,control,M,40s,93,1,38,22,97,226.50000000000003,38,22,973,3714.955
2011-09-20,control,F,50s,135,1,57,32,254,630.2599999999998,57,32,2754,14718.129799999995
2011-04-06,test,M,40s,211,3,99,48,619,1339.4499999999998,99,48,16651,90043.2075
2011-12-04,control,F,50s,505,1,243,117,534,382.95999999999975,243,117,17078,2626.739199999999
2011-09-16,test,M,40s,320,1,141,79,487,1233.0100000000002,141,79,5725,26507.17170000001
2011-07-26,test,F,20s,159,2,77,42,1539,2121.2000000000003,77,42,931609,307835.58
2011-10-19,test,M,20s,457,4,218,117,907,2092.7200000000007,218,117,19717,100191.95839999997
2011-11-03,test,F,40s,264,4,121,65,569,1547.1799999999998,121,65,11031,55196.616599999994
2011-03-24,control,F,40s,123,1,66,36,356,837.5900000000001,66,36,4300,28786.805500000006
2011-11-11,test,F,30s,403,2,178,110,289,488.55000000000007,178,110,1945,4802.6897
2011-01-16,test,F,20s,29,1,16,9,60,203.29999999999998,16,9,634,6532.405
2011-11-20,test,M,40s,211,1,99,56,272,316.42999999999995,99,56,6742,3541.0353
2011-05-05,test,F,30s,118,2,54,27,342,520.0,54,27,6430,18366.444600000003
2011-06-21,control,M,30s,118,1,58,30,104,195.9,58,30,528,2216.83
2011-05-08,control,F,40s,62,2,29,13,139,294.98,29,13,2381,9737.6364
2011-01-05,control,F,50s,804,3,384,198,1685,1724.9500000000016,384,198,556327,49805.534300000116
2011-06-12,control,F,50s,66,1,32,16,96,302.24,32,16,838,8470.276600000001
2011-12-06,control,F,40s,259,2,127,64,195,394.1699999999998,127,64,1395,7377.224499999998
2011-01-07,test,F,40s,69,2,35,17,291,760.3900000000002,35,17,15803,130455.59109999995
2011-04-07,control,M,50s,181,2,90,45,190,363.39,90,45,1898,5601.1461
2011-02-11,control,F,40s,37,1,14,10,88,136.3,14,10,1478,1941.77
2011-05-22,test,M,50s,122,1,59,30,215,508.11,59,30,2141,10197.630500000001
2011-03-14,test,M,20s,118,1,56,28,172,377.88,56,28,2580,12967.8616
2011-09-07,control,F,50s,80,1,35,17,342,588.3000000000002,35,17,7428,24702.030000000006
2011-11-17,test,F,40s,189,1,89,46,107,159.64999999999995,89,46,529,956.8869000000002
2011-01-31,test,M,40s,60,1,27,16,260,315.57,27,16,5708,9150.026899999999
2011-11-14,control,F,40s,224,2,109,59,262,372.53999999999996,109,59,11646,6550.560999999999
2011-09-22,control,F,50s,215,1,98,54,642,869.5499999999997,98,54,11232,15697.360700000007
2011-02-08,control,F,40s,83,2,43,25,211,609.5500000000001,43,25,2321,30351.222500000007
2011-10-19,test,M,30s,102,1,48,25,407,581.41,48,25,24729,17622.995300000002
2011-06-08,test,M,30s,217,1,110,56,205,336.84000000000003,110,56,3067,3969.4334000000013
2011-04-10,control,M,40s,100,1,53,26,29,157.59999999999997,53,26,35,1369.635
2011-07-13,control,M,50s,109,1,53,28,305,366.5199999999999,53,28,4931,6137.667800000002
2011-09-20,control,M,20s,99,2,45,27,207,504.72999999999996,45,27,2391,13659.155100000002
2011-02-28,test,M,50s,55,1,27,15,346,549.26,27,15,9476,23268.7876
2011-06-30,control,F,50s,59,1,28,16,38,264.80000000000007,28,16,108,4397.5
2011-01-16,test,F,30s,137,1,68,37,109,281.64000000000004,68,37,1611,18496.1634
2011-02-25,test,F,40s,73,1,38,19,116,361.40000000000003,38,19,996,8797.69
2011-03-09,control,F,40s,100,1,45,27,87,188.25,45,27,647,2349.0625
2011-05-04,test,M,50s,43,1,19,11,40,114.04,19,11,324,1994.8116000000005
2011-09-26,control,F,40s,66,1,32,16,166,223.92000000000002,32,16,2412,3382.099199999999
2011-11-01,test,F,40s,110,2,51,27,331,750.0800000000002,51,27,6965,26941.212600000003
2011-11-06,control,F,40s,397,1,193,97,166,367.92999999999984,193,97,374,2269.1889000000006
2011-07-15,control,F,40s,64,1,31,17,27,113.06000000000002,31,17,67,1168.6655999999998
2011-08-14,test,M,40s,56,1,26,13,166,188.40000000000003,26,13,2530,3223.06
2011-08-12,control,F,40s,83,1,42,24,55,153.85000000000002,42,24,635,1928.4424999999999
2011-09-29,control,F,40s,60,1,32,14,204,303.68,32,14,3952,7698.781600000002
2011-01-10,test,F,20s,23,1,10,5,243,344.93999999999994,10,5,25349,36421.05959999999
2011-05-25,test,M,50s,61,1,30,18,142,314.70000000000005,30,18,1660,6196.130000000001
2011-11-30,test,M,20s,132,1,66,33,71,171.63,66,33,349,1464.3438999999998
2011-01-13,control,M,50s,56,2,26,15,228,393.5,26,15,6670,13916.664999999999
2011-03-10,test,M,50s,92,1,37,19,120,312.8,37,19,1166,5344.275
2011-08-09,test,M,50s,172,2,74,41,302,621.7,74,41,3916,11012.526800000003
2011-04-11,control,M,50s,50,1,20,15,156,269.95,20,15,2486,7019.5536999999995
2011-01-27,control,F,20s,61,1,34,17,26,116.4,34,17,48,1232.495
2011-04-05,control,F,40s,93,1,46,20,489,304.13,46,20,16061,5168.359699999999
2011-03-03,test,M,40s,114,2,56,29,387,831.6299999999999,56,29,9753,37608.44450000001
2011-07-01,control,F,30s,88,1,42,22,239,306.75,42,22,3973,5612.767699999999
2011-10-10,control,F,40s,28,1,13,7,148,120.3,13,7,9712,2134.6092
2011-07-13,control,F,50s,72,1,40,18,240,416.90000000000003,40,18,3856,11544.449999999999
2011-03-03,control,M,20s,61,1,26,17,149,303.03,26,17,2001,6318.276900000001
2011-12-08,test,M,40s,125,2,63,30,246,612.6899999999999,63,30,3634,14201.500500000002
2011-12-07,test,F,20s,85,1,31,19,65,114.14,31,19,261,989.4133999999999
2011-12-07,test,F,30s,78,1,44,19,205,340.39000000000004,44,19,4149,6509.741300000001
2011-06-08,test,M,20s,137,1,63,36,681,891.4200000000002,63,36,234983,117582.75300000001
2010-12-14,test,M,50s,32,1,12,6,38,134.64999999999998,12,6,634,5013.8324999999995
2011-01-18,control,M,40s,78,1,38,21,66,143.82,38,21,340,1753.7714
2011-03-14,control,F,20s,11,1,4,2,80,140.0,4,2,3200,9832.0
2011-05-19,test,F,50s,111,1,47,27,425,384.58000000000004,47,27,8823,6660.506799999998
2011-08-16,control,M,30s,33,1,15,8,77,194.55,15,8,1101,6718.7925000000005
2011-08-01,test,F,40s,54,1,23,13,172,800.7600000000001,23,13,2416,67701.7296
2011-01-24,test,F,30s,63,1,31,18,151,309.42999999999995,31,18,1649,6466.6309
2011-02-02,control,F,30s,39,1,20,9,44,141.3,20,9,304,2286.63
2011-05-01,control,F,20s,52,1,24,14,522,810.5600000000001,24,14,30940,77165.0016
2011-06-26,test,M,50s,110,1,54,27,408,667.0299999999999,54,27,10058,32877.99010000001
2011-04-21,test,M,40s,52,1,25,13,162,232.68,25,13,3262,4929.4692000000005
2011-11-16,test,F,50s,56,1,29,11,221,450.95000000000005,29,11,7905,22426.4881
2011-06-21,control,M,20s,128,1,60,29,1226,1966.66,60,29,113178,290200.71780000004
2011-07-14,control,M,50s,45,1,23,11,88,170.45,23,11,784,2777.8025000000002
2011-09-06,test,M,20s,116,1,53,30,326,556.2599999999999,53,30,5000,15270.597199999998
2010-12-15,control,M,40s,52,1,23,12,194,346.8,23,12,4522,11780.234999999999
2011-02-14,control,M,50s,22,1,9,6,28,114.99999999999999,9,6,208,2531.08
2010-12-07,control,M,40s,6,1,5,3,32,172.0,5,3,416,10338.64
2011-11-30,test,F,40s,5,1,2,1,24,30.0,2,1,576,900.0
2011-03-23,control,M,30s,21,1,8,5,150,170.94,8,5,6066,6867.678599999999
2011-10-12,control,M,50s,4,1,1,1,18,6.48,1,1,324,41.99040000000001
2011-09-27,test,M,50s,18,1,8,3,56,142.38,8,3,2344,8486.0244
2011-10-04,control,M,50s,29,1,11,8,1286,1110.36,11,8,442636,210819.84480000002
2011-06-29,control,F,20s,60,1,28,15,147,282.23,28,15,2389,6068.871299999999
2011-02-02,control,M,40s,35,1,12,7,145,153.76,12,7,4609,4050.0736
2011-05-04,test,F,50s,34,2,20,12,143,386.85,20,12,4061,50349.35249999999
2011-02-17,test,F,20s,22,1,8,5,303,373.98,8,5,83021,94387.02840000001
2011-01-19,control,F,50s,12,1,6,3,37,63.0,6,3,721,1449.0
2011-03-23,control,M,20s,15,1,5,3,300,495.0,5,3,30000,81675.0
2011-01-06,control,M,40s,4,1,2,1,72,76.32000000000001,2,1,5184,5824.742400000001
2011-02-16,control,F,20s,4,1,3,1,600,390.0,3,1,360000,152100.0
2011-10-17,control,M,40s,15,1,7,2,246,482.4,7,2,47556,118013.76000000001
2010-12-13,control,F,30s,9,1,3,2,490,218.1,3,2,230500,40914.81
2010-12-10,control,M,40s,4,1,3,1,30,202.5,3,1,900,41006.25
2010-12-13,control,F,20s,6,1,2,2,46,110.7,2,2,1636,10479.69
2011-01-04,test,M,50s,4,1,2,1,24,90.0,2,1,576,8100.0
2011-08-31,control,M,40s,2,1,1,1,216,386.64,1,1,46656,149490.4896
2010-12-08,control,M,50s,42,2,18,11,177,322.25,18,11,10221,19002.122500000005
