invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority
168148,Wireless Mouse,26,2020-01-03 18:00,25.56,0.48,10.4,Electronics,In-store,Not Returned,High
877089,Office Chair,36,2020-01-03 19:00,34.13,0.32,20.69,Apparel,Online,Not Returned,Medium
748531,USB Cable,19,2020-01-03 20:00,69.38,0.33,27.74,Furniture,Online,Not Returned,Medium
351995,USB Cable,22,2020-01-03 21:00,94.81,0.43,25.61,Accessories,In-store,Not Returned,Medium
778843,Wall Clock,12,2020-01-03 22:00,70.77,0.33,17.0,Electronics,In-store,Not Returned,High
672843,Headphones,3,2020-01-03 23:00,99.17,0.03,11.58,Stationery,Online,Not Returned,Medium
356508,T-shirt,5,2020-01-04 00:00,61.05,0.45,8.03,Electronics,Online,Not Returned,Low
903591,T-shirt,5,2020-01-04 01:00,94.77,0.13,19.81,Electronics,Online,Not Returned,Low
996942,White Mug,43,2020-01-04 02:00,15.02,0.02,18.34,Furniture,Online,Not Returned,High
206530,Notebook,23,2020-01-04 03:00,24.56,0.32,14.23,Stationery,Online,Not Returned,Low
704365,Office Chair,14,2020-01-04 04:00,66.41,0.22,22.68,Furniture,Online,Not Returned,High
922352,White Mug,49,2020-01-04 05:00,49.41,0.38,8.8,Stationery,In-store,Not Returned,Low
560337,Blue Pen,39,2020-01-04 06:00,36.99,0.38,20.06,Accessories,In-store,Not Returned,Medium
824839,Blue Pen,7,2020-01-04 07:00,36.14,0.34,6.87,Furniture,In-store,Not Returned,Medium
905889,Backpack,35,2020-01-04 08:00,30.82,0.03,8.87,Furniture,Online,Returned,Low
559773,Wireless Mouse,38,2020-01-04 09:00,81.28,0.18,27.77,Furniture,In-store,Not Returned,High
308261,Headphones,14,2020-01-04 10:00,36.13,0.34,14.95,Apparel,In-store,Returned,Low
864469,USB Cable,17,2020-01-04 11:00,8.62,0.13,19.11,Stationery,Online,Not Returned,Low
441097,T-shirt,7,2020-01-04 12:00,15.96,0.28,23.88,Electronics,Online,Not Returned,High
415139,USB Cable,20,2020-01-04 13:00,49.92,0.4,8.34,Electronics,Online,Not Returned,Low
271829,T-shirt,34,2020-01-04 14:00,13.63,0.08,24.2,Stationery,Online,Not Returned,Low
371836,T-shirt,30,2020-01-04 15:00,83.42,0.45,5.92,Electronics,Online,Not Returned,Low
538974,Wireless Mouse,40,2020-01-04 16:00,91.57,0.35,29.97,Accessories,In-store,Not Returned,High
302283,T-shirt,13,2020-01-04 17:00,7.54,0.38,26.46,Stationery,In-store,Not Returned,Low
296769,White Mug,6,2020-01-04 18:00,87.27,0.08,22.59,Electronics,Online,Not Returned,Low
661353,White Mug,27,2020-01-04 19:00,68.95,0.45,18.1,Stationery,Online,Not Returned,Medium
323165,Backpack,18,2020-01-04 20:00,33.22,0.22,24.77,Stationery,Online,Not Returned,Medium
723587,Blue Pen,24,2020-01-04 21:00,25.98,0.13,16.68,Furniture,Online,Not Returned,Medium
635822,Office Chair,32,2020-01-04 22:00,41.15,0.4,7.7,Accessories,Online,Not Returned,High
587879,Wall Clock,39,2020-01-04 23:00,60.36,0.07,24.41,Apparel,In-store,Not Returned,High
664685,Backpack,26,2020-01-05 00:00,24.81,0.4,26.82,Apparel,In-store,Returned,Medium
882038,White Mug,34,2020-01-05 01:00,88.14,0.07,12.45,Furniture,Online,Not Returned,High
453531,Wall Clock,21,2020-01-05 02:00,3.75,0.02,16.33,Electronics,In-store,Not Returned,Low
363160,USB Cable,28,2020-01-05 03:00,7.96,0.35,6.64,Furniture,Online,Not Returned,Low
679879,Backpack,5,2020-01-05 04:00,48.24,0.18,6.68,Stationery,Online,Not Returned,Medium
320884,Office Chair,42,2020-01-05 05:00,34.93,0.41,17.4,Accessories,Online,Not Returned,High
123247,T-shirt,18,2020-01-05 06:00,31.83,0.42,27.47,Apparel,Online,Returned,High
124300,Headphones,8,2020-01-05 07:00,46.19,0.1,12.81,Stationery,In-store,Not Returned,High
567281,T-shirt,43,2020-01-05 08:00,57.77,0.1,11.1,Furniture,Online,Not Returned,Low
707086,Notebook,48,2020-01-05 09:00,15.68,0.23,8.83,Apparel,In-store,Not Returned,High
633556,USB Cable,34,2020-01-05 10:00,85.06,0.01,29.98,Accessories,In-store,Not Returned,Medium
448951,White Mug,22,2020-01-05 11:00,35.03,0.24,8.25,Furniture,Online,Not Returned,Low
374329,Blue Pen,23,2020-01-05 12:00,49.73,0.31,26.62,Electronics,Online,Not Returned,High
819064,Headphones,9,2020-01-05 13:00,57.1,0.01,11.88,Accessories,Online,Not Returned,Low
842139,Wireless Mouse,27,2020-01-05 14:00,65.17,0.12,28.59,Apparel,In-store,Returned,High
532315,Backpack,14,2020-01-05 15:00,12.16,0.2,12.57,Apparel,In-store,Not Returned,Medium
616588,USB Cable,20,2020-01-05 16:00,84.61,0.26,11.7,Stationery,In-store,Not Returned,High
336584,Notebook,26,2020-01-05 17:00,7.36,0.05,29.14,Apparel,In-store,Not Returned,Low
662332,Wireless Mouse,41,2020-01-05 18:00,22.68,0.15,20.14,Stationery,Online,Not Returned,Medium
937646,Wireless Mouse,7,2020-01-05 19:00,10.74,0.44,17.3,Accessories,In-store,Not Returned,Low
476896,Blue Pen,24,2020-01-05 20:00,76.55,0.0,8.27,Accessories,Online,Not Returned,Medium
148984,White Mug,9,2020-01-05 21:00,71.63,0.47,19.95,Apparel,In-store,Not Returned,High
402918,Blue Pen,43,2020-01-05 22:00,30.59,0.2,10.32,Stationery,Online,Returned,High
364712,Office Chair,7,2020-01-05 23:00,78.42,0.05,26.71,Stationery,Online,Not Returned,Low
220151,Wireless Mouse,37,2020-01-06 00:00,91.0,0.42,11.14,Apparel,In-store,Not Returned,High
555808,Notebook,4,2020-01-06 01:00,19.27,0.07,25.98,Accessories,Online,Not Returned,Low
233767,Wall Clock,11,2020-01-06 02:00,37.38,0.02,8.95,Electronics,In-store,Not Returned,Low
748663,Headphones,4,2020-01-06 03:00,53.39,0.5,8.56,Furniture,Online,Not Returned,Medium
803550,White Mug,28,2020-01-06 04:00,31.18,0.38,6.1,Stationery,In-store,Not Returned,High
236330,Backpack,49,2020-01-06 05:00,66.8,0.36,11.84,Stationery,Online,Not Returned,High
580754,Wall Clock,27,2020-01-06 06:00,83.54,0.33,9.51,Stationery,In-store,Not Returned,Medium
401648,Headphones,17,2020-01-06 07:00,73.34,0.23,9.78,Furniture,In-store,Not Returned,Medium
788519,Notebook,40,2020-01-06 08:00,94.43,0.29,10.59,Apparel,In-store,Not Returned,Low
113986,T-shirt,6,2020-01-06 09:00,39.39,0.29,9.85,Electronics,In-store,Not Returned,Medium
686146,USB Cable,17,2020-01-06 10:00,19.05,0.02,11.25,Accessories,In-store,Not Returned,Low
229312,Headphones,43,2020-01-06 11:00,87.12,0.45,18.17,Electronics,In-store,Not Returned,Low
112666,T-shirt,12,2020-01-06 12:00,98.82,0.25,5.34,Apparel,In-store,Not Returned,High
400804,Desk Lamp,40,2020-01-06 13:00,45.27,0.08,21.25,Apparel,In-store,Not Returned,Low
234633,White Mug,1,2020-01-06 14:00,19.89,0.28,13.87,Stationery,Online,Not Returned,High
388998,Desk Lamp,29,2020-01-06 15:00,29.51,0.43,19.15,Accessories,In-store,Not Returned,Medium
950937,Wall Clock,26,2020-01-06 16:00,44.69,0.46,21.57,Electronics,In-store,Not Returned,Low
728776,Wall Clock,8,2020-01-06 17:00,14.92,0.16,14.11,Accessories,Online,Not Returned,Medium
807611,T-shirt,30,2020-01-06 18:00,39.72,0.08,14.4,Stationery,Online,Not Returned,High
384806,Notebook,30,2020-01-06 19:00,69.96,0.27,18.7,Stationery,Online,Not Returned,High
894824,Office Chair,4,2020-01-06 20:00,52.48,0.37,29.12,Apparel,In-store,Not Returned,High
130535,White Mug,24,2020-01-06 21:00,78.64,0.06,8.97,Stationery,In-store,Not Returned,High
475713,Wall Clock,26,2020-01-06 22:00,11.49,0.21,18.94,Apparel,Online,Not Returned,Medium
938688,Desk Lamp,8,2020-01-06 23:00,84.06,0.25,13.35,Stationery,Online,Not Returned,Medium
451279,Wall Clock,-2,2020-01-07 00:00,34.06,0.34,,Furniture,Online,Not Returned,Medium
921654,Blue Pen,18,2020-01-07 01:00,36.0,0.16,17.99,Accessories,In-store,Not Returned,High
701661,Desk Lamp,34,2020-01-07 02:00,59.68,0.34,15.93,Stationery,Online,Not Returned,Medium
747972,Desk Lamp,-26,2020-01-07 03:00,-72.33,1.97208653797146,,Electronics,In-store,Not Returned,Low
589570,Wall Clock,40,2020-01-07 04:00,16.31,0.3,6.51,Apparel,Online,Not Returned,Medium
556551,USB Cable,9,2020-01-07 05:00,3.0,0.41,5.01,Accessories,In-store,Not Returned,Medium
373109,White Mug,20,2020-01-07 06:00,28.4,0.49,28.77,Electronics,Online,Not Returned,Medium
124538,T-shirt,40,2020-01-07 07:00,33.55,0.28,10.63,Furniture,In-store,Not Returned,Low
994498,Headphones,47,2020-01-07 08:00,16.09,0.42,6.17,Electronics,In-store,Returned,Low
301664,White Mug,46,2020-01-07 09:00,76.94,0.04,25.4,Electronics,In-store,Not Returned,Medium
591234,Wall Clock,2,2020-01-07 10:00,65.92,0.46,13.12,Furniture,Online,Not Returned,High
999684,Blue Pen,43,2020-01-07 11:00,21.13,0.07,12.09,Accessories,In-store,Not Returned,High
239182,T-shirt,39,2020-01-07 12:00,16.36,0.02,24.95,Furniture,In-store,Not Returned,Medium
572525,Wall Clock,21,2020-01-07 13:00,49.16,0.36,25.76,Furniture,In-store,Not Returned,Low
258338,Blue Pen,14,2020-01-07 14:00,85.66,0.02,7.49,Electronics,Online,Not Returned,Medium
284064,Blue Pen,30,2020-01-07 15:00,38.2,0.42,19.99,Stationery,In-store,Not Returned,Low
314020,White Mug,42,2020-01-07 16:00,63.34,0.42,10.89,Accessories,Online,Not Returned,Medium
723094,Blue Pen,46,2020-01-07 17:00,23.1,0.0,27.63,Furniture,In-store,Not Returned,Low
997421,Notebook,17,2020-01-07 18:00,90.61,0.18,14.91,Furniture,Online,Not Returned,High
715270,T-shirt,33,2020-01-07 19:00,81.72,0.29,15.35,Stationery,In-store,Not Returned,Medium
745914,White Mug,11,2020-01-07 20:00,83.38,0.35,21.57,Electronics,Online,Returned,Medium
219176,White Mug,42,2020-01-07 21:00,2.07,0.14,8.46,Electronics,Online,Not Returned,Medium
318126,Headphones,48,2020-01-07 22:00,49.42,0.15,14.8,Electronics,In-store,Not Returned,High
318969,Desk Lamp,-19,2020-01-07 23:00,-3.61,1.0522543262800623,,Apparel,In-store,Not Returned,High
222409,Headphones,8,2020-01-08 00:00,84.97,0.42,5.05,Furniture,In-store,Not Returned,Medium
647707,Wall Clock,4,2020-01-08 01:00,18.03,0.12,19.85,Accessories,Online,Not Returned,High
353618,Office Chair,39,2020-01-08 02:00,72.72,0.11,24.11,Stationery,In-store,Not Returned,Medium
869598,White Mug,42,2020-01-08 03:00,25.56,0.27,10.56,Accessories,In-store,Not Returned,Medium
150015,Backpack,11,2020-01-08 04:00,83.63,0.35,10.51,Apparel,Online,Not Returned,Low
872838,Wall Clock,21,2020-01-08 05:00,32.07,0.01,9.79,Stationery,In-store,Not Returned,Medium
222096,T-shirt,4,2020-01-08 06:00,5.05,0.1,13.41,Stationery,Online,Not Returned,Medium
731347,Office Chair,47,2020-01-08 07:00,5.68,0.49,28.5,Apparel,In-store,Not Returned,Medium
285340,Blue Pen,-3,2020-01-08 08:00,85.95,0.26,,Accessories,In-store,Not Returned,Low
210687,Office Chair,13,2020-01-08 09:00,89.57,0.47,8.81,Apparel,Online,Not Returned,High
974371,Backpack,31,2020-01-08 10:00,74.85,0.01,9.29,Electronics,Online,Not Returned,Medium
511357,Wireless Mouse,4,2020-01-08 11:00,97.17,0.38,27.23,Furniture,Online,Not Returned,Low
835716,Desk Lamp,16,2020-01-08 12:00,91.5,0.33,10.81,Furniture,In-store,Not Returned,Low
205878,Notebook,40,2020-01-08 13:00,71.99,0.2,8.09,Accessories,Online,Returned,Low
827270,White Mug,49,2020-01-08 14:00,2.23,0.36,14.89,Stationery,In-store,Not Returned,High
298286,Wireless Mouse,42,2020-01-08 15:00,19.62,0.28,24.27,Electronics,In-store,Not Returned,Medium
873290,Wall Clock,22,2020-01-08 16:00,22.65,0.32,15.26,Accessories,In-store,Not Returned,Medium
874684,Desk Lamp,30,2020-01-08 17:00,28.71,0.1,18.43,Accessories,Online,Not Returned,High
264899,Backpack,16,2020-01-08 18:00,27.83,0.24,16.59,Stationery,In-store,Not Returned,Low
424767,White Mug,4,2020-01-08 19:00,19.9,0.17,5.99,Electronics,In-store,Not Returned,Medium
961882,Wall Clock,25,2020-01-08 20:00,49.1,0.46,25.2,Electronics,In-store,Not Returned,Low
979858,White Mug,39,2020-01-08 21:00,96.14,0.1,25.18,Electronics,Online,Not Returned,Low
479989,Headphones,42,2020-01-08 22:00,5.56,0.29,7.77,Accessories,In-store,Not Returned,Medium
515515,Backpack,45,2020-01-08 23:00,17.82,0.42,26.82,Electronics,Online,Returned,High
143585,Wall Clock,48,2020-01-09 00:00,37.1,0.16,28.1,Electronics,In-store,Not Returned,Medium
471369,White Mug,23,2020-01-09 01:00,61.35,0.22,28.16,Electronics,Online,Not Returned,High
164044,Office Chair,46,2020-01-09 02:00,14.32,0.19,11.89,Stationery,In-store,Not Returned,High
542296,Headphones,45,2020-01-09 03:00,56.42,0.42,25.27,Apparel,Online,Returned,Medium
209556,Headphones,2,2020-01-09 04:00,14.2,0.46,6.51,Furniture,Online,Not Returned,High
626981,Backpack,32,2020-01-09 05:00,21.19,0.47,16.79,Furniture,Online,Not Returned,Low
981691,Backpack,3,2020-01-09 06:00,2.73,0.09,17.4,Accessories,In-store,Not Returned,High
867595,White Mug,-2,2020-01-09 07:00,-96.08,1.702087569366962,,Accessories,Online,Not Returned,Low
300235,T-shirt,8,2020-01-09 08:00,26.85,0.12,17.41,Electronics,In-store,Not Returned,Medium
125939,USB Cable,39,2020-01-09 09:00,61.55,0.27,26.19,Accessories,In-store,Not Returned,Low
252906,Office Chair,4,2020-01-09 10:00,25.53,0.12,17.47,Furniture,Online,Not Returned,Low
642335,Notebook,27,2020-01-09 11:00,92.74,0.45,26.28,Electronics,In-store,Not Returned,Medium
388249,Wireless Mouse,36,2020-01-09 12:00,5.48,0.07,6.8,Furniture,Online,Not Returned,Low
175766,T-shirt,48,2020-01-09 13:00,49.92,0.15,5.24,Electronics,In-store,Returned,Low
508923,White Mug,48,2020-01-09 14:00,33.36,0.41,24.94,Furniture,In-store,Not Returned,Low
515192,Notebook,9,2020-01-09 15:00,37.21,0.33,10.93,Stationery,Online,Returned,Medium
668550,Notebook,8,2020-01-09 16:00,11.0,0.26,22.73,Furniture,In-store,Not Returned,Low
487261,Notebook,14,2020-01-09 17:00,39.81,0.12,22.6,Stationery,Online,Not Returned,Medium
910208,USB Cable,49,2020-01-09 18:00,73.62,0.45,29.87,Electronics,Online,Not Returned,High
785440,Wireless Mouse,38,2020-01-09 19:00,68.71,0.28,23.26,Stationery,Online,Not Returned,High
752664,Office Chair,3,2020-01-09 20:00,91.96,0.49,14.46,Apparel,In-store,Not Returned,Low
554589,Headphones,45,2020-01-09 21:00,6.88,0.38,23.49,Stationery,Online,Not Returned,Low
237848,Headphones,10,2020-01-09 22:00,90.41,0.44,20.95,Accessories,Online,Not Returned,Medium
717075,White Mug,33,2020-01-09 23:00,45.68,0.48,13.9,Apparel,In-store,Not Returned,Medium
227948,Office Chair,18,2020-01-10 00:00,42.63,0.3,19.69,Stationery,In-store,Not Returned,Low
679304,T-shirt,38,2020-01-10 01:00,43.62,0.28,23.87,Stationery,Online,Not Returned,Low
502690,Backpack,27,2020-01-10 02:00,69.79,0.31,22.87,Accessories,In-store,Not Returned,Medium
599046,White Mug,30,2020-01-10 03:00,45.35,0.24,26.7,Apparel,In-store,Not Returned,Low
551269,Backpack,10,2020-01-10 04:00,97.8,0.27,9.03,Accessories,In-store,Not Returned,Medium
121959,Office Chair,40,2020-01-10 05:00,68.35,0.2,10.7,Apparel,In-store,Not Returned,Medium
760890,Desk Lamp,40,2020-01-10 06:00,60.98,0.33,22.52,Accessories,In-store,Not Returned,Medium
850216,Headphones,14,2020-01-10 07:00,16.59,0.11,15.23,Furniture,In-store,Not Returned,High
890180,USB Cable,47,2020-01-10 08:00,24.55,0.35,9.58,Electronics,In-store,Returned,High
328576,Wall Clock,7,2020-01-10 09:00,68.38,0.14,16.63,Electronics,Online,Not Returned,Medium
637833,Blue Pen,11,2020-01-10 10:00,38.46,0.06,11.19,Apparel,Online,Not Returned,Low
265838,White Mug,31,2020-01-10 11:00,76.92,0.31,27.18,Accessories,Online,Not Returned,Medium
435674,USB Cable,26,2020-01-10 12:00,43.43,0.4,14.71,Stationery,In-store,Not Returned,High
979989,Wireless Mouse,22,2020-01-10 13:00,87.31,0.19,14.6,Furniture,Online,Not Returned,Low
161087,Office Chair,6,2020-01-10 14:00,60.02,0.27,15.49,Apparel,Online,Not Returned,High
693128,White Mug,20,2020-01-10 15:00,84.59,0.49,22.17,Furniture,Online,Not Returned,Low
218451,Wall Clock,43,2020-01-10 16:00,88.21,0.19,15.59,Furniture,In-store,Not Returned,Low
547600,White Mug,15,2020-01-10 17:00,33.59,0.05,10.87,Furniture,Online,Not Returned,Low
937437,T-shirt,29,2020-01-10 18:00,39.91,0.1,10.42,Stationery,In-store,Not Returned,Low
539792,Wall Clock,31,2020-01-10 19:00,72.68,0.47,25.65,Apparel,Online,Not Returned,High
139353,Wireless Mouse,10,2020-01-10 20:00,13.14,0.18,15.02,Electronics,In-store,Not Returned,High
293075,Office Chair,14,2020-01-10 21:00,15.27,0.36,13.18,Accessories,In-store,Not Returned,Low
314283,Blue Pen,9,2020-01-10 22:00,82.35,0.25,28.06,Accessories,Online,Not Returned,Medium
414877,Desk Lamp,24,2020-01-10 23:00,2.27,0.26,20.52,Electronics,In-store,Not Returned,High
165318,Headphones,37,2020-01-11 00:00,4.72,0.07,27.76,Stationery,In-store,Not Returned,High
865313,T-shirt,28,2020-01-11 01:00,57.98,0.09,24.25,Furniture,Online,Not Returned,Low
582690,Wireless Mouse,19,2020-01-11 02:00,96.33,0.14,26.75,Apparel,Online,Returned,High
516880,Wireless Mouse,29,2020-01-11 03:00,93.34,0.1,27.69,Electronics,In-store,Not Returned,High
691460,T-shirt,20,2020-01-11 04:00,44.66,0.33,24.92,Apparel,Online,Returned,Medium
840976,T-shirt,15,2020-01-11 05:00,80.11,0.26,29.05,Apparel,In-store,Not Returned,Medium
881239,Office Chair,40,2020-01-11 06:00,69.95,0.35,20.23,Furniture,Online,Not Returned,High
193264,USB Cable,36,2020-01-11 07:00,80.56,0.13,19.72,Accessories,Online,Not Returned,High
870746,White Mug,32,2020-01-11 08:00,25.03,0.04,14.01,Accessories,Online,Not Returned,Low
913168,Desk Lamp,20,2020-01-11 09:00,33.33,0.43,25.47,Apparel,In-store,Not Returned,High
325281,USB Cable,21,2020-01-11 10:00,77.91,0.34,18.12,Accessories,Online,Not Returned,Low
737147,Office Chair,36,2020-01-11 11:00,28.07,0.45,8.76,Furniture,Online,Not Returned,Low
998613,Office Chair,28,2020-01-11 12:00,76.03,0.13,14.05,Electronics,In-store,Not Returned,Medium
494070,Office Chair,38,2020-01-11 13:00,75.52,0.29,25.86,Furniture,Online,Not Returned,Low
452228,Blue Pen,6,2020-01-11 14:00,76.69,0.21,27.65,Furniture,Online,Not Returned,Medium
531839,Headphones,5,2020-01-11 15:00,44.21,0.29,11.91,Apparel,Online,Not Returned,Medium
369536,Wall Clock,7,2020-01-11 16:00,20.07,0.09,8.98,Furniture,Online,Not Returned,Medium
417824,Backpack,45,2020-01-11 17:00,10.47,0.38,25.98,Stationery,In-store,Not Returned,Low
357426,White Mug,47,2020-01-11 18:00,20.21,0.03,21.81,Furniture,Online,Returned,Low
277789,Blue Pen,24,2020-01-11 19:00,49.59,0.37,7.11,Accessories,Online,Not Returned,High
613153,White Mug,35,2020-01-11 20:00,26.84,0.3,14.47,Stationery,In-store,Not Returned,Medium
842452,Office Chair,29,2020-01-11 21:00,86.01,0.09,7.07,Apparel,Online,Not Returned,Medium
937291,Wall Clock,-16,2020-01-11 22:00,-73.6,1.535439956251199,,Electronics,Online,Not Returned,Medium
225657,USB Cable,14,2020-01-11 23:00,74.32,0.38,28.76,Apparel,In-store,Not Returned,Medium
335167,Desk Lamp,35,2020-01-12 00:00,30.31,0.08,6.06,Furniture,In-store,Not Returned,High
781669,T-shirt,4,2020-01-12 01:00,47.54,0.03,8.07,Accessories,In-store,Not Returned,Low
580671,Backpack,18,2020-01-12 02:00,63.78,0.2,13.67,Apparel,Online,Not Returned,Low
819094,Notebook,48,2020-01-12 03:00,44.99,0.15,7.98,Furniture,Online,Not Returned,Medium
170467,Backpack,22,2020-01-12 04:00,79.66,0.3,6.7,Furniture,In-store,Not Returned,Low
