event_date,variant_id,gender,age,impressions,users,clicks,purchases,revenue
2011-07-08,test,M,30s,29,2,29.0,427.0,523.6500000000001
2011-07-08,control,F,20s,16,2,16.0,114.0,280.72
2011-07-14,test,M,20s,72,1,72.0,865.0,2204.36
2011-07-18,test,F,30s,117,1,117.0,384.0,728.0600000000007
2011-07-20,control,F,20s,46,1,46.0,357.0,460.39000000000004
2011-07-20,control,F,30s,23,1,23.0,89.0,153.34000000000003
2011-07-26,control,M,20s,49,3,49.0,1319.0,1968.4700000000003
2011-07-27,test,F,40s,11,1,11.0,148.0,145.32
2011-07-27,control,F,40s,43,1,43.0,143.0,223.3899999999999
2011-07-29,test,F,30s,60,3,60.0,718.0,730.3500000000001
2011-07-29,test,M,40s,3,1,3.0,8.0,41.6
2011-08-05,test,M,30s,14,1,14.0,216.0,463.9
2011-08-11,control,M,50s,63,2,63.0,830.0,1136.0500000000002
2011-08-15,control,M,30s,41,1,41.0,1026.0,1221.3999999999999
2011-08-15,control,M,20s,30,1,30.0,455.0,626.0600000000001
2011-08-16,control,F,50s,8,1,8.0,44.0,166.60000000000002
2011-08-16,test,M,30s,18,1,18.0,365.0,600.66
2011-08-16,test,M,20s,19,1,19.0,452.0,613.9800000000001
2011-08-19,test,M,20s,3,1,3.0,24.0,94.80000000000001
2011-08-21,control,M,50s,106,3,106.0,650.0,928.3999999999994
2011-08-22,test,M,40s,121,2,121.0,774.0,1420.68
2011-08-24,control,M,30s,10,1,10.0,90.0,161.94000000000003
2011-08-31,test,M,20s,14,1,14.0,100.0,275.7
2011-09-11,test,M,40s,30,2,30.0,174.0,547.48
2011-09-11,test,F,30s,50,1,50.0,81.0,203.0800000000001
2011-09-12,test,M,40s,37,1,37.0,442.0,778.6499999999997
2011-09-14,test,F,40s,36,2,36.0,302.0,591.1
2011-09-14,test,M,20s,42,1,42.0,285.0,252.23000000000005
2011-09-14,test,M,30s,18,1,18.0,214.0,551.64
2011-09-15,test,F,20s,23,1,23.0,42.0,202.9
2011-09-15,test,F,30s,1,1,1.0,1.0,2033.1
2011-09-18,control,F,50s,11,1,11.0,218.0,757.7
2011-09-22,test,M,40s,133,5,133.0,1591.0,2493.9999999999995
2011-09-25,control,F,50s,189,4,189.0,1580.0,2079.510000000001
2011-10-05,test,M,40s,16,1,16.0,251.0,406.53000000000003
2011-10-09,control,M,50s,41,1,41.0,106.0,380.53
2011-10-10,test,F,50s,40,1,40.0,376.0,685.6
2011-10-11,control,M,30s,12,2,12.0,294.0,388.03999999999996
2011-10-12,test,M,50s,28,2,28.0,493.0,778.82
2011-10-13,control,M,50s,31,1,31.0,268.0,314.1499999999999
2011-10-13,test,M,40s,21,1,21.0,25.0,84.39999999999998
2011-10-14,test,F,50s,14,1,14.0,134.0,161.0
2011-10-18,control,F,30s,69,3,69.0,1122.0,1756.14
2011-10-18,control,F,20s,11,1,11.0,160.0,284.68
2011-10-19,test,F,50s,21,1,21.0,404.0,552.4
2011-10-27,control,F,40s,8,1,8.0,94.0,437.5
2011-10-28,control,M,30s,17,1,17.0,109.0,304.49
2011-10-28,control,M,20s,19,1,19.0,145.0,284.09
2011-10-31,control,F,50s,13,1,13.0,223.0,427.92999999999995
2011-11-06,test,M,50s,4,1,4.0,24.0,148.44000000000003
2011-11-07,control,M,50s,11,1,11.0,128.0,306.20000000000005
2011-11-08,control,F,20s,110,2,110.0,399.0,700.1000000000003
2011-11-08,test,M,50s,13,2,13.0,94.0,223.67999999999998
2011-11-09,control,M,20s,18,1,18.0,175.0,275.40999999999997
2011-11-09,control,M,30s,43,1,43.0,703.0,1296.37
2011-11-10,control,M,20s,152,5,152.0,1230.0,2376.5299999999997
2011-11-10,control,M,30s,22,1,22.0,275.0,256.05999999999995
2011-11-14,test,F,50s,223,5,223.0,1108.0,2126.690000000002
2011-11-15,control,F,20s,38,2,38.0,415.0,626.43
2011-11-15,control,F,30s,16,1,16.0,164.0,365.40000000000003
2011-11-16,control,F,50s,1,1,1.0,1.0,21.0
2011-11-20,control,F,30s,30,1,30.0,318.0,554.3400000000001
2011-11-20,control,F,20s,19,1,19.0,136.0,371.2
2011-11-21,test,M,30s,98,4,98.0,942.0,1273.2499999999998
2011-11-21,test,M,20s,12,2,12.0,537.0,619.0899999999999
2011-11-21,control,F,50s,18,1,18.0,82.0,362.48
2011-11-22,test,M,40s,119,1,119.0,329.0,695.1899999999996
2011-11-23,control,F,40s,113,2,113.0,684.0,1488.0400000000002
2011-11-23,test,M,50s,2,1,2.0,24.0,94.80000000000001
2011-11-27,test,F,40s,92,1,92.0,135.0,263.21
2011-11-28,control,M,40s,15,1,15.0,152.0,265.24
2011-11-29,test,M,40s,50,2,50.0,2126.0,3868.35
2011-11-29,test,F,50s,1,1,1.0,100.0,179.0
2011-12-01,control,M,50s,21,2,21.0,1461.0,1582.8500000000001
2011-12-01,test,F,40s,23,3,23.0,400.0,1084.54
2011-12-02,control,F,50s,22,1,22.0,39.0,124.83000000000001
2011-12-08,control,M,40s,2,1,2.0,12.0,34.68
2011-12-09,control,M,20s,55,2,55.0,786.0,1479.2799999999997
2010-12-06,control,F,50s,59,1,59.0,210.0,382.69000000000005
2010-12-08,control,M,20s,251,4,251.0,747.0,1603.8500000000022
2010-12-08,control,M,30s,3,1,3.0,148.0,225.0
2010-12-13,test,F,30s,22,2,22.0,169.0,704.9500000000002
2010-12-13,control,M,50s,37,1,37.0,772.0,1485.78
2010-12-15,control,F,50s,24,2,24.0,159.0,569.5699999999999
2010-12-17,test,F,20s,11,1,11.0,114.0,258.7
2010-12-19,control,M,50s,89,2,89.0,808.0,1312.92
2010-12-21,test,M,40s,5,1,5.0,26.0,221.27999999999997
2010-12-21,control,M,20s,38,2,38.0,1546.0,748.1700000000001
2011-01-07,control,M,20s,9,1,9.0,70.0,141.48000000000002
2011-01-07,control,M,30s,20,1,20.0,187.0,328.54
2011-01-09,test,F,50s,27,1,27.0,238.0,488.4600000000001
2011-01-13,control,F,20s,8,1,8.0,155.0,130.85
2011-01-13,control,F,30s,32,2,32.0,255.0,511.84000000000003
2011-01-13,test,F,30s,25,2,25.0,255.0,458.30999999999995
2011-01-13,test,F,20s,15,1,15.0,294.0,328.92
2011-01-26,test,F,30s,19,2,19.0,208.0,569.25
2011-01-26,test,F,20s,21,1,21.0,150.0,328.4
2011-01-28,control,M,20s,10,1,10.0,83.0,159.85000000000002
2011-02-01,test,M,50s,23,1,23.0,197.0,485.73
2011-02-03,control,M,50s,45,2,45.0,341.0,505.15000000000003
2011-02-04,control,M,40s,25,1,25.0,283.0,335.53000000000003
2011-02-06,test,F,50s,13,1,13.0,99.0,145.5
2011-02-08,control,M,50s,11,1,11.0,88.0,179.6
2011-02-15,test,M,50s,29,1,29.0,432.0,549.04
2011-02-16,test,F,50s,33,2,33.0,179.0,600.33
2011-02-17,control,M,50s,28,2,28.0,709.0,536.7
2011-02-17,test,M,50s,44,2,44.0,406.0,723.53
2011-03-02,control,F,30s,4,1,4.0,128.0,374.0
2011-03-07,control,M,50s,28,2,28.0,2502.0,2266.26
2011-03-07,control,F,40s,14,1,14.0,149.0,211.75
2011-03-07,test,M,40s,166,1,166.0,410.0,1281.37
2011-03-08,test,F,40s,55,2,55.0,742.0,1071.2199999999998
2011-03-09,test,M,50s,3,1,3.0,54.0,358.5
2011-03-15,test,F,50s,19,1,19.0,238.0,309.34
2011-03-16,test,F,40s,6,1,6.0,100.0,584.76
2011-03-16,control,M,50s,45,1,45.0,251.0,625.85
2011-03-20,control,F,50s,7,1,7.0,76.0,168.7
2011-03-22,control,M,50s,21,1,21.0,209.0,517.5499999999998
2011-03-23,control,F,20s,79,2,79.0,429.0,1037.9099999999999
2011-03-31,test,F,30s,37,1,37.0,115.0,212.99999999999997
2011-04-04,test,M,40s,59,2,59.0,107.0,546.4899999999997
2011-04-06,control,M,20s,46,2,46.0,589.0,881.9399999999997
2011-04-08,control,M,40s,14,1,14.0,105.0,247.95
2011-04-20,test,F,50s,3,2,3.0,40.0,142.2
2011-04-26,test,M,50s,18,1,18.0,251.0,319.27000000000004
2011-05-01,test,M,40s,33,1,33.0,149.0,388.21000000000004
2011-05-10,control,F,50s,22,1,22.0,252.0,344.85999999999996
2011-05-10,control,M,50s,45,1,45.0,105.0,250.21999999999994
2011-05-15,test,F,20s,23,1,23.0,36.0,63.440000000000005
2011-05-19,control,F,30s,14,2,14.0,145.0,417.40000000000003
2011-05-19,control,F,20s,7,1,7.0,50.0,141.54000000000002
2011-05-20,control,M,30s,94,3,94.0,372.0,943.9400000000002
2011-05-26,control,F,20s,36,2,36.0,86.0,210.87999999999994
2011-05-27,control,M,20s,18,1,18.0,328.0,373.04
2011-06-01,test,M,40s,7,1,7.0,78.0,153.3
2011-06-12,control,M,20s,57,1,57.0,260.0,274.74
2011-06-15,test,F,50s,9,1,9.0,46.0,112.10000000000001
2011-06-17,test,F,20s,19,1,19.0,192.0,832.02
2011-06-17,test,F,30s,10,1,10.0,174.0,379.22
2011-06-19,control,F,30s,39,3,39.0,552.0,653.07
2011-06-19,control,F,20s,2,1,2.0,100.0,535.0
2011-06-19,control,M,40s,11,1,11.0,131.0,223.74
2011-06-20,control,F,40s,58,2,58.0,649.0,1066.6300000000003
2011-06-24,test,F,50s,15,1,15.0,126.0,268.97
2011-06-26,control,M,20s,40,1,40.0,69.0,187.07000000000008
2011-06-30,control,M,50s,25,1,25.0,496.0,300.04
2011-07-01,control,M,20s,82,1,82.0,274.0,304.60999999999984
2011-07-06,control,M,20s,65,2,65.0,578.0,951.6700000000001
2011-07-12,control,M,50s,43,2,43.0,427.0,793.03
2011-07-13,test,M,20s,30,1,30.0,173.0,352.94000000000005
2011-07-14,test,F,40s,36,1,36.0,419.0,791.5699999999996
2011-07-17,control,F,50s,22,1,22.0,114.0,238.4
2011-07-18,control,M,40s,23,2,23.0,628.0,701.7000000000002
2011-07-20,test,F,50s,16,1,16.0,139.0,312.8999999999999
2011-07-21,test,F,30s,2,1,2.0,11.0,109.44999999999999
2011-07-21,test,F,20s,1,1,1.0,109.0,833.85
2011-07-25,control,M,50s,21,1,21.0,281.0,265.2699999999999
2011-07-25,test,F,40s,26,1,26.0,267.0,520.23
2011-07-28,control,M,50s,18,1,18.0,161.0,307.35
2011-07-28,test,M,30s,47,1,47.0,443.0,400.37
2011-07-31,control,F,40s,17,1,17.0,176.0,298.38000000000005
2011-08-05,control,F,50s,4,1,4.0,24.0,90.0
2011-08-09,test,F,50s,19,1,19.0,155.0,358.49
2011-08-14,control,M,20s,21,1,21.0,176.0,330.28000000000003
2011-08-15,control,F,40s,21,2,21.0,383.0,263.85
2011-08-15,test,M,30s,7,1,7.0,88.0,238.00000000000003
2011-08-17,test,M,20s,62,2,62.0,429.0,995.6099999999994
2011-08-17,test,M,30s,29,1,29.0,49.0,85.13000000000002
2011-08-22,control,M,20s,62,1,62.0,846.0,1417.4599999999998
2011-08-22,control,F,50s,55,2,55.0,504.0,756.4399999999999
2011-08-23,test,M,40s,51,1,51.0,374.0,526.72
2011-08-25,control,M,40s,9,1,9.0,35.0,80.18
2011-08-28,control,F,50s,37,1,37.0,188.0,352.23
2011-09-02,control,M,50s,38,2,38.0,164.0,195.22
2011-09-08,test,M,20s,3,1,3.0,160.0,186.32
2011-09-11,control,M,40s,15,1,15.0,252.0,331.56000000000006
2011-09-12,control,M,20s,30,2,30.0,998.0,1808.5800000000004
2011-09-12,control,M,30s,20,1,20.0,164.0,339.83000000000004
2011-09-15,control,M,50s,3,1,3.0,7.0,67.98
2011-09-16,control,M,20s,127,3,127.0,504.0,1060.54
2011-09-19,control,M,40s,22,1,22.0,192.0,344.99999999999994
2011-09-26,test,M,20s,15,1,15.0,100.0,399.15
2011-09-28,control,F,20s,13,1,13.0,113.0,311.99
2011-09-29,control,M,20s,30,3,30.0,1229.0,1431.81
2011-09-29,control,M,30s,58,2,58.0,633.0,1054.07
2011-09-29,test,M,20s,13,1,13.0,84.0,210.17999999999998
2011-10-04,control,F,20s,34,1,34.0,99.0,138.03000000000006
2011-10-11,test,M,50s,79,3,79.0,5963.0,10951.280000000002
2011-10-13,test,F,30s,60,2,60.0,226.0,587.1300000000002
2011-10-13,test,F,20s,32,1,32.0,52.0,192.35000000000002
2011-10-14,control,F,50s,25,1,25.0,291.0,459.53
2011-10-16,test,M,30s,50,2,50.0,275.0,641.4799999999999
2011-10-17,test,F,40s,5,1,5.0,85.0,330.63000000000005
2011-10-17,test,M,30s,13,1,13.0,67.0,131.94
2011-10-18,test,M,40s,78,2,78.0,709.0,1461.07
2011-10-18,test,F,50s,2,1,2.0,144.0,302.40000000000003
2011-10-18,control,M,40s,43,1,43.0,165.0,317.0
2011-10-19,control,M,40s,66,2,66.0,364.0,772.23
2011-10-20,control,F,30s,69,1,69.0,1047.0,2000.3300000000004
2011-10-23,test,F,30s,105,1,105.0,321.0,511.0499999999997
2011-10-25,test,F,40s,37,1,37.0,403.0,734.85
2011-10-30,test,F,20s,31,1,31.0,134.0,244.79999999999995
2011-10-31,test,F,50s,15,1,15.0,161.0,197.70999999999998
2011-10-31,control,M,50s,39,2,39.0,76.0,287.30000000000007
2011-11-01,control,M,50s,2,1,2.0,18.0,107.10000000000001
2011-11-02,test,F,20s,51,2,51.0,685.0,1035.2699999999998
2011-11-02,test,F,30s,143,3,143.0,486.0,956.1800000000007
2011-11-03,control,M,30s,25,2,25.0,184.0,421.4199999999999
2011-11-03,control,M,20s,18,3,18.0,395.0,1691.6500000000005
2011-11-06,test,F,50s,130,2,130.0,346.0,583.6399999999998
2011-11-07,control,F,40s,23,1,23.0,365.0,754.5000000000001
2011-11-09,control,F,40s,57,3,57.0,561.0,1249.2300000000002
2011-11-10,test,M,30s,11,1,11.0,94.0,226.60000000000002
2011-11-11,test,M,40s,19,1,19.0,131.0,202.31000000000003
2011-11-17,control,F,50s,122,1,122.0,272.0,336.54000000000013
2011-11-21,control,M,50s,114,2,114.0,556.0,820.6300000000001
2011-11-22,test,F,50s,19,1,19.0,58.0,114.14
2011-11-24,test,F,40s,12,1,12.0,187.0,220.20000000000005
2011-11-27,control,F,50s,24,2,24.0,274.0,636.1199999999999
2011-11-28,test,F,50s,67,2,67.0,737.0,536.7
2011-11-28,test,M,30s,74,2,74.0,1112.0,1073.2400000000002
2011-11-29,control,M,30s,23,1,23.0,342.0,642.9999999999999
2011-11-29,control,M,20s,80,4,80.0,2080.0,3564.0700000000006
2011-11-30,control,M,20s,18,1,18.0,270.0,441.04
2011-11-30,control,M,30s,3,1,3.0,244.0,363.88
2011-12-05,control,M,50s,95,6,95.0,1144.0,2273.9300000000003
2011-12-07,test,M,30s,8,1,8.0,80.0,110.79999999999998
2011-12-07,test,M,20s,50,1,50.0,136.0,194.94999999999996
2011-12-09,test,M,40s,12,1,12.0,365.0,389.21000000000004
2010-12-01,test,M,50s,8,1,8.0,1676.0,3702.12
2010-12-03,control,F,20s,25,1,25.0,64.0,122.15000000000002
2010-12-08,control,F,20s,19,2,19.0,299.0,586.45
2010-12-08,control,F,30s,30,1,30.0,190.0,692.9399999999999
2010-12-10,control,M,30s,47,2,47.0,243.0,503.01999999999975
2010-12-10,control,M,20s,14,1,14.0,131.0,311.95
2010-12-13,test,M,40s,88,3,88.0,579.0,1104.8599999999997
2010-12-14,control,M,20s,41,3,41.0,218.0,410.46999999999986
2010-12-14,control,M,30s,12,1,12.0,52.0,115.35
2010-12-15,control,M,30s,9,1,9.0,59.0,165.85
2010-12-15,control,M,20s,53,3,53.0,258.0,720.4700000000001
2010-12-16,test,M,50s,108,5,108.0,7793.0,10445.210000000003
2011-01-11,control,M,30s,27,1,27.0,308.0,425.1
2011-01-11,control,M,20s,54,2,54.0,178.0,315.37999999999994
2011-01-13,test,M,50s,17,2,17.0,555.0,961.1099999999999
2011-01-18,control,M,30s,5,1,5.0,96.0,69.6
2011-01-19,control,M,20s,60,3,60.0,646.0,763.94
2011-01-24,test,F,40s,25,1,25.0,78.0,163.04000000000002
2011-01-25,control,M,20s,41,3,41.0,1356.0,3070.2799999999997
2011-01-25,test,M,40s,3,1,3.0,52.0,157.4
2011-01-25,control,M,30s,34,1,34.0,162.0,389.90000000000003
2011-01-28,test,F,50s,31,1,31.0,301.0,524.57
2011-01-31,control,M,20s,76,3,76.0,765.0,1481.3000000000002
2011-01-31,test,M,30s,2,1,2.0,42.0,56.1
2011-01-31,test,M,20s,42,1,42.0,567.0,609.0100000000001
2011-01-31,control,M,30s,83,2,83.0,358.0,547.0499999999997
2011-02-02,control,M,30s,20,2,20.0,330.0,601.4599999999999
2011-02-03,test,F,30s,34,1,34.0,5880.0,6549.119999999999
2011-02-18,control,F,30s,32,1,32.0,151.0,214.04999999999998
2011-02-24,control,F,30s,6,1,6.0,32.0,105.20000000000002
2011-02-25,test,F,20s,19,1,19.0,179.0,371.39000000000004
2011-02-27,control,F,30s,21,2,21.0,308.0,539.1400000000001
2011-02-27,test,F,30s,29,1,29.0,64.0,258.40000000000003
2011-02-28,test,F,30s,87,2,87.0,331.0,913.8800000000002
2011-03-02,control,M,50s,24,1,24.0,67.0,150.82999999999998
2011-03-03,test,M,20s,49,3,49.0,561.0,1191.9099999999999
2011-03-03,control,M,40s,20,1,20.0,459.0,294.3299999999999
2011-03-06,test,M,30s,20,1,20.0,47.0,136.76999999999998
2011-03-08,test,M,50s,11,1,11.0,157.0,328.37
2011-03-09,control,F,20s,81,1,81.0,944.0,1576.36
2011-03-13,control,F,50s,58,2,58.0,395.0,430.50000000000017
2011-03-14,test,M,40s,118,2,118.0,335.0,899.0000000000001
2011-03-17,control,M,50s,43,3,43.0,521.0,1043.72
2011-03-18,control,F,30s,7,1,7.0,24.0,113.35
2011-03-21,test,F,30s,29,1,29.0,124.0,248.19999999999993
2011-03-22,test,M,20s,8,1,8.0,108.0,317.80000000000007
2011-03-24,control,F,30s,114,1,114.0,224.0,433.2899999999997
2011-03-24,control,F,20s,23,1,23.0,262.0,335.32000000000005
2011-03-27,test,F,20s,23,1,23.0,74.0,218.33999999999997
2011-03-31,control,F,50s,16,1,16.0,60.0,133.47
2011-04-05,control,F,20s,3,1,3.0,1296.0,259.20000000000005
2011-04-05,control,F,30s,21,2,21.0,148.0,328.42999999999995
2011-04-06,test,M,20s,1,1,1.0,1.0,39.95
2011-04-10,control,M,20s,71,2,71.0,582.0,1074.9399999999998
2011-04-10,control,F,50s,28,1,28.0,59.0,156.22
2011-04-10,control,M,30s,18,1,18.0,82.0,191.86
2011-04-26,test,F,50s,4,1,4.0,81.0,187.05
2011-05-01,control,F,40s,5,1,5.0,69.0,153.75
2011-05-08,control,F,20s,25,1,25.0,92.0,253.47
2011-05-08,control,F,30s,31,2,31.0,141.0,315.16999999999996
2011-05-10,test,F,40s,13,1,13.0,128.0,215.64999999999998
2011-05-11,test,M,50s,8,1,8.0,480.0,1262.3999999999999
2011-05-11,control,F,50s,30,1,30.0,276.0,574.4599999999999
2011-05-13,test,F,30s,105,3,105.0,782.0,1150.2100000000005
2011-05-16,test,F,50s,27,1,27.0,203.0,560.2700000000001
2011-05-26,test,F,50s,23,1,23.0,79.0,254.42000000000002
2011-05-27,test,F,30s,42,1,42.0,111.0,157.58
2011-06-02,control,M,20s,295,4,295.0,3661.0,11344.120000000003
2011-06-08,test,M,40s,34,2,34.0,576.0,992.27
2011-06-10,control,F,50s,13,1,13.0,212.0,178.21999999999997
2011-06-17,control,M,20s,19,2,19.0,1751.0,1690.4600000000003
2011-06-23,test,M,50s,44,1,44.0,554.0,473.81999999999994
2011-06-24,control,M,40s,31,1,31.0,413.0,634.7400000000002
2011-06-28,control,M,40s,66,1,66.0,460.0,1452.35
2011-07-05,control,F,50s,7,1,7.0,1342.0,1278.1
2011-07-07,control,M,40s,7,1,7.0,360.0,275.76
2011-07-08,test,F,50s,60,1,60.0,99.0,167.49999999999997
2011-07-15,control,F,20s,164,2,164.0,687.0,1431.39
2011-07-15,control,M,50s,46,2,46.0,258.0,417.26000000000005
2011-07-15,control,F,30s,33,1,33.0,73.0,187.39
2011-07-19,control,M,50s,126,6,126.0,1211.0,2505.8899999999994
2011-07-19,control,F,50s,23,1,23.0,174.0,483.0200000000001
2011-07-21,test,M,40s,31,2,31.0,394.0,902.2599999999998
2011-07-26,test,F,40s,38,1,38.0,646.0,490.9999999999999
2011-07-28,test,F,50s,21,1,21.0,542.0,305.00000000000006
2011-07-29,control,F,50s,30,1,30.0,260.0,520.1
2011-08-01,test,F,20s,13,1,13.0,122.0,498.47999999999996
2011-08-01,control,M,30s,32,1,32.0,153.0,206.69000000000003
2011-08-01,control,M,20s,5,1,5.0,916.0,687.0
2011-08-03,control,F,20s,3,1,3.0,648.0,162.0
2011-08-03,control,F,30s,28,1,28.0,332.0,767.0699999999999
2011-08-04,control,M,50s,4,2,4.0,1952.0,646.3199999999999
2011-08-07,test,M,50s,14,1,14.0,50.0,121.11000000000003
2011-08-09,control,M,20s,37,1,37.0,71.0,224.12000000000012
2011-08-10,control,M,20s,17,2,17.0,276.0,326.03000000000003
2011-08-12,control,F,30s,14,1,14.0,190.0,316.99
2011-08-14,test,M,20s,67,1,67.0,86.0,241.47999999999996
2011-08-16,control,M,40s,31,2,31.0,498.0,687.25
2011-08-18,test,M,50s,20,1,20.0,58.0,163.42000000000002
2011-08-19,control,F,50s,21,1,21.0,282.0,546.9000000000001
2011-08-23,test,F,40s,29,1,29.0,269.0,524.0999999999999
2011-08-24,control,F,30s,7,1,7.0,43.0,121.36999999999999
2011-08-26,test,F,20s,1,1,1.0,600.0,432.0
2011-08-30,test,F,20s,16,1,16.0,209.0,291.33000000000004
2011-08-31,control,M,20s,16,2,16.0,106.0,145.84999999999997
2011-09-08,test,F,40s,27,1,27.0,38.0,121.74000000000001
2011-09-09,control,F,20s,53,1,53.0,255.0,377.05999999999995
2011-09-13,control,F,20s,15,1,15.0,216.0,294.24
2011-09-13,test,M,20s,72,1,72.0,972.0,1079.4700000000003
2011-09-20,control,M,40s,2,1,2.0,216.0,228.95999999999998
2011-09-21,control,M,30s,21,1,21.0,235.0,307.18
2011-09-21,control,M,20s,14,1,14.0,279.0,597.4499999999999
2011-09-26,control,F,30s,7,1,7.0,88.0,116.12
2011-09-27,control,M,20s,39,3,39.0,630.0,1195.9199999999998
2011-09-28,test,M,50s,92,1,92.0,1225.0,1810.5100000000004
2011-09-29,control,F,30s,169,3,169.0,1354.0,1985.0400000000009
2011-09-29,control,F,20s,35,1,35.0,565.0,615.3900000000001
2011-10-06,test,M,30s,17,1,17.0,195.0,333.64
2011-10-06,control,F,50s,51,2,51.0,688.0,1438.6399999999999
2011-10-06,test,M,20s,10,1,10.0,454.0,530.1400000000001
2011-10-06,control,M,20s,264,2,264.0,1260.0,1955.53
2011-10-10,test,M,20s,57,2,57.0,697.0,1543.8400000000004
2011-10-10,control,F,30s,50,1,50.0,466.0,869.9799999999998
2011-10-10,control,F,20s,73,2,73.0,334.0,577.6000000000001
2011-10-12,control,F,50s,12,1,12.0,160.0,333.59999999999997
2011-10-17,control,M,20s,107,3,107.0,744.0,1662.0900000000006
