InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
421879,SKU_1578,Wall Clock,43.00,2020-01-01 20:00,77.17,24716.00,Norway,0.30,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low
818315,SKU_1463,Notebook,14.00,2020-01-01 21:00,66.89,16604.00,Norway,0.42,paypall,15.05,Furniture,Online,Not Returned,FedEx,Berlin,High
427069,SKU_1866,Wireless Mouse,39.00,2020-01-01 22:00,66.18,45103.00,Sweden,0.07,Bank Transfer,27.02,Accessories,Online,Not Returned,Royal Mail,Paris,High
876997,SKU_1461,T-shirt,24.00,2020-01-01 23:00,70.01,14803.00,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low
299041,SKU_1048,T-shirt,48.00,2020-01-02 00:00,27.87,26772.00,France,0.24,Bank Transfer,19.61,Electronics,Online,Not Returned,UPS,Berlin,Low
891743,SKU_1818,Blue Pen,30.00,2020-01-02 01:00,59.53,62114.00,Germany,0.25,paypall,23.67,Stationery,Online,Not Returned,DHL,Rome,Low
203355,SKU_1326,USB Cable,33.00,2020-01-02 02:00,97.96,38576.00,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High
335796,SKU_1473,Wall Clock,22.00,2020-01-02 03:00,28.73,60532.00,Netherlands,0.25,Credit Card,8.44,Apparel,Online,Not Returned,FedEx,Rome,Medium
314176,SKU_1887,Office Chair,10.00,2020-01-02 04:00,86.71,47802.00,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,DHL,Amsterdam,Low
284779,SKU_1938,USB Cable,11.00,2020-01-02 05:00,90.69,98066.00,United States,0.39,Credit Card,25.31,Furniture,Online,Not Returned,DHL,Amsterdam,Medium
447449,SKU_1367,White Mug,15.00,2020-01-02 06:00,40.36,83531.00,Portugal,0.03,Credit Card,6.14,Stationery,In-store,Not Returned,Royal Mail,Rome,High
521909,SKU_1286,White Mug,48.00,2020-01-02 07:00,8.39,59307.00,Netherlands,0.08,Bank Transfer,15.29,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium
358795,SKU_1023,Headphones,30.00,2020-01-02 08:00,99.31,61358.00,United Kingdom,0.31,Credit Card,22.31,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium
586232,SKU_1722,Wall Clock,14.00,2020-01-02 09:00,10.32,54696.00,France,0.01,Credit Card,28.90,Stationery,In-store,Returned,DHL,Rome,Low
600186,SKU_1292,Headphones,32.00,2020-01-02 10:00,82.94,26741.00,Netherlands,0.15,Credit Card,28.60,Electronics,Online,Not Returned,UPS,Amsterdam,High
256730,SKU_1448,T-shirt,26.00,2020-01-02 11:00,35.39,28203.00,Australia,0.02,Bank Transfer,21.07,Stationery,In-store,Not Returned,DHL,Rome,Medium
970910,SKU_1984,Backpack,21.00,2020-01-02 12:00,61.34,87631.00,Belgium,0.24,Bank Transfer,9.39,Furniture,In-store,Not Returned,DHL,London,Low
484681,SKU_1062,Desk Lamp,5.00,2020-01-02 13:00,30.77,41311.00,Spain,0.31,paypall,15.27,Stationery,In-store,Not Returned,DHL,Amsterdam,Low
249503,SKU_1567,Wireless Mouse,47.00,2020-01-02 14:00,38.11,52219.00,France,0.27,paypall,25.15,Stationery,In-store,Not Returned,UPS,Paris,Medium
754811,SKU_1457,T-shirt,12.00,2020-01-02 15:00,29.06,30037.00,Portugal,0.15,paypall,12.84,Stationery,Online,Not Returned,UPS,London,Low
627035,SKU_1529,Notebook,29.00,2020-01-02 16:00,21.32,40568.00,Spain,0.16,Credit Card,10.88,Furniture,In-store,Not Returned,UPS,Paris,Low
748143,SKU_1873,Blue Pen,21.00,2020-01-02 17:00,36.85,89341.00,Australia,0.15,paypall,28.34,Electronics,In-store,Not Returned,UPS,Berlin,Low
552366,SKU_1960,Backpack,25.00,2020-01-02 18:00,86.68,69201.00,Australia,0.02,Bank Transfer,23.35,Accessories,In-store,Not Returned,Royal Mail,Berlin,Medium
165725,SKU_1412,USB Cable,16.00,2020-01-02 19:00,9.08,46393.00,France,0.04,Bank Transfer,18.69,Apparel,In-store,Not Returned,Royal Mail,Rome,Low
229981,SKU_1588,Desk Lamp,31.00,2020-01-02 20:00,2.10,47167.00,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,UPS,Amsterdam,Low
184654,SKU_1259,Wall Clock,20.00,2020-01-02 21:00,24.36,73680.00,Norway,0.07,Bank Transfer,18.99,Apparel,In-store,Not Returned,FedEx,London,High
691723,SKU_1632,Wireless Mouse,31.00,2020-01-02 22:00,84.83,57796.00,Netherlands,0.12,Bank Transfer,23.25,Stationery,In-store,Not Returned,UPS,Paris,High
419030,SKU_1907,Wireless Mouse,11.00,2020-01-02 23:00,93.10,18741.00,Australia,0.38,paypall,8.78,Electronics,Online,Not Returned,DHL,Paris,Low
428947,SKU_1183,T-shirt,32.00,2020-01-03 00:00,81.47,85133.00,Italy,0.00,Bank Transfer,9.14,Electronics,Online,Not Returned,DHL,Paris,High
655839,SKU_1047,Office Chair,48.00,2020-01-03 01:00,4.74,0.00,Belgium,0.22,Credit Card,23.11,Accessories,Online,Not Returned,UPS,London,High
373538,SKU_1146,Headphones,8.00,2020-01-03 02:00,20.35,75852.00,Belgium,0.10,Credit Card,20.37,Stationery,In-store,Not Returned,UPS,Rome,Low
431236,SKU_1793,Wall Clock,23.00,2020-01-03 03:00,33.63,25739.00,France,0.33,Bank Transfer,6.60,Apparel,Online,Not Returned,DHL,Rome,Medium
628178,SKU_1875,Backpack,8.00,2020-01-03 04:00,68.66,79905.00,Netherlands,0.13,Credit Card,26.31,Stationery,In-store,Not Returned,Royal Mail,London,Low
665894,SKU_1805,Headphones,2.00,2020-01-03 05:00,33.40,59341.00,Sweden,0.16,Bank Transfer,18.88,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
589492,SKU_1591,T-shirt,27.00,2020-01-03 06:00,49.95,28756.00,Italy,0.30,paypall,10.36,Stationery,In-store,Not Returned,DHL,London,Medium
356840,SKU_1747,Office Chair,36.00,2020-01-03 07:00,5.04,61799.00,United Kingdom,0.15,Bank Transfer,27.63,Apparel,In-store,Returned,FedEx,Paris,Low
573254,SKU_1408,Blue Pen,35.00,2020-01-03 08:00,4.66,32638.00,Australia,0.27,paypall,19.65,Furniture,In-store,Not Returned,UPS,London,Low
449457,SKU_1439,Desk Lamp,23.00,2020-01-03 09:00,73.48,80321.00,Italy,0.37,Bank Transfer,29.57,Stationery,Online,Not Returned,DHL,Amsterdam,High
765987,SKU_1457,Blue Pen,41.00,2020-01-03 10:00,11.40,35294.00,Germany,0.08,Bank Transfer,12.87,Accessories,Online,Not Returned,UPS,Berlin,High
370936,SKU_1228,Backpack,48.00,2020-01-03 11:00,28.29,47376.00,Belgium,0.33,Bank Transfer,16.89,Apparel,Online,Not Returned,DHL,Rome,High
339931,SKU_1283,Office Chair,13.00,2020-01-03 12:00,1.47,46641.00,Spain,0.32,paypall,8.53,Stationery,Online,Not Returned,UPS,London,Low
339629,SKU_1572,Notebook,31.00,2020-01-03 13:00,55.33,72552.00,Italy,0.05,Credit Card,25.13,Furniture,Online,Not Returned,Royal Mail,Paris,Low
305041,SKU_1731,Desk Lamp,45.00,2020-01-03 14:00,54.79,0.00,United Kingdom,0.23,Credit Card,8.97,Accessories,In-store,Not Returned,DHL,,Medium
798361,SKU_1344,Office Chair,30.00,2020-01-03 15:00,45.18,64580.00,Netherlands,0.32,Credit Card,13.75,Furniture,Online,Not Returned,UPS,Amsterdam,Medium
831912,SKU_1600,Wireless Mouse,6.00,2020-01-03 16:00,78.90,54809.00,Italy,0.10,Bank Transfer,12.89,Accessories,Online,Not Returned,DHL,Berlin,High
517113,SKU_1946,Notebook,20.00,2020-01-03 17:00,39.00,43390.00,Italy,0.09,paypall,21.67,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium
168148,SKU_1907,Wireless Mouse,26.00,2020-01-03 18:00,25.56,59957.00,United States,0.48,Bank Transfer,10.40,Electronics,In-store,Not Returned,UPS,London,High
877089,SKU_1263,Office Chair,36.00,2020-01-03 19:00,34.13,68005.00,Italy,0.32,Bank Transfer,20.69,Apparel,Online,Not Returned,FedEx,Paris,Medium
748531,SKU_1739,USB Cable,19.00,2020-01-03 20:00,69.38,96641.00,Norway,0.33,paypall,27.74,Furniture,Online,Not Returned,UPS,Amsterdam,Medium
351995,SKU_1377,USB Cable,22.00,2020-01-03 21:00,94.81,33544.00,Germany,0.43,Bank Transfer,25.61,Accessories,In-store,Not Returned,UPS,London,Medium
778843,SKU_1102,Wall Clock,12.00,2020-01-03 22:00,70.77,94953.00,Germany,0.33,Bank Transfer,17.00,Electronics,In-store,Not Returned,FedEx,Rome,High
672843,SKU_1953,Headphones,3.00,2020-01-03 23:00,99.17,0.00,United States,0.03,paypall,11.58,Stationery,Online,Not Returned,DHL,London,Medium
356508,SKU_1599,T-shirt,5.00,2020-01-04 00:00,61.05,55140.00,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low
903591,SKU_1022,T-shirt,5.00,2020-01-04 01:00,94.77,55936.00,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low
996942,SKU_1292,White Mug,43.00,2020-01-04 02:00,15.02,34933.00,Australia,0.02,Credit Card,18.34,Furniture,Online,Not Returned,UPS,Berlin,High
206530,SKU_1266,Notebook,23.00,2020-01-04 03:00,24.56,14443.00,Sweden,0.32,paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low
704365,SKU_1528,Office Chair,14.00,2020-01-04 04:00,66.41,16761.00,United Kingdom,0.22,paypall,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High
922352,SKU_1475,White Mug,49.00,2020-01-04 05:00,49.41,80434.00,United Kingdom,0.38,Bank Transfer,8.80,Stationery,In-store,Not Returned,Royal Mail,London,Low
560337,SKU_1951,Blue Pen,39.00,2020-01-04 06:00,36.99,83214.00,Belgium,0.38,paypall,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium
824839,SKU_1948,Blue Pen,7.00,2020-01-04 07:00,36.14,48511.00,United States,0.34,Bank Transfer,6.87,Furniture,In-store,Not Returned,UPS,Amsterdam,Medium
905889,SKU_1450,Backpack,35.00,2020-01-04 08:00,30.82,53228.00,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low
559773,SKU_1897,Wireless Mouse,38.00,2020-01-04 09:00,81.28,42562.00,Sweden,0.18,paypall,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High
308261,SKU_1284,Headphones,14.00,2020-01-04 10:00,36.13,96452.00,Italy,0.34,Credit Card,14.95,Apparel,In-store,Returned,DHL,Berlin,Low
864469,SKU_1312,USB Cable,17.00,2020-01-04 11:00,8.62,35193.00,Belgium,0.13,paypall,19.11,Stationery,Online,Not Returned,FedEx,Amsterdam,Low
441097,SKU_1161,T-shirt,7.00,2020-01-04 12:00,15.96,30966.00,United Kingdom,0.28,paypall,23.88,Electronics,Online,Not Returned,DHL,Paris,High
415139,SKU_1589,USB Cable,20.00,2020-01-04 13:00,49.92,62514.00,Germany,0.40,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low
271829,SKU_1121,T-shirt,34.00,2020-01-04 14:00,13.63,61596.00,Norway,0.08,Bank Transfer,24.20,Stationery,Online,Not Returned,DHL,Berlin,Low
371836,SKU_1480,T-shirt,30.00,2020-01-04 15:00,83.42,62583.00,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low
538974,SKU_1111,Wireless Mouse,40.00,2020-01-04 16:00,91.57,82963.00,Norway,0.35,paypall,29.97,Accessories,In-store,Not Returned,FedEx,London,High
302283,SKU_1238,T-shirt,13.00,2020-01-04 17:00,7.54,89681.00,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low
296769,SKU_1209,White Mug,6.00,2020-01-04 18:00,87.27,79200.00,Belgium,0.08,paypall,22.59,Electronics,Online,Not Returned,DHL,Paris,Low
661353,SKU_1348,White Mug,27.00,2020-01-04 19:00,68.95,28796.00,United States,0.45,Bank Transfer,18.10,Stationery,Online,Not Returned,UPS,Amsterdam,Medium
323165,SKU_1510,Backpack,18.00,2020-01-04 20:00,33.22,76428.00,France,0.22,Bank Transfer,24.77,Stationery,Online,Not Returned,Royal Mail,Rome,Medium
723587,SKU_1001,Blue Pen,24.00,2020-01-04 21:00,25.98,46156.00,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium
635822,SKU_1891,Office Chair,32.00,2020-01-04 22:00,41.15,97271.00,United Kingdom,0.40,Credit Card,7.70,Accessories,Online,Not Returned,DHL,Berlin,High
587879,SKU_1714,Wall Clock,39.00,2020-01-04 23:00,60.36,90167.00,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High
664685,SKU_1798,Backpack,26.00,2020-01-05 00:00,24.81,95325.00,Germany,0.40,Credit Card,26.82,Apparel,In-store,Returned,Royal Mail,Rome,Medium
882038,SKU_1628,White Mug,34.00,2020-01-05 01:00,88.14,41384.00,Netherlands,0.07,Bank Transfer,12.45,Furniture,Online,Not Returned,UPS,London,High
453531,SKU_1880,Wall Clock,21.00,2020-01-05 02:00,3.75,84562.00,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low
363160,SKU_1460,USB Cable,28.00,2020-01-05 03:00,7.96,97931.00,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low
679879,SKU_1811,Backpack,5.00,2020-01-05 04:00,48.24,14493.00,Belgium,0.18,paypall,6.68,Stationery,Online,Not Returned,DHL,Amsterdam,Medium
320884,SKU_1894,Office Chair,42.00,2020-01-05 05:00,34.93,71731.00,France,0.41,paypall,17.40,Accessories,Online,Not Returned,Royal Mail,London,High
123247,SKU_1857,T-shirt,18.00,2020-01-05 06:00,31.83,60583.00,France,0.42,Credit Card,27.47,Apparel,Online,Returned,FedEx,Paris,High
124300,SKU_1951,Headphones,8.00,2020-01-05 07:00,46.19,0.00,Norway,0.10,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,,High
567281,SKU_1481,T-shirt,43.00,2020-01-05 08:00,57.77,97562.00,United States,0.10,Credit Card,11.10,Furniture,Online,Not Returned,FedEx,Amsterdam,Low
707086,SKU_1949,Notebook,48.00,2020-01-05 09:00,15.68,90838.00,Portugal,0.23,Credit Card,8.83,Apparel,In-store,Not Returned,DHL,London,High
633556,SKU_1948,USB Cable,34.00,2020-01-05 10:00,85.06,64838.00,United Kingdom,0.01,Bank Transfer,29.98,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium
448951,SKU_1625,White Mug,22.00,2020-01-05 11:00,35.03,30725.00,France,0.24,Bank Transfer,8.25,Furniture,Online,Not Returned,DHL,Amsterdam,Low
374329,SKU_1585,Blue Pen,23.00,2020-01-05 12:00,49.73,59407.00,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High
819064,SKU_1971,Headphones,9.00,2020-01-05 13:00,57.10,90824.00,Sweden,0.01,Bank Transfer,11.88,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low
842139,SKU_1240,Wireless Mouse,27.00,2020-01-05 14:00,65.17,96508.00,Norway,0.12,paypall,28.59,Apparel,In-store,Returned,UPS,Rome,High
532315,SKU_1981,Backpack,14.00,2020-01-05 15:00,12.16,70672.00,Norway,0.20,Bank Transfer,12.57,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium
616588,SKU_1813,USB Cable,20.00,2020-01-05 16:00,84.61,19020.00,Norway,0.26,Bank Transfer,11.70,Stationery,In-store,Not Returned,FedEx,Paris,High
336584,SKU_1053,Notebook,26.00,2020-01-05 17:00,7.36,90743.00,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low
662332,SKU_1670,Wireless Mouse,41.00,2020-01-05 18:00,22.68,64659.00,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium
937646,SKU_1466,Wireless Mouse,7.00,2020-01-05 19:00,10.74,90633.00,United Kingdom,0.44,Bank Transfer,17.30,Accessories,In-store,Not Returned,DHL,Rome,Low
476896,SKU_1108,Blue Pen,24.00,2020-01-05 20:00,76.55,54727.00,United States,0.00,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium
148984,SKU_1279,White Mug,9.00,2020-01-05 21:00,71.63,10961.00,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High
402918,SKU_1664,Blue Pen,43.00,2020-01-05 22:00,30.59,66873.00,Belgium,0.20,paypall,10.32,Stationery,Online,Returned,UPS,London,High
364712,SKU_1674,Office Chair,7.00,2020-01-05 23:00,78.42,25714.00,Norway,0.05,Bank Transfer,26.71,Stationery,Online,Not Returned,DHL,Rome,Low
220151,SKU_1056,Wireless Mouse,37.00,2020-01-06 00:00,91.00,33058.00,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High
555808,SKU_1839,Notebook,4.00,2020-01-06 01:00,19.27,83367.00,France,0.07,Credit Card,25.98,Accessories,Online,Not Returned,DHL,Amsterdam,Low
233767,SKU_1836,Wall Clock,11.00,2020-01-06 02:00,37.38,15608.00,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
748663,SKU_1213,Headphones,4.00,2020-01-06 03:00,53.39,49169.00,Netherlands,0.50,Bank Transfer,8.56,Furniture,Online,Not Returned,FedEx,Berlin,Medium
803550,SKU_1507,White Mug,28.00,2020-01-06 04:00,31.18,70906.00,Spain,0.38,Bank Transfer,6.10,Stationery,In-store,Not Returned,Royal Mail,Berlin,High
236330,SKU_1027,Backpack,49.00,2020-01-06 05:00,66.80,39946.00,Netherlands,0.36,Bank Transfer,11.84,Stationery,Online,Not Returned,FedEx,Rome,High
580754,SKU_1203,Wall Clock,27.00,2020-01-06 06:00,83.54,67934.00,Netherlands,0.33,Credit Card,9.51,Stationery,In-store,Not Returned,DHL,London,Medium
401648,SKU_1544,Headphones,17.00,2020-01-06 07:00,73.34,30303.00,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium
788519,SKU_1308,Notebook,40.00,2020-01-06 08:00,94.43,62272.00,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low
113986,SKU_1633,T-shirt,6.00,2020-01-06 09:00,39.39,43069.00,United Kingdom,0.29,Bank Transfer,9.85,Electronics,In-store,Not Returned,DHL,Rome,Medium
686146,SKU_1527,USB Cable,17.00,2020-01-06 10:00,19.05,25812.00,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low
229312,SKU_1665,Headphones,43.00,2020-01-06 11:00,87.12,78376.00,Germany,0.45,Bank Transfer,18.17,Electronics,In-store,Not Returned,UPS,London,Low
112666,SKU_1907,T-shirt,12.00,2020-01-06 12:00,98.82,63965.00,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High
400804,SKU_1342,Desk Lamp,40.00,2020-01-06 13:00,45.27,58575.00,France,0.08,paypall,21.25,Apparel,In-store,Not Returned,UPS,Berlin,Low
234633,SKU_1217,White Mug,1.00,2020-01-06 14:00,19.89,55924.00,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High
388998,SKU_1616,Desk Lamp,29.00,2020-01-06 15:00,29.51,52354.00,Australia,0.43,paypall,19.15,Accessories,In-store,Not Returned,UPS,Berlin,Medium
950937,SKU_1588,Wall Clock,26.00,2020-01-06 16:00,44.69,78432.00,France,0.46,Bank Transfer,21.57,Electronics,In-store,Not Returned,Royal Mail,London,Low
728776,SKU_1086,Wall Clock,8.00,2020-01-06 17:00,14.92,75894.00,France,0.16,Bank Transfer,14.11,Accessories,Online,Not Returned,DHL,Rome,Medium
807611,SKU_1030,T-shirt,30.00,2020-01-06 18:00,39.72,18762.00,Portugal,0.08,paypall,14.40,Stationery,Online,Not Returned,FedEx,Paris,High
384806,SKU_1099,Notebook,30.00,2020-01-06 19:00,69.96,15347.00,France,0.27,paypall,18.70,Stationery,Online,Not Returned,DHL,Amsterdam,High
894824,SKU_1666,Office Chair,4.00,2020-01-06 20:00,52.48,60989.00,Spain,0.37,paypall,29.12,Apparel,In-store,Not Returned,DHL,London,High
130535,SKU_1803,White Mug,24.00,2020-01-06 21:00,78.64,53955.00,Australia,0.06,paypall,8.97,Stationery,In-store,Not Returned,UPS,Rome,High
475713,SKU_1314,Wall Clock,26.00,2020-01-06 22:00,11.49,83421.00,France,0.21,Credit Card,18.94,Apparel,Online,Not Returned,DHL,Paris,Medium
938688,SKU_1494,Desk Lamp,8.00,2020-01-06 23:00,84.06,62215.00,Sweden,0.25,Credit Card,13.35,Stationery,Online,Not Returned,UPS,Paris,Medium
921654,SKU_1470,Blue Pen,18.00,2020-01-07 01:00,36.00,24841.00,Netherlands,0.16,Credit Card,17.99,Accessories,In-store,Not Returned,FedEx,Rome,High
701661,SKU_1741,Desk Lamp,34.00,2020-01-07 02:00,59.68,25661.00,Norway,0.34,Credit Card,15.93,Stationery,Online,Not Returned,DHL,London,Medium
589570,SKU_1733,Wall Clock,40.00,2020-01-07 04:00,16.31,72722.00,Italy,0.30,Credit Card,6.51,Apparel,Online,Not Returned,DHL,Paris,Medium
556551,SKU_1632,USB Cable,9.00,2020-01-07 05:00,3.00,37447.00,Spain,0.41,Credit Card,5.01,Accessories,In-store,Not Returned,DHL,Berlin,Medium
373109,SKU_1671,White Mug,20.00,2020-01-07 06:00,28.40,44898.00,Netherlands,0.49,Credit Card,28.77,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
124538,SKU_1782,T-shirt,40.00,2020-01-07 07:00,33.55,48163.00,Australia,0.28,Bank Transfer,10.63,Furniture,In-store,Not Returned,UPS,Rome,Low
994498,SKU_1997,Headphones,47.00,2020-01-07 08:00,16.09,25641.00,Italy,0.42,Credit Card,6.17,Electronics,In-store,Returned,Royal Mail,Berlin,Low
301664,SKU_1330,White Mug,46.00,2020-01-07 09:00,76.94,96058.00,United Kingdom,0.04,Credit Card,25.40,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
591234,SKU_1193,Wall Clock,2.00,2020-01-07 10:00,65.92,73431.00,Sweden,0.46,Credit Card,13.12,Furniture,Online,Not Returned,UPS,Berlin,High
999684,SKU_1729,Blue Pen,43.00,2020-01-07 11:00,21.13,10263.00,Sweden,0.07,Bank Transfer,12.09,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
239182,SKU_1190,T-shirt,39.00,2020-01-07 12:00,16.36,97116.00,Italy,0.02,paypall,24.95,Furniture,In-store,Not Returned,Royal Mail,Paris,Medium
572525,SKU_1251,Wall Clock,21.00,2020-01-07 13:00,49.16,40318.00,Portugal,0.36,Credit Card,25.76,Furniture,In-store,Not Returned,DHL,Amsterdam,Low
258338,SKU_1737,Blue Pen,14.00,2020-01-07 14:00,85.66,99357.00,United Kingdom,0.02,Bank Transfer,7.49,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
284064,SKU_1000,Blue Pen,30.00,2020-01-07 15:00,38.20,35788.00,France,0.42,Bank Transfer,19.99,Stationery,In-store,Not Returned,UPS,Berlin,Low
314020,SKU_1458,White Mug,42.00,2020-01-07 16:00,63.34,27891.00,United States,0.42,paypall,10.89,Accessories,Online,Not Returned,DHL,London,Medium
723094,SKU_1644,Blue Pen,46.00,2020-01-07 17:00,23.10,11617.00,United States,0.00,paypall,27.63,Furniture,In-store,Not Returned,Royal Mail,Rome,Low
997421,SKU_1089,Notebook,17.00,2020-01-07 18:00,90.61,53537.00,Italy,0.18,paypall,14.91,Furniture,Online,Not Returned,Royal Mail,Paris,High
715270,SKU_1517,T-shirt,33.00,2020-01-07 19:00,81.72,99835.00,Portugal,0.29,Bank Transfer,15.35,Stationery,In-store,Not Returned,UPS,Paris,Medium
