order_id,customer_id,order_date,order_amount,payment_method,category
O00062,C0073,2026-02-10,229000.0,MOBILE,beauty
O00063,C0136,2026-01-03,288000.0,POINT,food
O00064,C0035,2026-03-09,64000.0,CARD,electronics
O00065,C0070,2026-03-14,112000.0,POINT,fashion
O00066,C0068,2026-05-10,255000.0,POINT,book
O00067,C0024,2026-04-19,146000.0,CARD,book
O00068,C0086,2026-02-03,139000.0,CASH,digital
O00069,C0142,2026-04-20,292000.0,CARD,food
O00070,C0020,2026-02-08,284000.0,CARD,sports
O00071,C0150,2026-05-22,80000.0,TRANSFER,electronics
O00072,C0011,2026-03-20,191000.0,CARD,sports
O00073,C0054,2026-03-05,57000.0,POINT,living
O00074,C0040,2026-03-02,88000.0,CASH,living
O00075,C0007,2026-02-15,175000.0,TRANSFER,fashion
O00076,C0069,2026-02-10,60000.0,TRANSFER,book
O00077,C0121,2026-02-26,107000.0,TRANSFER,sports
O00078,C0079,2026-02-28,119000.0,CARD,fashion
O00079,C0103,2026-03-26,147000.0,CARD,beauty
O00080,C0090,2026-05-11,209000.0,MOBILE,sports
O00081,C0008,2026-01-30,138000.0,CASH,beauty
O00082,C0010,2026-01-28,227000.0,POINT,sports
O00083,C0112,2026-05-11,64000.0,TRANSFER,fashion
O00084,C0066,2026-01-12,228000.0,CARD,fashion
O00085,C0094,2026-04-21,40000.0,POINT,sports
O00086,C0032,2026-03-18,264000.0,POINT,living
O00087,C0084,2026-04-14,156000.0,MOBILE,electronics
O00088,C0050,2026-04-18,199000.0,CASH,beauty
O00089,C0104,2026-05-21,5000.0,POINT,beauty
O00090,C0054,2026-04-21,169000.0,TRANSFER,digital
O00091,C0114,2026-02-24,266000.0,TRANSFER,electronics
O00092,C0022,2026-03-14,268000.0,MOBILE,sports
O00093,C0024,2026-03-02,163000.0,CASH,fashion
O00094,C0038,2026-01-07,28000.0,CASH,digital
O00095,C0019,2026-04-27,217000.0,MOBILE,fashion
O00096,C0099,2026-05-07,209000.0,CASH,electronics
O00097,C0002,2026-01-28,222000.0,CASH,electronics
O00098,C0133,2026-04-29,30000.0,MOBILE,fashion
O00099,C0032,2026-04-27,73000.0,TRANSFER,sports
O00100,C0114,2026-05-10,223000.0,MOBILE,digital
O00101,C0041,2026-05-02,235000.0,POINT,fashion
O00102,C0071,2026-05-14,253000.0,CASH,beauty
O00103,C0113,2026-01-20,151000.0,CASH,beauty
O00104,C0086,2026-03-23,281000.0,CARD,electronics
O00105,C0039,2026-03-01,201000.0,CASH,fashion
O00106,C0017,2026-04-17,213000.0,POINT,digital
O00107,C0107,2026-01-16,110000.0,TRANSFER,living
O00108,C0150,2026-01-06,299000.0,TRANSFER,digital
O00109,C0002,2026-04-01,157000.0,TRANSFER,living
O00110,C0138,2026-05-20,117000.0,TRANSFER,fashion
O00111,C0070,2026-04-22,253000.0,CARD,living
O00112,C0087,2026-04-14,89000.0,TRANSFER,electronics
O00113,C0137,2026-01-07,206000.0,MOBILE,book
O00114,C0022,2026-04-20,74000.0,TRANSFER,electronics
O00115,C0013,2026-03-08,199000.0,POINT,fashion
O00116,C0117,2026-03-25,177000.0,TRANSFER,beauty
O00117,C0108,2026-03-06,46000.0,TRANSFER,book
O00118,C0139,2026-01-14,184000.0,CASH,food
O00119,C0011,2026-01-08,131000.0,CASH,book
O00120,C0040,2026-03-03,69000.0,TRANSFER,food
O00121,C0145,2026-02-25,243000.0,POINT,sports
O00122,C0043,2026-01-30,88000.0,POINT,food
O00123,C0149,2026-01-07,164000.0,MOBILE,living
O00124,C0102,2026-02-20,43000.0,MOBILE,fashion
O00125,C0027,2026-03-19,66000.0,MOBILE,book
O00126,C0089,2026-05-17,224000.0,POINT,food
O00127,C0130,2026-03-29,11000.0,TRANSFER,digital
O00128,C0028,2026-04-21,190000.0,TRANSFER,electronics
O00129,C0112,2026-02-15,272000.0,POINT,digital
O00130,C0120,2026-04-22,142000.0,POINT,fashion
O00131,C0023,2026-03-13,235000.0,CASH,digital
O00132,C0146,2026-04-08,177000.0,CARD,digital
O00133,C0084,2026-02-16,254000.0,CASH,sports
O00134,C0067,2026-03-29,148000.0,MOBILE,beauty
O00135,C0143,2026-01-03,269000.0,CASH,food
O00136,C0062,2026-04-15,255000.0,MOBILE,fashion
O00137,C0122,2026-05-06,234000.0,CARD,food
O00138,C0076,2026-02-26,212000.0,CASH,beauty
O00139,C0149,2026-04-05,247000.0,MOBILE,sports
O00140,C0109,2026-05-21,174000.0,POINT,digital
O00141,C0070,2026-03-20,133000.0,CASH,food
O00142,C0050,2026-03-22,66000.0,MOBILE,electronics
O00143,C0050,2026-02-25,252000.0,POINT,beauty
O00144,C0026,2026-02-19,156000.0,CASH,sports
O00145,C0046,2026-03-19,12000.0,MOBILE,electronics
O00146,C0071,2026-01-12,32000.0,MOBILE,beauty
O00147,C0033,2026-05-06,57000.0,CARD,beauty
O00148,C0121,2026-05-03,230000.0,POINT,electronics
O00149,C0014,2026-03-06,249000.0,CARD,food
O00150,C0103,2026-05-06,42000.0,MOBILE,book
O00151,C0039,2026-02-08,293000.0,POINT,food
O00152,C0064,2026-01-31,290000.0,TRANSFER,fashion
O00153,C0134,2026-04-08,235000.0,TRANSFER,beauty
O00154,C0110,2026-03-20,296000.0,MOBILE,book
O00155,C0026,2026-02-23,113000.0,POINT,food
O00156,C0041,2026-03-03,93000.0,MOBILE,food
O00157,C0041,2026-01-01,214000.0,TRANSFER,digital
O00158,C0075,2026-01-09,123000.0,POINT,beauty
O00159,C0117,2026-01-19,124000.0,POINT,fashion
O00160,C0109,2026-01-30,283000.0,CASH,electronics
O00161,C0069,2026-02-06,41000.0,CARD,electronics
O00162,C0079,2026-05-26,152000.0,TRANSFER,food
O00163,C0120,2026-03-19,211000.0,POINT,digital
O00164,C0113,2026-01-21,25000.0,TRANSFER,sports
O00165,C0065,2026-01-07,51000.0,CASH,book
O00166,C0069,2026-05-28,25000.0,CASH,digital
O00167,C0133,2026-04-24,147000.0,CASH,living
O00168,C0126,2026-01-24,245000.0,POINT,living
O00169,C0086,2026-03-24,58000.0,CASH,sports
O00170,C0106,2026-05-07,152000.0,TRANSFER,book
O00171,C0117,2026-01-23,166000.0,POINT,sports
O00172,C0030,2026-04-14,268000.0,CARD,digital
O00173,C0106,2026-01-14,101000.0,MOBILE,sports
O00174,C0128,2026-04-24,31000.0,CASH,beauty
O00175,C0141,2026-02-03,152000.0,TRANSFER,digital
O00176,C0032,2026-01-08,127000.0,CASH,beauty
O00177,C0142,2026-01-04,287000.0,TRANSFER,food
O00178,C0058,2026-01-30,241000.0,CARD,electronics
O00179,C0128,2026-03-16,265000.0,POINT,living
O00180,C0124,2026-05-01,129000.0,TRANSFER,electronics
O00181,C0099,2026-02-18,265000.0,CASH,food
O00182,C0071,2026-04-17,179000.0,MOBILE,beauty
O00183,C0001,2026-03-14,157000.0,MOBILE,digital
O00184,C0039,2026-04-25,280000.0,TRANSFER,sports
O00185,C0086,2026-05-22,283000.0,TRANSFER,digital
O00186,C0083,2026-02-18,127000.0,MOBILE,living
O00187,C0060,2026-04-16,27000.0,POINT,digital
O00188,C0098,2026-04-09,82000.0,TRANSFER,book
O00189,C0033,2026-05-09,174000.0,CARD,digital
O00190,C0026,2026-05-15,238000.0,CARD,electronics
O00191,C0105,2026-02-09,43000.0,TRANSFER,beauty
O00192,C0087,2026-04-12,46000.0,POINT,living
O00193,C0082,2026-05-05,282000.0,CARD,food
O00194,C0061,2026-03-15,121000.0,CARD,living
O00195,C0026,2026-01-26,232000.0,CASH,beauty
O00196,C0008,2026-01-12,171000.0,CARD,beauty
O00197,C0092,2026-04-06,225000.0,CASH,fashion
O00198,C0136,2026-04-16,294000.0,CASH,electronics
O00199,C0045,2026-01-21,200000.0,MOBILE,fashion
O00200,C0128,2026-05-30,78000.0,CASH,digital
O00201,C0066,2026-04-28,135000.0,CARD,digital
O00202,C0074,2026-05-20,85000.0,CARD,digital
O00203,C0089,2026-03-18,222000.0,POINT,digital
O00204,C0078,2026-02-20,201000.0,TRANSFER,food
O00205,C0061,2026-04-08,297000.0,POINT,beauty
O00206,C0076,2026-01-06,207000.0,POINT,book
O00207,C0145,2026-01-13,259000.0,POINT,fashion
O00208,C0091,2026-02-26,102000.0,MOBILE,beauty
O00209,C0036,2026-01-25,25000.0,POINT,digital
O00210,C0009,2026-05-29,191000.0,CASH,food
O00211,C0076,2026-03-25,217000.0,CASH,fashion
O00212,C0034,2026-05-19,192000.0,MOBILE,beauty
O00213,C0043,2026-03-07,251000.0,POINT,sports
O00214,C0030,2026-04-30,43000.0,CASH,fashion
O00215,C0102,2026-05-23,192000.0,CARD,living
O00216,C0004,2026-03-09,279000.0,CARD,digital
O00217,C0095,2026-03-09,200000.0,POINT,food
O00218,C0060,2026-05-01,17000.0,MOBILE,sports
O00219,C0057,2026-01-17,242000.0,POINT,living
O00220,C0030,2026-02-05,28000.0,CARD,beauty
O00221,C0127,2026-01-30,54000.0,CASH,electronics
O00222,C0100,2026-04-27,194000.0,MOBILE,living
O00223,C0040,2026-04-17,55000.0,TRANSFER,living
O00224,C0072,2026-01-09,194000.0,CASH,digital
O00225,C0114,2026-03-02,190000.0,CARD,sports
O00226,C0140,2026-04-02,36000.0,TRANSFER,beauty
O00227,C0049,2026-02-01,237000.0,CARD,fashion
O00228,C0006,2026-01-13,175000.0,CASH,electronics
O00229,C0145,2026-02-22,40000.0,MOBILE,fashion
O00230,C0056,2026-03-01,173000.0,CASH,book
O00231,C0071,2026-02-07,71000.0,MOBILE,beauty
O00232,C0045,2026-01-29,18000.0,CASH,book
O00233,C0092,2026-03-02,170000.0,CARD,electronics
O00234,C0068,2026-01-14,69000.0,TRANSFER,food
O00235,C0017,2026-05-02,234000.0,POINT,food
O00236,C0116,2026-05-09,118000.0,MOBILE,book
O00237,C0134,2026-03-19,239000.0,CARD,book
O00238,C0123,2026-04-13,223000.0,CARD,digital
O00239,C0114,2026-01-19,46000.0,POINT,electronics
O00240,C0017,2026-02-02,145000.0,MOBILE,sports
O00241,C0098,2026-05-16,155000.0,TRANSFER,living
O00242,C0026,2026-01-30,287000.0,CASH,living
O00243,C0116,2026-02-28,216000.0,POINT,digital
O00244,C0103,2026-04-17,53000.0,POINT,living
O00245,C0081,2026-03-07,196000.0,CASH,digital
O00246,C0018,2026-01-24,48000.0,CARD,living
O00247,C0025,2026-04-06,71000.0,MOBILE,book
O00248,C0144,2026-05-24,173000.0,CARD,living
O00249,C0091,2026-04-19,31000.0,POINT,beauty
O00250,C0091,2026-01-27,300000.0,MOBILE,fashion
O00251,C0040,2026-05-04,119000.0,CARD,sports
O00252,C0143,2026-04-05,63000.0,POINT,fashion
O00253,C0110,2026-05-24,290000.0,CARD,beauty
O00254,C0008,2026-02-16,144000.0,POINT,sports
O00255,C0090,2026-01-02,97000.0,CASH,living
O00256,C0018,2026-02-06,20000.0,CARD,fashion
O00257,C0097,2026-04-18,237000.0,POINT,electronics
O00258,C0095,2026-03-21,171000.0,MOBILE,food
O00259,C0014,2026-02-09,85000.0,MOBILE,book
O00260,C0021,2026-03-11,231000.0,TRANSFER,digital
O00261,C0114,2026-04-17,144000.0,CASH,food
O00262,C0089,2026-04-21,61000.0,POINT,digital
O00263,C0135,2026-03-20,28000.0,CASH,living
O00264,C0015,2026-01-02,109000.0,POINT,fashion
O00265,C0036,2026-03-07,153000.0,POINT,food
O00266,C0002,2026-05-08,225000.0,CASH,electronics
O00267,C0098,2026-05-17,122000.0,MOBILE,sports
O00268,C0019,2026-04-12,26000.0,TRANSFER,book
O00269,C0118,2026-01-20,165000.0,MOBILE,living
O00270,C0147,2026-04-14,218000.0,POINT,food
O00271,C0104,2026-01-06,171000.0,CASH,digital
O00272,C0093,2026-01-23,228000.0,CARD,fashion
O00273,C0112,2026-04-13,273000.0,CARD,living
O00274,C0080,2026-03-28,118000.0,POINT,electronics
O00275,C0020,2026-05-11,63000.0,MOBILE,fashion
O00276,C0090,2026-03-31,80000.0,CASH,food
O00277,C0038,2026-03-07,106000.0,CASH,electronics
O00278,C0020,2026-02-15,257000.0,TRANSFER,digital
O00279,C0145,2026-03-24,166000.0,CASH,digital
O00280,C0018,2026-05-01,231000.0,POINT,beauty
O00281,C0015,2026-04-01,264000.0,CARD,beauty
O00282,C0119,2026-04-26,24000.0,CARD,sports
O00283,C0074,2026-01-20,51000.0,MOBILE,living
O00284,C0119,2026-05-29,288000.0,CARD,digital
O00285,C0147,2026-02-18,169000.0,MOBILE,digital
O00286,C0129,2026-02-08,36000.0,TRANSFER,food
O00287,C0088,2026-01-22,263000.0,CASH,book
O00288,C0064,2026-04-23,229000.0,MOBILE,electronics
O00289,C0094,2026-04-06,149000.0,TRANSFER,living
O00290,C0087,2026-01-14,176000.0,CARD,sports
O00291,C0025,2026-05-23,202000.0,POINT,beauty
O00292,C0039,2026-03-27,46000.0,MOBILE,electronics
O00293,C0090,2026-03-21,205000.0,CASH,food
O00294,C0080,2026-05-24,197000.0,POINT,electronics
O00295,C0135,2026-01-24,221000.0,MOBILE,sports
O00296,C0005,2026-04-03,163000.0,CASH,fashion
O00297,C0088,2026-05-05,103000.0,CASH,electronics
O00298,C0040,2026-01-20,156000.0,CARD,book
O00299,C0087,2026-02-03,197000.0,CASH,electronics
O00300,C0047,2026-02-12,229000.0,CARD,living
O00301,C0094,2026-03-02,232000.0,MOBILE,beauty
O00302,C0115,2026-03-01,278000.0,CASH,beauty
O00303,C0121,2026-02-19,193000.0,MOBILE,digital
O00304,C0119,2026-03-14,200000.0,MOBILE,living
O00305,C0042,2026-02-21,75000.0,POINT,book
O00306,C0124,2026-04-06,288000.0,CARD,food
O00307,C0073,2026-01-22,87000.0,POINT,digital
O00308,C0132,2026-02-07,228000.0,CARD,fashion
O00309,C0116,2026-03-31,18000.0,TRANSFER,book
O00310,C0102,2026-05-09,196000.0,CASH,living
O00311,C0021,2026-04-06,119000.0,CARD,sports
O00312,C0026,2026-03-27,79000.0,CASH,book
O00313,C0074,2026-05-01,76000.0,TRANSFER,digital
O00314,C0002,2026-01-21,14000.0,POINT,fashion
O00315,C0039,2026-05-21,275000.0,TRANSFER,food
O00316,C0074,2026-03-02,159000.0,CARD,book
O00317,C0062,2026-04-18,239000.0,CARD,food
O00318,C0128,2026-05-18,13000.0,MOBILE,fashion
O00319,C0037,2026-03-16,224000.0,CARD,sports
O00320,C0062,2026-05-27,218000.0,CASH,food
O00321,C0135,2026-04-03,39000.0,MOBILE,book
O00322,C0100,2026-05-01,27000.0,TRANSFER,sports
O00323,C0065,2026-01-05,187000.0,CARD,sports
O00324,C0062,2026-01-27,175000.0,CASH,book
O00325,C0091,2026-05-20,178000.0,CASH,digital
O00326,C0123,2026-02-16,74000.0,CARD,digital
O00327,C0010,2026-03-17,108000.0,CARD,fashion
O00328,C0011,2026-03-22,163000.0,MOBILE,living
O00329,C0140,2026-05-02,134000.0,CARD,fashion
O00330,C0074,2026-04-02,29000.0,POINT,beauty
O00331,C0032,2026-04-05,228000.0,TRANSFER,digital
O00332,C0099,2026-03-28,100000.0,TRANSFER,digital
O00333,C0095,2026-05-13,141000.0,CARD,living
O00334,C0021,2026-04-21,97000.0,MOBILE,beauty
O00335,C0083,2026-01-27,45000.0,POINT,beauty
O00336,C0079,2026-04-25,223000.0,CASH,digital
O00337,C0090,2026-04-25,26000.0,POINT,living
O00338,C0071,2026-01-15,43000.0,TRANSFER,sports
O00339,C0132,2026-02-10,20000.0,CASH,digital
O00340,C0009,2026-02-02,39000.0,CASH,sports
O00341,C0093,2026-04-09,295000.0,CARD,electronics
O00342,C0116,2026-04-05,195000.0,TRANSFER,food
O00343,C0147,2026-02-05,276000.0,POINT,living
O00344,C0081,2026-03-13,132000.0,CARD,book
O00345,C0048,2026-05-08,270000.0,TRANSFER,food
O00346,C0068,2026-03-08,233000.0,CASH,beauty
O00347,C0126,2026-02-21,67000.0,CASH,food
O00348,C0116,2026-02-14,232000.0,CARD,sports
O00349,C0089,2026-01-17,286000.0,MOBILE,beauty
O00350,C0077,2026-02-10,94000.0,POINT,fashion
O00351,C0032,2026-02-21,76000.0,CASH,digital
O00352,C0007,2026-04-03,288000.0,MOBILE,sports
O00353,C0120,2026-05-22,71000.0,MOBILE,food
O00354,C0017,2026-03-21,208000.0,TRANSFER,living
O00355,C0105,2026-05-28,42000.0,CASH,sports
O00356,C0019,2026-04-26,243000.0,MOBILE,sports
O00357,C0033,2026-05-22,98000.0,CASH,living
O00358,C0129,2026-01-15,68000.0,MOBILE,electronics
O00359,C0078,2026-02-12,87000.0,POINT,fashion
O00360,C0089,2026-05-13,150000.0,CARD,beauty
O00361,C0051,2026-05-22,145000.0,CASH,beauty
O00362,C0137,2026-01-24,262000.0,CASH,electronics
O00363,C0044,2026-03-28,293000.0,CARD,book
O00364,C0021,2026-01-12,300000.0,POINT,fashion
O00365,C0147,2026-04-17,20000.0,TRANSFER,beauty
O00366,C0078,2026-05-04,130000.0,TRANSFER,beauty
O00367,C0117,2026-01-19,35000.0,CASH,digital
O00368,C0107,2026-05-04,242000.0,CASH,sports
O00369,C0037,2026-03-22,168000.0,POINT,living
O00370,C0034,2026-04-05,268000.0,MOBILE,food
O00371,C0082,2026-03-03,243000.0,CARD,beauty
O00372,C0116,2026-03-05,77000.0,CARD,book
O00373,C0075,2026-04-09,219000.0,CASH,electronics
O00374,C0084,2026-05-28,165000.0,CASH,electronics
O00375,C0128,2026-05-12,244000.0,TRANSFER,beauty
O00376,C0128,2026-01-06,51000.0,TRANSFER,digital
O00377,C0062,2026-02-25,185000.0,CARD,book
O00378,C0073,2026-05-07,245000.0,POINT,book
O00379,C0028,2026-04-21,73000.0,POINT,sports
O00380,C0104,2026-04-04,28000.0,TRANSFER,book
O00381,C0146,2026-05-24,104000.0,POINT,beauty
O00382,C0019,2026-04-09,263000.0,TRANSFER,beauty
O00383,C0031,2026-02-02,54000.0,TRANSFER,sports
O00384,C0087,2026-05-23,192000.0,CASH,fashion
O00385,C0131,2026-04-13,261000.0,CARD,book
O00386,C0010,2026-02-05,175000.0,TRANSFER,digital
O00387,C0039,2026-05-12,76000.0,POINT,sports
O00388,C0042,2026-04-11,158000.0,MOBILE,sports
O00389,C0130,2026-05-11,277000.0,TRANSFER,beauty
O00390,C0122,2026-01-05,193000.0,POINT,food
O00391,C0107,2026-05-30,162000.0,CARD,digital
O00392,C0068,2026-05-29,300000.0,CASH,book
O00393,C0150,2026-05-03,92000.0,MOBILE,living
O00394,C0038,2026-03-04,21000.0,MOBILE,food
O00395,C0049,2026-01-05,230000.0,POINT,living
O00396,C0039,2026-04-16,109000.0,TRANSFER,digital
O00397,C0016,2026-02-05,270000.0,CASH,sports
O00398,C0123,2026-05-15,197000.0,POINT,electronics
O00399,C0118,2026-05-17,180000.0,MOBILE,sports
O00400,C0068,2026-05-04,103000.0,CASH,beauty
O00401,C0143,2026-03-18,120000.0,POINT,beauty
O00402,C0054,2026-05-06,167000.0,TRANSFER,sports
O00403,C0144,2026-03-12,152000.0,CARD,living
O00404,C0102,2026-03-30,79000.0,POINT,book
O00405,C0074,2026-01-21,182000.0,TRANSFER,beauty
O00406,C0123,2026-02-24,108000.0,MOBILE,beauty
O00407,C0144,2026-03-11,75000.0,CARD,fashion
O00408,C0063,2026-01-13,276000.0,CASH,fashion
O00409,C0014,2026-01-26,216000.0,POINT,digital
O00410,C0026,2026-02-05,7000.0,MOBILE,electronics
O00411,C0105,2026-05-02,249000.0,CASH,beauty
O00412,C0083,2026-03-15,35000.0,CARD,fashion
O00413,C0137,2026-01-10,94000.0,TRANSFER,electronics
O00414,C0010,2026-04-12,258000.0,CASH,beauty
O00415,C0010,2026-01-03,157000.0,MOBILE,food
O00416,C0086,2026-03-14,237000.0,MOBILE,digital
O00417,C0035,2026-05-10,244000.0,POINT,fashion
O00418,C0029,2026-03-26,88000.0,TRANSFER,beauty
O00419,C0048,2026-01-04,177000.0,POINT,fashion
O00420,C0045,2026-04-14,223000.0,MOBILE,sports
O00421,C0023,2026-04-13,53000.0,CASH,electronics
O00422,C0123,2026-03-24,132000.0,CARD,beauty
O00423,C0099,2026-03-02,233000.0,POINT,sports
O00424,C0078,2026-05-30,298000.0,CARD,beauty
O00425,C0093,2026-03-02,36000.0,CARD,digital
O00426,C0079,2026-02-10,212000.0,MOBILE,beauty
O00427,C0031,2026-03-17,193000.0,MOBILE,fashion
O00428,C0057,2026-02-04,249000.0,CASH,digital
O00429,C0096,2026-04-17,286000.0,TRANSFER,fashion
O00430,C0064,2026-01-21,274000.0,TRANSFER,sports
O00431,C0020,2026-05-25,62000.0,CARD,fashion
O00432,C0147,2026-05-18,81000.0,CASH,sports
O00433,C0134,2026-04-24,64000.0,CASH,digital
O00434,C0024,2026-05-11,233000.0,CARD,digital
O00435,C0034,2026-05-12,217000.0,TRANSFER,book
O00436,C0144,2026-04-29,162000.0,CARD,living
O00437,C0066,2026-01-01,116000.0,MOBILE,food
O00438,C0012,2026-04-19,181000.0,CARD,book
O00439,C0018,2026-05-01,21000.0,POINT,living
O00440,C0047,2026-02-04,220000.0,POINT,living
O00441,C0115,2026-04-07,197000.0,CARD,electronics
O00442,C0090,2026-01-31,96000.0,MOBILE,living
O00443,C0136,2026-02-02,119000.0,CARD,book
O00444,C0077,2026-04-29,283000.0,TRANSFER,living
O00445,C0059,2026-03-05,240000.0,POINT,electronics
O00446,C0071,2026-02-18,62000.0,CARD,living
O00447,C0005,2026-03-03,110000.0,CARD,food
O00448,C0009,2026-04-25,29000.0,CASH,book
O00449,C0103,2026-04-23,124000.0,MOBILE,fashion
O00450,C0015,2026-02-05,262000.0,POINT,fashion
O00451,C0148,2026-03-23,300000.0,MOBILE,sports
O00452,C0061,2026-03-19,78000.0,MOBILE,fashion
O00453,C0106,2026-03-18,145000.0,CARD,electronics
O00454,C0110,2026-05-23,258000.0,CARD,sports
O00455,C0098,2026-05-15,168000.0,TRANSFER,living
O00456,C0039,2026-03-18,197000.0,CASH,digital
O00457,C0062,2026-02-27,158000.0,CASH,digital
O00458,C0015,2026-05-24,216000.0,TRANSFER,electronics
O00459,C0100,2026-03-04,135000.0,CASH,sports
O00460,C0021,2026-04-26,194000.0,CARD,fashion
O00461,C0014,2026-03-10,198000.0,MOBILE,book
O00462,C0019,2026-02-18,291000.0,CASH,digital
O00463,C0054,2026-03-27,160000.0,CARD,fashion
O00464,C0049,2026-01-31,250000.0,CASH,fashion
O00465,C0102,2026-03-03,287000.0,POINT,beauty
O00466,C0098,2026-04-30,278000.0,POINT,beauty
O00467,C0067,2026-04-03,267000.0,TRANSFER,digital
O00468,C0026,2026-05-01,168000.0,CASH,sports
O00469,C0081,2026-04-16,28000.0,MOBILE,fashion
O00470,C0038,2026-01-05,138000.0,MOBILE,living
O00471,C0076,2026-02-09,105000.0,POINT,fashion
O00472,C0098,2026-05-26,130000.0,TRANSFER,sports
O00473,C0066,2026-05-06,256000.0,TRANSFER,electronics
O00474,C0091,2026-02-13,76000.0,MOBILE,digital
O00475,C0048,2026-05-19,35000.0,MOBILE,book
O00476,C0020,2026-01-13,8000.0,TRANSFER,electronics
O00477,C0060,2026-01-18,82000.0,CARD,fashion
O00478,C0130,2026-04-27,196000.0,CARD,digital
O00479,C0125,2026-01-05,8000.0,MOBILE,living
O00480,C0004,2026-01-05,276000.0,POINT,beauty
O00481,C0005,2026-05-09,225000.0,CASH,food
O00482,C0025,2026-05-15,81000.0,CASH,fashion
O00483,C0135,2026-03-06,186000.0,POINT,living
O00484,C0021,2026-04-06,212000.0,TRANSFER,fashion
O00485,C0058,2026-03-18,46000.0,CARD,food
O00486,C0104,2026-04-08,198000.0,MOBILE,digital
O00487,C0015,2026-01-03,92000.0,CARD,digital
O00488,C0112,2026-03-26,294000.0,CARD,book
O00489,C0059,2026-02-24,295000.0,TRANSFER,beauty
O00490,C0012,2026-01-20,148000.0,MOBILE,book
O00491,C0046,2026-03-22,13000.0,CASH,electronics
O00492,C0102,2026-01-20,158000.0,CASH,fashion
O00493,C0146,2026-04-10,281000.0,POINT,living
O00494,C0036,2026-01-21,261000.0,POINT,book
O00495,C0026,2026-04-22,123000.0,CARD,sports
O00496,C0102,2026-03-25,20000.0,POINT,digital
O00497,C0126,2026-02-28,187000.0,MOBILE,living
O00498,C0111,2026-02-17,199000.0,CARD,beauty
