Date,Product,Quantity,Revenue
2025-01,Product_D,5,22734
2025-06,Product_E,65,14426
2025-11,Product_B,42,11174
2025-09,Product_A,98,36550
2025-06,Product_A,59,28936
2025-09,Product_D,79,27540
2025-11,Product_C,61,39811
2025-06,Product_A,35,25398
2025-10,Product_A,19,27969
2025-11,Product_E,97,16924
2025-06,Product_D,58,21887
2025-09,Product_B,63,40069
2025-11,Product_B,48,13219
2025-11,Product_E,65,43498
2025-02,Product_A,37,35769
2025-02,Product_C,2,34002
2025-11,Product_D,67,38846
2025-11,Product_D,65,39071
2025-09,Product_D,35,31568
2025-12,Product_C,15,11513
2025-06,Product_D,93,30405
2025-04,Product_B,22,10274
2025-03,Product_E,80,34659
2025-07,Product_D,30,37188
2025-03,Product_A,77,33170
2025-01,Product_A,74,9138
2025-07,Product_D,74,35940
2025-01,Product_D,59,37039
2025-02,Product_D,80,9762
2025-08,Product_E,28,8045
2025-01,Product_A,45,42319
2025-07,Product_C,58,41084
2025-06,Product_D,80,28560
2025-12,Product_E,32,18670
2025-02,Product_D,24,44766
2025-02,Product_A,96,47621
2025-06,Product_B,100,43639
2025-06,Product_E,46,47204
2025-01,Product_C,30,36817
2025-01,Product_C,58,32715
2025-02,Product_C,75,2497
2025-08,Product_A,68,26552
2025-09,Product_D,47,47162
2025-09,Product_D,60,39193
2025-01,Product_B,24,21290
2025-09,Product_A,15,7648
2025-06,Product_C,7,8054
2025-07,Product_D,37,48184
2025-03,Product_B,42,6593
2025-11,Product_E,96,26006
2025-11,Product_D,61,34283
2025-04,Product_A,25,33423
2025-08,Product_E,25,33105
2025-12,Product_D,24,32820
2025-02,Product_C,47,18355
2025-06,Product_B,10,10671
2025-05,Product_D,43,14883
2025-07,Product_C,39,20729
2025-03,Product_C,43,14489
2025-04,Product_D,89,3481
2025-09,Product_C,46,45592
2025-03,Product_C,97,34867
2025-12,Product_E,23,14410
2025-10,Product_B,38,30718
2025-03,Product_E,35,30869
2025-05,Product_C,94,37504
2025-12,Product_E,4,7277
2025-06,Product_E,28,25426
2025-06,Product_E,11,35102
2025-03,Product_A,25,16657
2025-08,Product_D,51,30329
2025-11,Product_D,91,30964
2025-12,Product_D,72,38730
2025-04,Product_D,46,46961
2025-09,Product_C,4,8561
2025-09,Product_B,63,20288
2025-02,Product_B,11,11362
2025-03,Product_A,77,36371
2025-08,Product_C,100,47030
2025-02,Product_C,29,40285
2025-04,Product_E,10,22848
2025-02,Product_D,76,32782
2025-07,Product_A,90,17460
2025-03,Product_B,51,6597
2025-08,Product_D,90,24724
2025-09,Product_B,52,30448
2025-03,Product_C,40,18465
2025-09,Product_A,96,17260
2025-01,Product_B,76,14952
2025-08,Product_C,78,44079
2025-12,Product_C,9,18169
2025-04,Product_E,46,44689
2025-11,Product_D,88,27956
2025-12,Product_A,49,34090
2025-12,Product_A,39,41930
2025-01,Product_B,45,6304
2025-02,Product_D,37,12925
2025-07,Product_A,70,31884
2025-11,Product_C,82,33405
2025-12,Product_C,55,44340
2025-05,Product_E,10,25923
2025-04,Product_E,81,46442
2025-12,Product_E,38,11229
2025-09,Product_B,79,37380
2025-07,Product_B,27,45589
2025-09,Product_B,89,17949
2025-05,Product_E,43,12962
2025-08,Product_A,100,41345
2025-04,Product_C,39,33131
2025-11,Product_E,47,20891
2025-11,Product_D,19,41873
2025-02,Product_E,91,9085
2025-12,Product_A,81,23566
2025-09,Product_B,19,23255
2025-02,Product_A,70,32158
2025-12,Product_A,91,5102
2025-08,Product_E,32,26513
2025-09,Product_E,12,4021
2025-04,Product_B,58,2713
2025-11,Product_C,25,44724
2025-02,Product_C,22,19903
2025-11,Product_E,24,49116
2025-08,Product_A,71,48612
2025-09,Product_E,66,42397
2025-05,Product_E,100,8415
2025-12,Product_C,86,48132
2025-11,Product_E,52,12462
2025-09,Product_C,35,42136
2025-06,Product_E,42,32968
2025-05,Product_D,92,12797
2025-12,Product_A,64,43296
2025-08,Product_E,67,43178
2025-02,Product_C,1,35720
2025-04,Product_B,41,13582
2025-02,Product_E,67,44093
2025-06,Product_B,86,10679
2025-05,Product_B,74,5225
2025-03,Product_A,12,35964
2025-01,Product_E,33,14563
2025-04,Product_A,35,37961
2025-04,Product_B,11,6039
2025-08,Product_E,4,21785
2025-04,Product_A,13,6527
2025-12,Product_A,76,9416
2025-11,Product_A,80,39941
2025-04,Product_B,48,48621
2025-09,Product_E,24,44514
2025-09,Product_D,64,26186
2025-04,Product_B,60,9569
2025-08,Product_A,40,48662
2025-09,Product_D,49,5988
2025-02,Product_E,32,6807
2025-08,Product_E,53,47663
2025-12,Product_D,87,23204
2025-05,Product_C,41,10486
2025-05,Product_A,94,12610
2025-06,Product_B,13,38386
2025-04,Product_B,53,39760
2025-08,Product_B,8,3443
2025-02,Product_E,15,6972
2025-10,Product_E,77,46158
2025-05,Product_D,31,13970
2025-05,Product_E,3,40987
2025-12,Product_D,78,9570
2025-04,Product_E,83,34695
2025-01,Product_B,10,42391
2025-03,Product_A,64,12696
2025-06,Product_E,31,21644
2025-02,Product_B,27,9588
2025-01,Product_B,64,40001
2025-03,Product_A,10,29044
2025-10,Product_B,99,27954
2025-05,Product_B,66,38336
2025-02,Product_A,81,21336
2025-01,Product_D,69,29591
2025-06,Product_D,52,22876
2025-09,Product_A,26,22904
2025-05,Product_E,73,21990
2025-02,Product_D,94,40651
2025-02,Product_B,83,18518
2025-12,Product_C,63,2966
2025-07,Product_E,73,47237
2025-08,Product_A,83,27045
2025-10,Product_D,81,25968
2025-05,Product_E,27,24147
2025-12,Product_C,26,15564
2025-05,Product_B,79,36425
2025-04,Product_E,50,4321
2025-05,Product_A,6,47626
2025-03,Product_B,4,3809
2025-10,Product_D,49,13892
2025-10,Product_B,48,45531
2025-02,Product_E,57,42529
2025-01,Product_E,93,6854
2025-02,Product_D,9,33792
2025-09,Product_E,15,31631
2025-08,Product_B,76,46504
2025-12,Product_D,19,24335
2025-09,Product_B,79,33288
2025-03,Product_C,8,49246
2025-01,Product_B,66,29446
2025-11,Product_C,58,46034
2025-06,Product_C,15,37183
2025-03,Product_E,95,27369
2025-04,Product_A,20,27261
2025-11,Product_E,35,40921
2025-02,Product_E,82,25874
2025-09,Product_E,80,42609
2025-12,Product_E,65,46736
2025-05,Product_D,60,47506
2025-07,Product_C,83,35670
2025-06,Product_D,19,44502
2025-08,Product_E,36,23334
2025-11,Product_C,55,42107
2025-12,Product_B,28,24069
2025-06,Product_E,88,10288
2025-01,Product_A,84,44036
2025-10,Product_D,30,44858
2025-05,Product_A,24,44622
2025-06,Product_E,85,3881
2025-01,Product_B,40,32494
2025-11,Product_B,62,12816
2025-02,Product_E,11,33881
2025-05,Product_D,42,23144
2025-10,Product_D,8,9333
2025-06,Product_A,13,4165
2025-08,Product_B,61,34380
2025-08,Product_B,35,17545
2025-06,Product_E,30,28999
2025-01,Product_E,76,31649
2025-08,Product_D,36,21454
2025-04,Product_B,11,21341
2025-10,Product_B,61,3819
2025-10,Product_E,41,8567
2025-03,Product_B,47,5255
2025-02,Product_B,25,45321
2025-12,Product_B,100,13023
2025-04,Product_A,3,43227
2025-01,Product_D,88,8062
2025-03,Product_E,96,26996
2025-12,Product_B,9,26588
2025-12,Product_B,18,20026
2025-03,Product_E,6,30749
2025-12,Product_D,33,23577
2025-11,Product_D,65,30804
2025-07,Product_C,40,2776
2025-07,Product_B,15,6303
2025-10,Product_D,31,16700
2025-10,Product_C,23,46319
2025-12,Product_D,51,33749
2025-11,Product_C,55,26725
2025-12,Product_E,64,40934
2025-06,Product_B,24,16156
2025-09,Product_E,39,2951
2025-08,Product_D,20,44403
2025-01,Product_B,59,20680
2025-05,Product_D,100,5906
2025-02,Product_E,26,23695
2025-04,Product_D,97,46598
2025-04,Product_D,15,34437
2025-06,Product_E,60,49642
2025-12,Product_C,88,40109
2025-04,Product_B,42,12873
2025-10,Product_D,80,6770
2025-11,Product_A,35,11526
2025-07,Product_E,81,18617
2025-02,Product_C,26,3957
2025-09,Product_D,11,45582
2025-08,Product_C,100,16059
2025-06,Product_B,48,6891
2025-04,Product_B,33,37069
2025-09,Product_D,33,39463
2025-12,Product_A,2,43804
2025-08,Product_D,60,34650
2025-10,Product_D,73,40003
2025-08,Product_C,75,31294
2025-03,Product_E,9,15140
2025-05,Product_A,20,43622
2025-08,Product_E,18,16656
2025-07,Product_C,73,39990
2025-05,Product_A,93,11607
2025-08,Product_C,8,19547
2025-07,Product_D,49,24956
2025-12,Product_B,92,42133
2025-03,Product_E,21,33655
2025-01,Product_D,5,18088
2025-09,Product_E,33,20113
2025-07,Product_B,16,36671
2025-05,Product_D,38,9590
2025-06,Product_B,82,41315
2025-03,Product_E,11,27637
2025-12,Product_B,28,3622
2025-12,Product_E,81,35937
2025-01,Product_C,25,19267
2025-10,Product_E,87,20841
2025-11,Product_B,58,31771
2025-01,Product_E,27,38904
2025-09,Product_D,91,12248
2025-02,Product_E,34,11685
2025-05,Product_A,95,11723
2025-01,Product_D,69,29878
2025-08,Product_D,27,33560
2025-05,Product_B,83,2377
2025-11,Product_E,26,43090
2025-12,Product_C,35,41896
2025-03,Product_C,11,10893
2025-11,Product_E,48,48389
2025-03,Product_E,94,16320
2025-03,Product_C,30,38407
2025-03,Product_E,98,15496
2025-12,Product_A,37,48424
2025-04,Product_C,92,21101
2025-05,Product_A,64,34729
2025-05,Product_B,99,7472
2025-02,Product_D,93,18833
2025-02,Product_E,56,41844
2025-07,Product_A,57,28420
2025-07,Product_A,49,22450
2025-08,Product_B,85,16126
2025-08,Product_E,45,22765
2025-03,Product_B,11,21623
2025-08,Product_D,94,20895
2025-02,Product_B,34,32444
2025-01,Product_A,71,16899
2025-08,Product_B,67,35598
2025-08,Product_C,23,35470
2025-05,Product_A,41,13189
2025-11,Product_C,72,22257
2025-12,Product_D,44,46315
2025-07,Product_C,54,43907
2025-06,Product_D,13,5540
2025-09,Product_B,49,2529
2025-08,Product_C,32,41875
2025-12,Product_D,68,37624
2025-07,Product_B,56,31783
2025-04,Product_D,12,4492
2025-11,Product_A,79,10797
2025-07,Product_E,25,4310
2025-09,Product_E,64,18959
2025-10,Product_B,81,1496
2025-11,Product_D,82,2221
2025-12,Product_B,64,11626
2025-08,Product_D,17,28671
2025-04,Product_C,71,44326
2025-06,Product_D,77,5403
2025-06,Product_A,79,29557
2025-01,Product_A,30,45124
2025-09,Product_C,94,17888
2025-03,Product_E,58,35505
2025-01,Product_C,37,49506
2025-07,Product_D,87,11440
2025-11,Product_C,1,22250
2025-12,Product_D,89,4888
2025-05,Product_E,70,34795
2025-10,Product_E,48,9709
2025-02,Product_A,7,38437
2025-07,Product_B,77,17717
2025-04,Product_C,3,20929
2025-10,Product_B,88,9348
2025-04,Product_B,35,38251
2025-05,Product_A,24,49338
2025-06,Product_B,17,18335
2025-10,Product_A,8,38674
2025-12,Product_A,21,5479
2025-08,Product_C,69,41384
2025-05,Product_E,10,12212
2025-03,Product_D,73,33338
2025-02,Product_A,17,8748
2025-06,Product_B,21,25543
2025-10,Product_C,72,35450
2025-10,Product_B,91,25607
2025-01,Product_C,39,31378
2025-06,Product_E,18,24425
2025-03,Product_B,13,14343
2025-03,Product_E,78,10929
2025-05,Product_A,48,27562
2025-06,Product_C,14,10626
2025-02,Product_E,66,31342
2025-07,Product_D,32,23635
2025-10,Product_A,80,17472
2025-08,Product_C,56,49326
2025-01,Product_C,23,33567
2025-08,Product_D,38,31431
2025-03,Product_D,4,7862
2025-05,Product_E,19,35443
2025-04,Product_D,7,45873
2025-08,Product_C,7,45410
2025-03,Product_C,85,32898
2025-05,Product_C,32,39390
2025-07,Product_D,24,49940
2025-03,Product_E,37,3508
2025-05,Product_C,12,15143
2025-10,Product_A,58,43196
2025-11,Product_D,92,1979
2025-05,Product_B,76,24885
2025-01,Product_E,87,46436
2025-08,Product_E,71,31420
2025-05,Product_C,36,30312
2025-02,Product_E,83,1807
2025-12,Product_C,84,35373
2025-08,Product_B,87,2936
2025-02,Product_D,20,10150
2025-09,Product_D,24,13259
2025-09,Product_D,41,14690
2025-09,Product_B,25,48360
2025-03,Product_B,7,5407
2025-07,Product_C,5,39586
2025-01,Product_B,56,28554
2025-01,Product_D,15,39064
2025-02,Product_B,46,38927
2025-03,Product_B,93,33974
2025-03,Product_A,70,9403
2025-08,Product_B,66,10597
2025-08,Product_C,99,43311
2025-02,Product_E,43,37738
2025-09,Product_D,4,29327
2025-12,Product_D,17,23313
2025-07,Product_B,22,33280
2025-03,Product_E,99,42352
2025-11,Product_D,45,8339
2025-11,Product_C,30,14944
2025-02,Product_E,22,4412
2025-01,Product_A,98,14320
2025-06,Product_B,4,31190
2025-04,Product_A,27,7461
2025-12,Product_B,45,40976
2025-11,Product_B,63,22709
2025-11,Product_C,97,44329
2025-10,Product_B,48,32119
2025-11,Product_C,93,24394
2025-02,Product_B,74,11794
2025-05,Product_D,95,30249
2025-05,Product_B,63,38087
2025-10,Product_D,55,42907
2025-08,Product_E,94,37852
2025-11,Product_A,75,9621
2025-07,Product_C,31,9547
2025-01,Product_B,55,40201
2025-12,Product_E,80,44543
2025-07,Product_A,32,10638
2025-06,Product_A,9,29118
2025-03,Product_C,77,9702
2025-07,Product_E,26,35464
2025-12,Product_D,80,11285
2025-10,Product_C,5,32847
2025-08,Product_A,31,28925
2025-08,Product_C,35,1284
2025-02,Product_B,60,34330
2025-01,Product_E,62,15098
2025-01,Product_B,19,14337
2025-12,Product_A,58,30642
2025-01,Product_B,11,3376
2025-12,Product_A,31,14089
2025-05,Product_B,73,37018
2025-02,Product_E,9,6354
2025-11,Product_D,53,8958
2025-09,Product_B,57,28926
2025-10,Product_E,39,5723
2025-02,Product_B,50,34663
2025-11,Product_D,15,33104
2025-09,Product_C,69,1456
2025-11,Product_A,36,33295
2025-02,Product_B,85,32639
2025-12,Product_B,1,26870
2025-11,Product_A,67,6076
2025-10,Product_D,11,19611
2025-08,Product_A,94,46687
2025-12,Product_E,94,11481
2025-03,Product_B,59,20433
2025-12,Product_B,36,30446
2025-01,Product_E,15,15237
2025-01,Product_E,69,4936
2025-05,Product_C,68,28365
2025-01,Product_E,97,36161
2025-04,Product_B,21,36324
2025-11,Product_A,4,17433
2025-05,Product_C,89,45915
2025-12,Product_E,83,38318
2025-06,Product_C,61,18954
2025-09,Product_C,29,12570
2025-08,Product_A,78,7079
2025-12,Product_A,76,13900
2025-01,Product_E,83,33876
2025-06,Product_B,20,29119
2025-05,Product_B,16,8955
2025-12,Product_B,61,16311
2025-10,Product_A,71,13281
2025-10,Product_B,7,42152
2025-02,Product_C,34,32743
2025-04,Product_A,43,44936
2025-07,Product_E,81,44122
2025-02,Product_E,82,17134
2025-06,Product_D,88,31040
2025-11,Product_A,86,27074
2025-12,Product_C,88,1921
2025-02,Product_C,11,26396
2025-02,Product_E,93,28873
2025-04,Product_B,68,29892
2025-04,Product_A,98,11586
2025-11,Product_E,93,15061
2025-05,Product_D,49,1848
2025-11,Product_A,75,15442
2025-01,Product_B,80,21860
2025-04,Product_B,2,24192
2025-12,Product_E,2,36204
2025-12,Product_C,23,14797
2025-08,Product_B,98,19761
2025-06,Product_A,31,47599
2025-06,Product_B,30,35169
2025-05,Product_E,79,1259
2025-04,Product_A,34,10826
2025-05,Product_C,100,38112
2025-12,Product_E,11,7321
2025-08,Product_D,29,14468
2025-11,Product_B,40,48115
2025-08,Product_A,27,5299
2025-02,Product_B,58,44049
2025-07,Product_B,67,17882
2025-05,Product_C,91,25032
2025-09,Product_C,88,46202
2025-05,Product_C,35,23838
2025-03,Product_B,33,22481
2025-07,Product_C,41,21153
2025-06,Product_E,100,1057
2025-09,Product_E,11,8691
2025-09,Product_C,49,45248
2025-01,Product_D,90,38959
2025-02,Product_B,97,15866
2025-06,Product_D,19,29038
2025-12,Product_E,70,11751
2025-07,Product_C,67,2221
2025-05,Product_A,16,17278
2025-10,Product_D,58,9454
2025-01,Product_B,10,9246
2025-05,Product_B,44,18002
2025-10,Product_C,68,19445
2025-08,Product_A,100,30723
2025-09,Product_C,55,42760
2025-01,Product_E,43,3340
2025-02,Product_B,91,25019
2025-07,Product_A,37,25105
2025-05,Product_A,8,32571
2025-09,Product_C,97,45139
2025-04,Product_B,71,26723
2025-03,Product_C,39,33260
2025-11,Product_D,10,1139
2025-06,Product_E,89,46073
2025-04,Product_D,19,3358
2025-06,Product_E,69,30841
2025-10,Product_C,86,19866
2025-06,Product_E,97,21046
2025-01,Product_C,34,16117
2025-05,Product_A,33,31946
2025-01,Product_E,69,16029
2025-03,Product_B,39,25150
2025-05,Product_B,91,22645
2025-06,Product_B,49,15098
2025-09,Product_B,73,36224
2025-12,Product_E,30,45757
2025-05,Product_C,22,20863
2025-06,Product_B,88,43563
2025-04,Product_E,83,19485
2025-07,Product_A,77,27915
2025-10,Product_C,22,6349
2025-03,Product_E,79,40815
2025-05,Product_A,56,6996
2025-08,Product_C,94,35508
2025-05,Product_A,39,7729
2025-06,Product_B,95,21083
2025-11,Product_B,84,49203
2025-08,Product_E,65,42853
2025-03,Product_C,87,48241
2025-04,Product_D,12,15433
2025-02,Product_D,80,22130
2025-12,Product_C,57,12799
2025-01,Product_C,6,9189
2025-12,Product_B,93,30205
2025-10,Product_A,68,22219
2025-12,Product_A,98,45705
2025-01,Product_E,98,18668
2025-05,Product_C,20,40500
2025-09,Product_D,44,17266
2025-07,Product_C,65,38810
2025-01,Product_E,81,12273
2025-07,Product_D,99,1424
2025-07,Product_B,60,13282
2025-01,Product_E,11,30507
2025-05,Product_A,21,31100
2025-03,Product_A,61,9681
2025-07,Product_A,74,2792
2025-12,Product_A,40,1338
2025-06,Product_E,14,7928
2025-08,Product_A,84,9658
2025-08,Product_E,57,16217
2025-05,Product_E,2,39133
2025-07,Product_C,5,12662
2025-09,Product_A,23,43216
2025-05,Product_B,57,20123
2025-11,Product_C,67,34139
2025-01,Product_B,18,31358
2025-08,Product_C,90,3941
2025-01,Product_E,54,5783
2025-01,Product_D,84,40654
2025-03,Product_C,89,27662
2025-05,Product_B,70,23398
2025-09,Product_D,9,17815
2025-12,Product_C,59,46302
2025-04,Product_D,74,3525
2025-06,Product_C,61,38539
2025-11,Product_B,94,40969
2025-09,Product_E,58,35941
2025-08,Product_D,59,19387
2025-02,Product_B,10,22824
2025-05,Product_C,6,17376
2025-02,Product_B,49,47249
2025-06,Product_E,35,47658
2025-10,Product_D,27,2414
2025-06,Product_D,87,40783
2025-07,Product_D,99,22578
2025-02,Product_C,68,47101
2025-10,Product_E,47,32616
2025-06,Product_C,60,42917
2025-03,Product_A,28,16818
2025-04,Product_D,79,19155
2025-10,Product_A,25,18098
2025-11,Product_D,99,16519
2025-01,Product_C,49,37980
2025-11,Product_A,3,21897
2025-05,Product_E,96,27784
2025-12,Product_A,8,45338
2025-01,Product_A,20,39164
2025-12,Product_E,52,42921
2025-07,Product_B,31,32279
2025-08,Product_A,87,40588
2025-10,Product_D,85,21037
2025-03,Product_B,57,46033
2025-06,Product_B,76,41436
2025-10,Product_B,93,36587
2025-06,Product_D,84,47874
2025-09,Product_B,5,31762
2025-09,Product_E,20,4206
2025-05,Product_E,66,36812
2025-01,Product_D,62,18263
2025-12,Product_C,65,19766
2025-08,Product_E,66,46929
2025-11,Product_D,98,23429
2025-11,Product_C,34,14689
2025-01,Product_C,50,13861
2025-08,Product_B,38,37990
2025-01,Product_E,8,33324
2025-11,Product_D,8,2787
2025-12,Product_D,82,15602
2025-02,Product_D,27,45429
2025-11,Product_A,20,7070
2025-07,Product_D,63,33237
2025-03,Product_A,31,28685
2025-03,Product_D,13,7184
2025-06,Product_C,80,28714
2025-08,Product_A,6,37061
2025-11,Product_E,53,2584
2025-08,Product_E,54,39382
2025-04,Product_C,91,4575
2025-11,Product_D,46,20959
2025-11,Product_C,66,33929
2025-11,Product_A,62,29034
2025-08,Product_E,17,38483
2025-09,Product_D,96,49278
2025-02,Product_E,95,43010
2025-08,Product_E,43,34430
2025-07,Product_C,21,8403
2025-07,Product_D,79,8530
2025-03,Product_C,52,4924
2025-02,Product_A,92,31533
2025-04,Product_B,23,41067
2025-11,Product_A,54,31527
2025-02,Product_A,23,45404
2025-02,Product_E,45,7468
2025-03,Product_B,65,41277
2025-05,Product_A,80,18074
2025-10,Product_D,19,29131
2025-08,Product_B,46,15244
2025-12,Product_D,58,48775
2025-08,Product_D,36,10037
2025-09,Product_A,17,44381
2025-04,Product_C,40,4832
2025-09,Product_D,5,7299
2025-06,Product_C,79,24650
2025-07,Product_D,95,11837
2025-04,Product_D,82,47259
2025-11,Product_E,57,29105
2025-05,Product_E,23,17529
2025-04,Product_C,60,31930
2025-05,Product_E,25,2628
2025-01,Product_A,34,16624
2025-05,Product_B,43,24016
2025-03,Product_D,95,45734
2025-10,Product_E,97,31701
2025-05,Product_D,47,17751
2025-02,Product_B,93,38648
2025-04,Product_C,52,8593
2025-11,Product_E,40,14650
2025-07,Product_A,97,36354
2025-04,Product_B,31,49219
2025-02,Product_A,27,37007
2025-11,Product_A,32,8352
2025-01,Product_C,78,25614
2025-02,Product_B,70,45179
2025-06,Product_E,4,46195
2025-05,Product_A,21,14696
2025-02,Product_E,40,17061
2025-08,Product_C,80,1863
2025-07,Product_B,45,45321
2025-08,Product_C,50,39734
2025-11,Product_D,66,13503
2025-09,Product_C,84,39195
2025-01,Product_D,25,41122
2025-06,Product_B,45,19312
2025-01,Product_A,58,22051
2025-11,Product_B,89,18736
2025-03,Product_B,63,22399
2025-04,Product_E,29,25496
2025-02,Product_B,21,41632
2025-08,Product_D,62,5560
2025-08,Product_A,5,11545
2025-10,Product_E,65,3187
2025-02,Product_D,16,19308
2025-01,Product_B,78,22515
2025-09,Product_B,45,28221
2025-10,Product_B,89,5645
2025-01,Product_D,34,30325
2025-10,Product_B,72,38576
2025-09,Product_C,44,12371
2025-10,Product_D,21,45671
2025-08,Product_D,41,21036
2025-04,Product_C,64,14440
2025-01,Product_D,43,5272
2025-07,Product_C,73,35920
2025-05,Product_A,53,48927
2025-05,Product_E,41,32531
2025-07,Product_D,91,11362
2025-01,Product_E,94,13064
2025-08,Product_B,52,29431
2025-05,Product_E,45,34861
2025-05,Product_D,41,44177
2025-08,Product_A,15,24717
2025-04,Product_E,83,44122
2025-11,Product_B,35,13386
2025-04,Product_C,58,10834
2025-07,Product_E,61,48730
2025-12,Product_E,94,22058
2025-08,Product_D,91,19530
2025-06,Product_E,65,48621
2025-04,Product_B,23,10353
2025-08,Product_D,73,33568
2025-09,Product_B,43,28429
2025-11,Product_B,71,5357
2025-06,Product_C,64,4574
2025-10,Product_B,29,18977
2025-07,Product_B,91,4126
2025-08,Product_E,66,5377
2025-11,Product_B,74,25546
2025-08,Product_D,47,2318
2025-12,Product_A,97,46690
2025-12,Product_D,16,35787
2025-06,Product_A,73,16746
2025-06,Product_E,51,9153
2025-03,Product_C,46,35004
2025-01,Product_B,58,17944
2025-10,Product_D,92,13747
2025-09,Product_B,62,7512
2025-04,Product_A,97,7650
2025-03,Product_C,53,31815
2025-03,Product_A,89,5088
2025-07,Product_B,62,34132
2025-01,Product_E,6,23301
2025-10,Product_B,9,5318
2025-11,Product_C,84,48901
2025-02,Product_C,80,21763
2025-11,Product_A,3,16613
2025-03,Product_E,77,7125
2025-01,Product_B,53,4763
2025-08,Product_A,80,10415
2025-08,Product_A,83,48948
2025-09,Product_D,48,41090
2025-11,Product_B,50,35788
2025-06,Product_E,18,30786
2025-02,Product_D,7,29900
2025-11,Product_C,24,19490
2025-12,Product_E,26,34583
2025-09,Product_C,55,13537
2025-05,Product_B,100,25697
2025-02,Product_C,13,11041
2025-09,Product_B,88,29010
2025-02,Product_A,99,12263
2025-07,Product_E,16,19600
2025-05,Product_B,100,3167
2025-05,Product_E,11,34676
2025-06,Product_D,71,15710
2025-10,Product_D,70,43161
2025-02,Product_D,15,4673
2025-03,Product_C,7,41449
2025-03,Product_A,54,46005
2025-03,Product_C,26,10398
2025-09,Product_D,75,11698
2025-06,Product_B,44,28785
