[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2000-02-11 16:14] Temp: 23.1C, Press: 99.5Pa, Humid: 65.0%, Volt: 11.3V, Flow: 5.6 L/min, CO2: 366 ppm
[LOG][2000-02-12 10:52] Temp: 20.1C, Press: 98.2Pa, Humid: 62.7%, Volt: 12.1V, Flow: 5.8 L/min, CO2: 354 ppm
[LOG][2000-02-13 02:43] Temp: 20.2C, Press: 98.0Pa, Humid: 79.5%, Volt: 12.4V, Flow: 10.9 L/min, CO2: 450 ppm
[LOG][2000-02-13 16:41] Temp: 31.1C, Press: 99.8Pa, Humid: 31.6%, Volt: 13.8V, Flow: 9.8 L/min, CO2: 468 ppm
[LOG][2000-02-13 19:48] Temp: 23.4C, Press: 99.7Pa, Humid: 74.3%, Volt: 12.7V, Flow: 14.9 L/min, CO2: 416 ppm
[LOG][2000-02-14 06:16] Temp: 26.8C, Press: 99.1Pa, Humid: 68.6%, Volt: 13.0V, Flow: 13.3 L/min, CO2: 445 ppm
[LOG][2000-02-15 02:17] Temp: 22.0C, Press: 103.4Pa, Humid: 80.0%, Volt: 14.0V, Flow: 9.0 L/min, CO2: 377 ppm
[LOG][2000-02-15 09:09] Temp: 33.3C, Press: 102.1Pa, Humid: 7.1%, Volt: 13.7V, Flow: 6.3 L/min, CO2: 1955 ppm
[LOG][2000-02-15 09:49] Temp: 26.3C, Press: 101.4Pa, Humid: 65.7%, Volt: 13.6V, Flow: 11.3 L/min, CO2: 466 ppm
[LOG][2000-02-16 04:08] Temp: 26.6C, Press: 101.3Pa, Humid: 35.2%, Volt: 12.2V, Flow: 8.7 L/min, CO2: 444 ppm
[LOG][2000-02-17 01:58] Temp: 34.2C, Press: 99.3Pa, Humid: 50.2%, Volt: 12.7V, Flow: 6.6 L/min, CO2: 425 ppm
[LOG][2000-02-17 03:28] Temp: 27.8C, Press: 103.0Pa, Humid: 51.5%, Volt: 12.5V, Flow: 8.4 L/min, CO2: 381 ppm
[LOG][2000-02-17 05:35] Temp: 30.5C, Press: 98.9Pa, Humid: 56.2%, Volt: 11.1V, Flow: 13.6 L/min, CO2: 462 ppm
[LOG][2000-02-18 13:47] Temp: 19.3C, Press: 102.8Pa, Humid: 37.1%, Volt: 11.7V, Flow: 8.5 L/min, CO2: 451 ppm
[LOG][2000-02-18 19:49] Temp: 28.0C, Press: 99.5Pa, Humid: 52.0%, Volt: 12.6V, Flow: 14.1 L/min, CO2: 456 ppm
[LOG][2000-02-18 20:31] Temp: 18.5C, Press: 102.9Pa, Humid: 65.5%, Volt: 13.0V, Flow: 10.0 L/min, CO2: 454 ppm
[LOG][2000-02-19 03:26] Temp: 27.2C, Press: 100.6Pa, Humid: 59.4%, Volt: 13.5V, Flow: 14.6 L/min, CO2: 359 ppm
[LOG][2000-02-20 18:43] Temp: 31.4C, Press: 99.9Pa, Humid: 43.4%, Volt: 13.4V, Flow: 5.3 L/min, CO2: 443 ppm
[LOG][2000-02-21 07:16] Temp: 17.9C, Press: 101.0Pa, Humid: 60.9%, Volt: 13.4V, Flow: 12.0 L/min, CO2: 418 ppm
[LOG][2000-02-22 02:49] Temp: 29.7C, Press: 101.9Pa, Humid: 56.5%, Volt: 14.0V, Flow: 13.9 L/min, CO2: 451 ppm
[LOG][2000-02-22 20:27] Temp: 28.8C, Press: 103.2Pa, Humid: 47.5%, Volt: 13.5V, Flow: 10.4 L/min, CO2: 461 ppm
[LOG][2000-02-22 22:40] Temp: 30.3C, Press: 101.8Pa, Humid: 37.9%, Volt: 13.9V, Flow: 14.8 L/min, CO2: 485 ppm
[LOG][2000-02-23 09:53] Temp: 34.9C, Press: 104.3Pa, Humid: 50.4%, Volt: 13.9V, Flow: 14.8 L/min, CO2: 381 ppm
[LOG][2000-02-23 12:11] Temp: 21.7C, Press: 98.2Pa, Humid: 76.3%, Volt: 11.5V, Flow: 7.6 L/min, CO2: 371 ppm
[LOG][2000-02-23 16:43] Temp: 21.0C, Press: 103.1Pa, Humid: 46.5%, Volt: 11.6V, Flow: 6.3 L/min, CO2: 457 ppm
[LOG][2000-02-24 06:16] Temp: 23.8C, Press: 98.1Pa, Humid: 34.9%, Volt: 12.5V, Flow: 13.2 L/min, CO2: 365 ppm
[LOG][2000-02-25 20:20] Temp: 19.0C, Press: 100.4Pa, Humid: 63.5%, Volt: 13.8V, Flow: 14.0 L/min, CO2: 495 ppm
[LOG][2000-02-26 04:52] Temp: 16.7C, Press: 100.4Pa, Humid: 73.2%, Volt: 13.0V, Flow: 7.2 L/min, CO2: 427 ppm
[LOG][2000-02-26 10:55] Temp: 34.5C, Press: 102.7Pa, Humid: 33.6%, Volt: 11.1V, Flow: 6.5 L/min, CO2: 481 ppm
[LOG][2000-02-27 07:43] Temp: 20.0C, Press: 103.2Pa, Humid: 63.7%, Volt: 12.5V, Flow: 10.3 L/min, CO2: 407 ppm
[LOG][2000-02-27 16:40] Temp: 20.4C, Press: 101.7Pa, Humid: 73.6%, Volt: 13.1V, Flow: 5.1 L/min, CO2: 411 ppm
[LOG][2000-02-27 18:33] Temp: 16.7C, Press: 99.0Pa, Humid: 77.6%, Volt: 11.8V, Flow: 9.6 L/min, CO2: 452 ppm
[LOG][2000-02-28 16:15] Temp: 23.6C, Press: 103.9Pa, Humid: 52.1%, Volt: 12.1V, Flow: 5.3 L/min, CO2: 385 ppm
[LOG][2000-02-29 11:32] Temp: 23.6C, Press: 101.0Pa, Humid: 45.8%, Volt: 13.6V, Flow: 13.7 L/min, CO2: 399 ppm
[LOG][2000-02-29 17:05] Temp: 34.5C, Press: 102.9Pa, Humid: 36.7%, Volt: 11.8V, Flow: 9.8 L/min, CO2: 377 ppm
[LOG][2000-02-29 22:48] Temp: 32.1C, Press: 102.4Pa, Humid: 64.5%, Volt: 13.4V, Flow: 5.0 L/min, CO2: 441 ppm
[LOG][2000-03-01 05:09] Temp: 23.8C, Press: 103.9Pa, Humid: 31.4%, Volt: 11.3V, Flow: 9.9 L/min, CO2: 353 ppm
[LOG][2000-03-01 15:58] Temp: 33.4C, Press: nanPa, Humid: nan%, Volt: nanV, Flow: 11.6 L/min, CO2: 468 ppm
[ERROR] Sensor Disconnected - Volt: nan, Humid: nan, Press: nan
[LOG][2000-03-01 16:34] Temp: 16.5C, Press: 101.3Pa, Humid: 46.9%, Volt: 12.3V, Flow: 11.6 L/min, CO2: 495 ppm
[LOG][2000-03-02 06:25] Temp: 28.4C, Press: 99.3Pa, Humid: 73.2%, Volt: 12.2V, Flow: 13.4 L/min, CO2: 419 ppm
[LOG][2000-03-02 15:54] Temp: 27.5C, Press: 101.9Pa, Humid: 77.0%, Volt: 12.0V, Flow: 9.3 L/min, CO2: 377 ppm
[LOG][2000-03-03 05:04] Temp: 21.9C, Press: 100.6Pa, Humid: 65.2%, Volt: 12.3V, Flow: 14.3 L/min, CO2: 454 ppm
[LOG][2000-03-03 09:06] Temp: 22.5C, Press: 101.9Pa, Humid: 56.6%, Volt: 11.4V, Flow: 10.1 L/min, CO2: 412 ppm
[LOG][2000-03-03 23:39] Temp: 23.5C, Press: 105.0Pa, Humid: 78.3%, Volt: 13.4V, Flow: 10.6 L/min, CO2: 397 ppm
[LOG][2000-03-04 05:56] Temp: 22.8C, Press: 100.5Pa, Humid: 59.2%, Volt: 13.8V, Flow: 10.4 L/min, CO2: 399 ppm
[LOG][2000-03-05 09:07] Temp: 29.9C, Press: 100.5Pa, Humid: 46.1%, Volt: 12.6V, Flow: 5.2 L/min, CO2: 432 ppm
[LOG][2000-03-05 15:34] Temp: 25.6C, Press: 104.2Pa, Humid: 59.3%, Volt: 11.5V, Flow: 8.9 L/min, CO2: 497 ppm
[LOG][2000-03-05 23:39] Temp: 30.0C, Press: 104.2Pa, Humid: 46.5%, Volt: 11.1V, Flow: 10.6 L/min, CO2: 487 ppm
[LOG][2000-03-06 10:59] Temp: 22.2C, Press: 101.7Pa, Humid: 61.5%, Volt: 11.7V, Flow: 10.4 L/min, CO2: 114 ppm
[ERROR] CO2 Level Critical - CO2: 114 ppm
[LOG][2000-03-06 17:12] Temp: 23.3C, Press: 99.4Pa, Humid: 69.8%, Volt: 13.3V, Flow: 14.4 L/min, CO2: 415 ppm
[LOG][2000-03-07 15:40] Temp: 25.2C, Press: 104.9Pa, Humid: 66.9%, Volt: 11.2V, Flow: 11.2 L/min, CO2: 386 ppm
[LOG][2000-03-08 03:43] Temp: 34.8C, Press: 102.6Pa, Humid: 52.0%, Volt: 12.5V, Flow: 9.6 L/min, CO2: 357 ppm
[LOG][2000-03-08 19:41] Temp: 24.6C, Press: 102.7Pa, Humid: 49.3%, Volt: 13.5V, Flow: 14.6 L/min, CO2: 457 ppm
[LOG][2000-03-08 19:56] Temp: 28.6C, Press: 99.1Pa, Humid: 75.8%, Volt: 14.0V, Flow: 12.3 L/min, CO2: 438 ppm
[LOG][2000-03-09 00:34] Temp: 29.9C, Press: 98.4Pa, Humid: 76.2%, Volt: 11.6V, Flow: 7.5 L/min, CO2: 482 ppm
[LOG][2000-03-09 02:25] Temp: 34.3C, Press: 102.9Pa, Humid: 73.9%, Volt: 11.4V, Flow: 5.5 L/min, CO2: 356 ppm
[LOG][2000-03-10 11:48] Temp: 26.9C, Press: 98.6Pa, Humid: 56.4%, Volt: 12.9V, Flow: 9.6 L/min, CO2: 396 ppm
[LOG][2000-03-10 22:40] Temp: 25.2C, Press: 104.1Pa, Humid: 76.6%, Volt: 11.2V, Flow: 12.2 L/min, CO2: 375 ppm
[LOG][2000-03-10 22:44] Temp: 24.1C, Press: 103.2Pa, Humid: 51.8%, Volt: 11.9V, Flow: 12.6 L/min, CO2: 428 ppm
[LOG][2000-03-11 00:34] Temp: 32.9C, Press: 101.6Pa, Humid: 67.8%, Volt: 11.2V, Flow: 12.5 L/min, CO2: 365 ppm
[LOG][2000-03-11 10:49] Temp: 25.7C, Press: 98.3Pa, Humid: 74.7%, Volt: 11.8V, Flow: 11.7 L/min, CO2: 370 ppm
[LOG][2000-03-11 13:16] Temp: 22.6C, Press: 98.6Pa, Humid: 61.8%, Volt: 11.1V, Flow: 9.4 L/min, CO2: 465 ppm
[LOG][2000-03-12 07:34] Temp: 29.6C, Press: 103.1Pa, Humid: 69.1%, Volt: 11.2V, Flow: 14.3 L/min, CO2: 488 ppm
[LOG][2000-03-13 01:19] Temp: 16.5C, Press: 101.1Pa, Humid: 38.6%, Volt: 13.1V, Flow: 6.8 L/min, CO2: 472 ppm
[LOG][2000-03-13 22:10] Temp: 30.5C, Press: 104.9Pa, Humid: 75.1%, Volt: 13.5V, Flow: 13.6 L/min, CO2: 353 ppm
[LOG][2000-03-14 00:31] Temp: 29.6C, Press: 103.2Pa, Humid: 67.8%, Volt: 11.9V, Flow: 13.3 L/min, CO2: 408 ppm
[LOG][2000-03-14 09:59] Temp: 19.9C, Press: 98.6Pa, Humid: 68.1%, Volt: 13.0V, Flow: 8.2 L/min, CO2: 424 ppm
[LOG][2000-03-14 18:59] Temp: 25.8C, Press: 103.1Pa, Humid: 76.6%, Volt: 13.5V, Flow: 5.1 L/min, CO2: 473 ppm
[LOG][2000-03-15 17:17] Temp: 17.5C, Press: 99.5Pa, Humid: 55.9%, Volt: 13.4V, Flow: 6.0 L/min, CO2: 412 ppm
[LOG][2000-03-16 16:04] Temp: 20.8C, Press: 98.2Pa, Humid: 39.9%, Volt: 11.3V, Flow: 7.5 L/min, CO2: 405 ppm
[LOG][2000-03-17 14:08] Temp: 16.7C, Press: 101.5Pa, Humid: 67.5%, Volt: 13.9V, Flow: 9.8 L/min, CO2: 395 ppm
[LOG][2000-03-18 00:10] Temp: 17.8C, Press: 100.7Pa, Humid: 34.1%, Volt: 13.1V, Flow: 8.2 L/min, CO2: 419 ppm
[LOG][2000-03-18 00:50] Temp: 26.1C, Press: 99.1Pa, Humid: 31.4%, Volt: 13.6V, Flow: 10.7 L/min, CO2: 378 ppm
[LOG][2000-03-19 16:43] Temp: 22.6C, Press: 99.2Pa, Humid: 42.5%, Volt: 12.0V, Flow: 6.4 L/min, CO2: 370 ppm
[LOG][2000-03-20 18:00] Temp: 33.3C, Press: 102.4Pa, Humid: 59.5%, Volt: 12.9V, Flow: 11.0 L/min, CO2: 351 ppm
[LOG][2000-03-21 05:31] Temp: 27.7C, Press: 104.7Pa, Humid: 61.7%, Volt: 11.6V, Flow: 14.8 L/min, CO2: 350 ppm
[LOG][2000-03-21 13:08] Temp: 19.9C, Press: 100.4Pa, Humid: 51.2%, Volt: 12.2V, Flow: 6.5 L/min, CO2: 365 ppm
[LOG][2000-03-21 15:23] Temp: 15.8C, Press: 101.3Pa, Humid: 56.6%, Volt: 13.1V, Flow: 6.4 L/min, CO2: 467 ppm
[LOG][2000-03-22 03:13] Temp: 28.3C, Press: 105.0Pa, Humid: 67.3%, Volt: 11.7V, Flow: 6.5 L/min, CO2: 479 ppm
[LOG][2000-03-22 12:31] Temp: 26.9C, Press: 104.8Pa, Humid: 59.0%, Volt: 12.2V, Flow: 5.1 L/min, CO2: 361 ppm
[LOG][2000-03-22 13:46] Temp: 17.6C, Press: nanPa, Humid: 77.9%, Volt: 11.6V, Flow: 13.1 L/min, CO2: 421 ppm
[ERROR] Sensor Disconnected - Press: nan
[LOG][2000-03-23 14:10] Temp: 30.0C, Press: 102.1Pa, Humid: 64.9%, Volt: 13.4V, Flow: 5.4 L/min, CO2: 461 ppm
[LOG][2000-03-23 18:03] Temp: 25.0C, Press: 104.7Pa, Humid: 76.0%, Volt: 13.4V, Flow: 8.0 L/min, CO2: 454 ppm
[LOG][2000-03-24 09:33] Temp: 20.9C, Press: 100.0Pa, Humid: 52.5%, Volt: 11.2V, Flow: 7.2 L/min, CO2: 445 ppm
[LOG][2000-03-25 20:18] Temp: 34.8C, Press: 104.5Pa, Humid: 74.6%, Volt: 13.5V, Flow: 11.4 L/min, CO2: 409 ppm
[LOG][2000-03-26 09:48] Temp: 34.7C, Press: 104.8Pa, Humid: 50.7%, Volt: 14.0V, Flow: 8.3 L/min, CO2: 498 ppm
[LOG][2000-03-27 05:10] Temp: 18.2C, Press: 104.4Pa, Humid: 62.0%, Volt: 12.4V, Flow: 0.9 L/min, CO2: 438 ppm
[WARN] Flow Rate Anomaly - Flow: 0.9 L/min
